NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNCA	512	66.7874755859375	-0.014854161	No	
row_1	NDUFAF1	1341	27.942209243774414	-0.0743447	No	
row_2	OXA1L	1736	21.006755828857422	-0.09923726	No	
row_3	NIPSNAP2	2049	17.519277572631836	-0.11855732	No	
row_4	SDHA	2490	13.77113151550293	-0.15064792	No	
row_5	NOP53	2542	13.277551651000977	-0.14919275	No	
row_6	ATPSCKMT	2673	12.528722763061523	-0.15492634	No	
row_7	NDUFS4	3011	10.309805870056152	-0.1796101	No	
row_8	NDUFB4	3871	6.762409210205078	-0.25117388	No	
row_9	SHMT2	3890	6.708971977233887	-0.24976423	No	
row_10	DLST	4012	6.32392692565918	-0.25746533	No	
row_11	HIF1A	4029	6.272644519805908	-0.25607535	No	
row_12	CAT	4321	5.480929374694824	-0.27890557	No	
row_13	UQCRH	4958	3.9406898021698	-0.3323634	No	
row_14	SIRT3	5080	3.677219867706299	-0.34123698	No	
row_15	UCN	5126	3.598252296447754	-0.3435489	No	
row_16	TAFAZZIN	5433	3.060523509979248	-0.36875328	No	
row_17	IREB2	5798	2.5140883922576904	-0.39923406	No	
row_18	MDH1B	5821	2.4861714839935303	-0.40004224	No	
row_19	NDUFS2	5865	2.4287102222442627	-0.40269867	No	
row_20	UQCRC2	6083	-2.22636079788208	-0.42054757	No	
row_21	BLOC1S1	6087	-2.2363009452819824	-0.4198173	No	
row_22	NDUFS5	6203	-2.4164040088653564	-0.4287286	No	
row_23	NDUFS6	6227	-2.4568963050842285	-0.42963657	No	
row_24	SLC25A14	6275	-2.5355958938598633	-0.43259284	No	
row_25	UQCRFS1P1	6370	-2.673311233520508	-0.4395676	No	
row_26	NDUFC2	6419	-2.752084970474243	-0.44251472	No	
row_27	NDUFA6	6462	-2.815674066543579	-0.4449129	No	
row_28	NDUFS7	6523	-2.9103291034698486	-0.44883156	No	
row_29	VCP	6536	-2.9464316368103027	-0.44856787	No	
row_30	COX4I1	6713	-3.2427446842193604	-0.4624078	No	
row_31	NDUFV2	6872	-3.511465549468994	-0.47456634	No	
row_32	RHOA	6950	-3.6388163566589355	-0.4796378	No	
row_33	ADSL	7016	-3.773704767227173	-0.48360795	No	
row_34	SURF1	7099	-3.9137518405914307	-0.48899162	No	
row_35	NDUFS1	7125	-3.955000400543213	-0.48940954	No	
row_36	MTFR2	7172	-4.03028678894043	-0.49161685	No	
row_37	NDUFA9	7191	-4.065832138061523	-0.4913781	No	
row_38	MDH1	7296	-4.282695770263672	-0.49850786	No	
row_39	ATP5F1D	7372	-4.4511919021606445	-0.50304586	No	
row_40	SUCLG2	7478	-4.68575382232666	-0.5100839	No	
row_41	NNT	7538	-4.836721897125244	-0.51306236	No	
row_42	SLC25A33	7705	-5.2822394371032715	-0.5251308	No	
row_43	UQCC3	7754	-5.420496463775635	-0.5268959	No	
row_44	ARL2	7758	-5.432183742523193	-0.5247499	No	
row_45	NDUFB3	7771	-5.4570841789245605	-0.52337396	No	
row_46	DLD	7848	-5.649031639099121	-0.52746814	No	
row_47	IDH2	7919	-5.8610734939575195	-0.53094757	No	
row_48	COX7C	7957	-5.988461971282959	-0.53150624	No	
row_49	NDUFA2	7963	-6.002747058868408	-0.5292811	No	
row_50	ATP5F1C	7977	-6.050363063812256	-0.52772915	No	
row_51	NDUFB5	8037	-6.2459893226623535	-0.5300833	No	
row_52	COX10	8046	-6.275199890136719	-0.52799785	No	
row_53	NDUFB9	8054	-6.30044412612915	-0.52581435	No	
row_54	NDUFA5	8083	-6.417954444885254	-0.5254016	No	
row_55	CCNB1	8107	-6.502326011657715	-0.5245175	No	
row_56	PARK7	8139	-6.612493991851807	-0.52427894	No	
row_57	NDUFB1	8314	-7.169927597045898	-0.53620553	No	
row_58	UQCR10	8412	-7.518469333648682	-0.54129434	No	
row_59	PDHB	8513	-8.047533988952637	-0.54640913	Yes	
row_60	ATP5MF	8540	-8.177186012268066	-0.5450434	Yes	
row_61	UQCRC1	8577	-8.3484525680542	-0.54446983	Yes	
row_62	FH	8589	-8.42263412475586	-0.54169345	Yes	
row_63	ATP7A	8623	-8.547479629516602	-0.5407713	Yes	
row_64	SDHC	8641	-8.61779499053955	-0.5384292	Yes	
row_65	PDE12	8683	-8.806347846984863	-0.5380868	Yes	
row_66	SDHAF2	8720	-8.946415901184082	-0.5372483	Yes	
row_67	SUCLA2	8736	-9.034891128540039	-0.53454787	Yes	
row_68	NDUFC1	8740	-9.04702091217041	-0.5308005	Yes	
row_69	ATP5MG	8754	-9.09658145904541	-0.52789915	Yes	
row_70	NDUFAB1	8768	-9.17142391204834	-0.52496463	Yes	
row_71	COX7A1	8798	-9.278358459472656	-0.5233715	Yes	
row_72	FXN	8874	-9.722137451171875	-0.52557456	Yes	
row_73	NDUFA4	8934	-10.133490562438965	-0.52620655	Yes	
row_74	ATP5PB	8935	-10.133662223815918	-0.5217174	Yes	
row_75	NDUFB8	8946	-10.231404304504395	-0.51805294	Yes	
row_76	CYC1	9047	-10.883951187133789	-0.5219112	Yes	
row_77	IDE	9051	-10.894164085388184	-0.51734555	Yes	
row_78	COX5A	9087	-11.166315078735352	-0.5154369	Yes	
row_79	NDUFA3	9140	-11.55429458618164	-0.5148319	Yes	
