NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	1610	23.07087516784668	-0.10649289	No	
row_1	BCKDHA	4864	4.135764122009277	-0.3807158	No	
row_2	ILVBL	5264	3.3548755645751953	-0.41039214	No	
row_3	ACAD8	6555	-2.9806129932403564	-0.51727355	No	
row_4	HMGCL	6688	-3.20285701751709	-0.5241816	No	
row_5	ALDH6A1	7787	-5.500917434692383	-0.6110346	No	
row_6	DLD	7848	-5.649031639099121	-0.6083452	No	
row_7	BCKDHB	7873	-5.705815315246582	-0.60247856	No	
row_8	BCAT2	9039	-10.841133117675781	-0.6876739	No	
row_9	HSD17B10	9127	-11.474264144897461	-0.6792101	No	
row_10	ACAT1	9530	-14.426229476928711	-0.6937532	No	
row_11	SLC25A44	10046	-21.558578491210938	-0.7081063	Yes	
row_12	ECHS1	10223	-25.140682220458984	-0.6883032	Yes	
row_13	ACADSB	11002	-53.738372802734375	-0.6805551	Yes	
row_14	SDSL	11217	-70.93682861328125	-0.6003565	Yes	
row_15	MCCC1	11274	-79.46277618408203	-0.49470663	Yes	
row_16	HIBADH	11558	-181.43138122558594	-0.26683646	Yes	
row_17	MCCC2	11579	-196.70729064941406	0.0049057114	Yes	
