NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC37A2	809	45.15980529785156	-0.048709992	No	
row_1	CD47	1014	36.55687713623047	-0.049224317	No	
row_2	SLC15A3	1163	32.281707763671875	-0.04690419	No	
row_3	PSAP	1204	31.217899322509766	-0.035759885	No	
row_4	PLTP	1775	20.42469024658203	-0.07540709	No	
row_5	SLC29A4	1970	18.37761116027832	-0.08355849	No	
row_6	ABCC5	2665	12.594549179077148	-0.13756946	No	
row_7	SLC35C2	3756	7.1587700843811035	-0.22830124	No	
row_8	SLC15A2	3883	6.728353500366211	-0.23603041	No	
row_9	SLC25A6	5392	3.1501076221466064	-0.3647146	No	
row_10	RFT1	6144	-2.3162832260131836	-0.42845115	No	
row_11	SLC25A24	6506	-2.874217987060547	-0.45826554	No	
row_12	ABCC6	6661	-3.1602327823638916	-0.47007978	No	
row_13	SLC35A1	6742	-3.289350748062134	-0.47544664	No	
row_14	SLC35A2	6744	-3.2959930896759033	-0.47399184	No	
row_15	SLC35E3	7334	-4.368317604064941	-0.5227865	No	
row_16	SLC15A4	7509	-4.771512985229492	-0.5355736	No	
row_17	CLN3	7612	-5.021913051605225	-0.5420292	No	
row_18	SLC35B4	7821	-5.585986614227295	-0.55737	No	
row_19	SLC37A4	8394	-7.442010402679443	-0.6032602	No	
row_20	LRRC8A	8636	-8.593750953674316	-0.620043	No	
row_21	SLC50A1	8647	-8.639098167419434	-0.61686665	No	
row_22	LRRC8D	9062	-10.998651504516602	-0.6474567	No	
row_23	SLC35B2	9274	-12.458112716674805	-0.65984327	No	
row_24	CPTP	9352	-13.046344757080078	-0.660389	No	
row_25	SLC35D1	9529	-14.42221450805664	-0.6688363	Yes	
row_26	VLDLR	9548	-14.642373085021973	-0.66354346	Yes	
row_27	SLC35A3	9658	-15.772284507751465	-0.66557664	Yes	
row_28	SLC35A4	9678	-15.981245994567871	-0.6597441	Yes	
row_29	SLC35C1	9882	-19.13557243347168	-0.66831785	Yes	
row_30	G6PC3	9971	-20.3980770111084	-0.6663756	Yes	
row_31	SLC25A17	10024	-21.2496337890625	-0.66092795	Yes	
row_32	SLC35B1	10115	-22.813446044921875	-0.6580289	Yes	
row_33	SLC35A5	10248	-25.661191940307617	-0.65742344	Yes	
row_34	ABCD1	10283	-26.229236602783203	-0.6480938	Yes	
row_35	SLC25A5	10515	-31.72946548461914	-0.65319574	Yes	
row_36	SLC19A1	10721	-39.258079528808594	-0.65253335	Yes	
row_37	SLC37A1	10914	-48.712501525878906	-0.6463283	Yes	
row_38	SLC25A19	10937	-50.025306701660156	-0.62483644	Yes	
row_39	GLTP	11021	-54.83259963989258	-0.60636187	Yes	
row_40	LRRC8E	11042	-55.94681930541992	-0.5819287	Yes	
row_41	RALBP1	11161	-64.98512268066406	-0.5617279	Yes	
row_42	SLC25A25	11198	-67.54528045654297	-0.5332525	Yes	
row_43	SLC37A3	11226	-71.96465301513672	-0.50193393	Yes	
row_44	SLC29A1	11326	-88.3314437866211	-0.469177	Yes	
row_45	ABCC4	11373	-98.07272338867188	-0.42729083	Yes	
row_46	SCARB1	11503	-148.62672424316406	-0.3689306	Yes	
row_47	SLC17A9	11505	-149.33181762695312	-0.2991929	Yes	
row_48	SLC29A2	11576	-191.91554260253906	-0.21549952	Yes	
row_49	SLC25A23	11591	-207.79103088378906	-0.1195497	Yes	
row_50	SLC25A4	11622	-263.80157470703125	0.0012083387	Yes	
