NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFB3	64	193.92037963867188	0.11162712	Yes	
row_1	EMILIN1	94	172.85122680664062	0.21354142	Yes	
row_2	RUNX1	155	143.61708068847656	0.295127	Yes	
row_3	RCN3	163	141.13241577148438	0.379776	Yes	
row_4	ITGA2	266	107.80011749267578	0.43610922	Yes	
row_5	F2R	287	102.74734497070312	0.49645194	Yes	
row_6	TGFB1	315	95.87860870361328	0.5520428	Yes	
row_7	P3H3	316	95.74774932861328	0.60987973	Yes	
row_8	SERPINH1	336	92.44854736328125	0.66408753	Yes	
row_9	COL5A1	363	87.58766174316406	0.71475625	Yes	
row_10	CYGB	367	86.731201171875	0.7668883	Yes	
row_11	PDGFRB	445	75.193359375	0.80567825	Yes	
row_12	ERRFI1	569	60.77077102661133	0.8317946	Yes	
row_13	RGCC	595	59.11894226074219	0.8653528	Yes	
row_14	COL1A1	677	53.26082992553711	0.8905498	Yes	
row_15	VIM	1563	23.69013023376465	0.82864565	No	
row_16	P3H4	3329	8.832226753234863	0.6819829	No	
row_17	UCN	5126	3.598252296447754	0.5294888	No	
row_18	TRAM2	5435	3.0594966411590576	0.50481266	No	
row_19	CREB3L1	6082	-2.2258412837982178	0.45052508	No	
row_20	IL6	6435	-2.7753148078918457	0.42188805	No	
row_21	SUCO	6913	-3.578104257583618	0.38297123	No	
row_22	CCN2	8569	-8.301499366760254	0.24546081	No	
row_23	SERPINB7	9266	-12.374368667602539	0.19299762	No	
row_24	PPARD	9842	-18.235733032226562	0.15449527	No	
