NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNAI2	35	225.45606994628906	0.026446233	Yes	
row_1	TGFBR2	42	215.81967163085938	0.0541619	Yes	
row_2	TSKU	49	209.0198211669922	0.08098783	Yes	
row_3	NOTCH1	75	187.35198974609375	0.103320815	Yes	
row_4	SH3PXD2B	76	186.67013549804688	0.1277459	Yes	
row_5	COL27A1	79	183.59278869628906	0.1515938	Yes	
row_6	CSGALNACT1	122	160.72926330566406	0.16896002	Yes	
row_7	RUNX1	155	143.61708068847656	0.18495968	Yes	
row_8	GDF5	173	137.34085083007812	0.20144692	Yes	
row_9	RFLNB	178	134.14759826660156	0.21865061	Yes	
row_10	MAF	191	131.31805419921875	0.23478605	Yes	
row_11	SMAD1	195	129.1115264892578	0.25141805	Yes	
row_12	BGN	198	128.68878173828125	0.26808196	Yes	
row_13	COL3A1	200	128.46754455566406	0.28480422	Yes	
row_14	BMP2	231	117.9754638671875	0.29762328	Yes	
row_15	CD44	233	117.52344512939453	0.31291354	Yes	
row_16	ROR2	254	111.45804595947266	0.32575235	Yes	
row_17	STC1	255	111.36712646484375	0.3403243	Yes	
row_18	SMAD7	256	110.51310729980469	0.35478452	Yes	
row_19	GLI3	261	109.8666000366211	0.36881113	Yes	
row_20	TGFBI	269	107.00386810302734	0.38220143	Yes	
row_21	TGFB1	315	95.87860870361328	0.3908204	Yes	
row_22	EBF2	318	95.51961517333984	0.40314427	Yes	
row_23	TIMP1	321	95.07986450195312	0.4154106	Yes	
row_24	CREB3L2	325	94.08831787109375	0.42745996	Yes	
row_25	SERPINH1	336	92.44854736328125	0.438684	Yes	
row_26	PTHLH	348	90.59799194335938	0.4495786	Yes	
row_27	COL5A1	363	87.58766174316406	0.4598176	Yes	
row_28	CHST11	379	85.06976318359375	0.46963984	Yes	
row_29	WT1	386	84.06179809570312	0.4801155	Yes	
row_30	HOXB3	405	81.8188705444336	0.48925063	Yes	
row_31	MDK	416	80.14020538330078	0.49886414	Yes	
row_32	BMPR2	432	76.55586242675781	0.5075724	Yes	
row_33	PDGFRB	445	75.193359375	0.51636416	Yes	
row_34	SULF1	473	71.30274963378906	0.523338	Yes	
row_35	THRA	479	70.84059143066406	0.532171	Yes	
row_36	HMGA2	495	68.5851821899414	0.5398363	Yes	
row_37	SFRP2	507	67.3514633178711	0.5476892	Yes	
row_38	TRPS1	510	67.04315185546875	0.55628705	Yes	
row_39	SNAI1	547	62.73621368408203	0.56135476	Yes	
row_40	SOX9	548	62.64799880981445	0.569552	Yes	
row_41	WNT5A	564	61.100929260253906	0.57623804	Yes	
row_42	RARB	605	58.16881561279297	0.5803591	Yes	
row_43	CTNNB1	639	55.96129608154297	0.5848021	Yes	
row_44	NFIB	655	55.10146713256836	0.5907031	Yes	
row_45	AXIN2	665	54.46741485595703	0.5970447	Yes	
row_46	COL1A1	677	53.26082992553711	0.6030539	Yes	
row_47	FOXD1	689	52.484100341796875	0.6089615	Yes	
row_48	RUNX2	749	48.913414001464844	0.61021376	Yes	
row_49	LTBP3	755	48.683006286621094	0.61614746	Yes	
row_50	KLF7	796	45.74230194091797	0.61864257	Yes	
row_51	CSF1	886	41.87074279785156	0.6163557	Yes	
row_52	PDGFD	907	40.4857292175293	0.6199081	Yes	
row_53	HOXC4	937	39.10808563232422	0.62249494	Yes	
row_54	NKX3-2	1075	34.63163757324219	0.6150727	No	
row_55	IFT80	1101	33.91063690185547	0.6173285	No	
row_56	CCN4	1285	28.98427391052246	0.6051538	No	
row_57	MEX3C	1358	27.660018920898438	0.60249084	No	
row_58	EVC	1487	24.99262046813965	0.5945927	No	
row_59	COMP	1490	24.959083557128906	0.597684	No	
row_60	BMPR1B	1495	24.875368118286133	0.6005899	No	
row_61	MSX1	1507	24.58013153076172	0.60284626	No	
row_62	CHSY1	1574	23.575031280517578	0.60017234	No	
row_63	RARG	1592	23.325767517089844	0.60174114	No	
row_64	MGP	1625	22.799781799316406	0.60193235	No	
