NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHMP3	4877	4.1195902824401855	-0.41142863	No	
row_1	CHMP2A	5356	3.205562114715576	-0.44607353	No	
row_2	PRKN	5912	2.3646469116210938	-0.48905072	No	
row_3	CD34	6510	-2.8761284351348877	-0.53460616	No	
row_4	SNF8	6561	-2.996609926223755	-0.53283525	No	
row_5	RAB7A	6920	-3.5904183387756348	-0.55637115	No	
row_6	ATP9A	7032	-3.7949116230010986	-0.5582325	No	
row_7	VPS4B	7324	-4.357213020324707	-0.5744471	No	
row_8	TSG101	7676	-5.199023723602295	-0.5941196	No	
row_9	COPS5	7796	-5.523470401763916	-0.59316546	No	
row_10	ARRDC4	8060	-6.31740665435791	-0.6029964	No	
row_11	SDC1	9133	-11.496993064880371	-0.6719609	No	
row_12	CHMP6	9220	-12.12466049194336	-0.6547847	No	
row_13	VPS4A	10638	-35.65833282470703	-0.70446575	Yes	
row_14	PDCD6IP	10865	-46.00694274902344	-0.63065535	Yes	
row_15	STAM	10930	-49.574798583984375	-0.53566843	Yes	
row_16	SMPD3	11154	-64.20758056640625	-0.42470437	Yes	
row_17	ARRDC1	11392	-101.66957092285156	-0.23900424	Yes	
row_18	SDC4	11474	-128.21937561035156	0.0139437895	Yes	
