NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1C1	413	80.3442153930664	0.049700342	No	
row_1	SLC26A6	3964	6.441290378570557	-0.24897341	No	
row_2	CEL	5010	3.8249025344848633	-0.33484647	No	
row_3	IREB2	5798	2.5140883922576904	-0.39990717	No	
row_4	UGCG	6960	-3.6646270751953125	-0.49593306	No	
row_5	VDR	7578	-4.959981918334961	-0.5437688	No	
row_6	LDLR	9400	-13.453888893127441	-0.68620723	No	
row_7	EPB41	10475	-30.628690719604492	-0.7461381	Yes	
row_8	F11R	10737	-40.03689193725586	-0.72612154	Yes	
row_9	CD36	10776	-41.46400833129883	-0.6853999	Yes	
row_10	TJP2	10905	-48.22431945800781	-0.645251	Yes	
row_11	ACO1	11018	-54.69899368286133	-0.59685576	Yes	
row_12	EZR	11104	-60.06467819213867	-0.54044414	Yes	
row_13	LPCAT3	11400	-103.70325469970703	-0.45580572	Yes	
row_14	PLS1	11419	-111.4124526977539	-0.33914992	Yes	
row_15	SCARB1	11503	-148.62672424316406	-0.18860483	Yes	
row_16	SLC46A1	11570	-188.4739990234375	0.005679881	Yes	
