NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SFXN5	460	73.16288757324219	0.004737462	No	
row_1	SLC25A36	2372	14.610334396362305	-0.15150476	No	
row_2	ATPSCKMT	2673	12.528722763061523	-0.16980934	No	
row_3	SLC25A29	2901	10.910347938537598	-0.18279016	No	
row_4	CPT1B	3830	6.897948741912842	-0.25878266	No	
row_5	CPT1A	4524	4.953591823577881	-0.31565148	No	
row_6	SLC25A28	4606	4.758875370025635	-0.31975698	No	
row_7	SLC25A12	4664	4.604284286499023	-0.32188272	No	
row_8	TOMM7	5217	3.443579912185669	-0.36748615	No	
row_9	SLC25A6	5392	3.1501076221466064	-0.3806058	No	
row_10	MCUB	5812	2.4952986240386963	-0.4152935	No	
row_11	TIMM44	6113	-2.2749485969543457	-0.4398327	No	
row_12	SLC25A21	6778	-3.3422603607177734	-0.49517542	No	
row_13	SLC25A20	6903	-3.562560796737671	-0.5037239	No	
row_14	SLC39A8	6907	-3.5693514347076416	-0.5018129	No	
row_15	MRPL18	7002	-3.7575275897979736	-0.5076505	No	
row_16	SMDT1	7158	-4.0062432289123535	-0.51860785	No	
row_17	ATP5F1D	7372	-4.4511919021606445	-0.5343063	No	
row_18	SLC25A13	7573	-4.937225341796875	-0.54858595	No	
row_19	TST	7600	-5.004099369049072	-0.5477899	No	
row_20	DNLZ	7631	-5.06984281539917	-0.5472995	No	
row_21	SLC25A15	7666	-5.1773905754089355	-0.5470894	No	
row_22	SLC25A33	7705	-5.2822394371032715	-0.54716116	No	
row_23	ABCB8	7710	-5.295334815979004	-0.5442871	No	
row_24	SLC25A32	7871	-5.697535514831543	-0.5546481	No	
row_25	MRS2	7975	-6.045279502868652	-0.5598724	No	
row_26	ATP5F1C	7977	-6.050363063812256	-0.55628	No	
row_27	ROMO1	8116	-6.529362678527832	-0.56423426	No	
row_28	SFXN2	8380	-7.405107498168945	-0.58245707	No	
row_29	PAM16	8432	-7.613717555999756	-0.5822345	No	
row_30	ATP5MF	8540	-8.177186012268066	-0.5865082	No	
row_31	AIFM1	8663	-8.700693130493164	-0.59175974	No	
row_32	TIMM23	8665	-8.708491325378418	-0.58655113	No	
row_33	ATP5MG	8754	-9.09658145904541	-0.58862406	No	
row_34	HSPD1	8780	-9.218198776245117	-0.5851793	No	
row_35	PNPT1	8870	-9.690153121948242	-0.5869777	No	
row_36	ATP5PB	8935	-10.133662223815918	-0.58634627	No	
row_37	TIMM23B	8981	-10.426009178161621	-0.5838953	No	
row_38	TIMM50	9177	-11.83702278137207	-0.59354764	No	
row_39	SLC25A3	9255	-12.318946838378906	-0.5927108	No	
row_40	MPC1	9316	-12.729816436767578	-0.5901552	No	
row_41	TIMM17A	9497	-14.220158576965332	-0.59706235	No	
row_42	DNAJC30	9774	-17.189876556396484	-0.610459	No	
row_43	TIMM17B	9981	-20.573802947998047	-0.6157496	Yes	
row_44	MICU1	10017	-21.188034057617188	-0.6058909	Yes	
row_45	AFG3L2	10100	-22.507051467895508	-0.59929144	Yes	
row_46	MICU2	10268	-25.959430694580078	-0.5979375	Yes	
row_47	SLC25A22	10398	-28.761428833007812	-0.59159636	Yes	
row_48	LETM1	10421	-29.22797966003418	-0.57572585	Yes	
row_49	TOMM40	10430	-29.478227615356445	-0.55849355	Yes	
row_50	SLC25A1	10438	-29.638944625854492	-0.5410771	Yes	
row_51	VDAC1	10504	-31.432907104492188	-0.52758145	Yes	
row_52	SLC25A5	10515	-31.72946548461914	-0.5091531	Yes	
row_53	MCU	10521	-31.78803062438965	-0.49025708	Yes	
row_54	ATP5F1B	10558	-33.1164436340332	-0.47323203	Yes	
row_55	PSEN2	10621	-35.15879821777344	-0.45721176	Yes	
row_56	DNAJC15	10636	-35.64002990722656	-0.4367513	Yes	
row_57	GRPEL1	10704	-38.59410858154297	-0.4190743	Yes	
row_58	MPC2	10787	-41.80374526977539	-0.40074188	Yes	
row_59	SLC8B1	10959	-51.01483917236328	-0.38449913	Yes	
row_60	CCDC51	11235	-73.91987609863281	-0.36331594	Yes	
row_61	UCP2	11560	-182.49835205078125	-0.28034785	Yes	
row_62	SLC25A23	11591	-207.79103088378906	-0.15659714	Yes	
row_63	SLC25A4	11622	-263.80157470703125	0.0012096086	Yes	
