NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATG14	2167	16.273218154907227	-0.17035772	No	
row_1	HTRA2	2398	14.503846168518066	-0.17561002	No	
row_2	TP53	2917	10.837957382202148	-0.20935586	No	
row_3	CERS1	3206	9.385250091552734	-0.22474472	No	
row_4	AMBRA1	3420	8.452393531799316	-0.23460867	No	
row_5	SQSTM1	3577	7.847248077392578	-0.24016939	No	
row_6	VPS13D	3674	7.457584381103516	-0.2409521	No	
row_7	PHB2	3728	7.256553649902344	-0.23823199	No	
row_8	TSC2	4348	5.41693115234375	-0.28612274	No	
row_9	HUWE1	4823	4.214922904968262	-0.32272795	No	
row_10	TOMM7	5217	3.443579912185669	-0.35312912	No	
row_11	TAFAZZIN	5433	3.060523509979248	-0.36857936	No	
row_12	ATG4B	5539	2.895908832550049	-0.37471783	No	
row_13	HDAC6	5558	2.862596035003662	-0.37339428	No	
row_14	PRKN	5912	2.3646469116210938	-0.40143263	No	
row_15	VPS13C	6023	2.235414981842041	-0.4086651	No	
row_16	C5orf51	6183	-2.391127824783325	-0.41996276	No	
row_17	ARFIP2	7499	-4.746439456939697	-0.52849054	No	
row_18	MFN2	9036	-10.792939186096191	-0.6499873	No	
row_19	TIGAR	9160	-11.700803756713867	-0.64883554	No	
row_20	CDC37	9673	-15.939579010009766	-0.67694193	No	
row_21	BECN1	10078	-22.114805221557617	-0.689543	No	
row_22	VDAC1	10504	-31.432907104492188	-0.694597	Yes	
row_23	SLC25A5	10515	-31.72946548461914	-0.66359895	Yes	
row_24	RNF41	10610	-34.77179718017578	-0.6367831	Yes	
row_25	MAP1LC3B	10888	-47.24576950073242	-0.6132085	Yes	
row_26	ATG4D	11193	-67.24038696289062	-0.57188344	Yes	
row_27	PINK1	11544	-165.79904174804688	-0.43555862	Yes	
row_28	RETREG1	11555	-177.7002716064453	-0.2579911	Yes	
row_29	SLC25A4	11622	-263.80157470703125	0.0012061564	Yes	
