NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPM1E	1589	23.382610321044922	-0.09109433	No	
row_1	DUSP10	2692	12.417791366577148	-0.16168226	No	
row_2	PPM1A	3550	7.949954986572266	-0.21990807	No	
row_3	DUSP18	3967	6.436797618865967	-0.24314141	No	
row_4	PDP1	4711	4.494224548339844	-0.29830182	No	
row_5	PPM1F	6361	-2.6654067039489746	-0.43498656	No	
row_6	DUSP5	6714	-3.2427806854248047	-0.45894596	No	
row_7	PPP1CA	7412	-4.555856227874756	-0.51002806	No	
row_8	PPM1D	7654	-5.122307300567627	-0.5207689	No	
row_9	PGAM5	7842	-5.642993927001953	-0.5258472	No	
row_10	PPM1G	8547	-8.215307235717773	-0.5703905	No	
row_11	PPM1B	8800	-9.27967643737793	-0.5739651	No	
row_12	PPP2CA	11210	-69.41151428222656	-0.64579386	Yes	
row_13	PPP2CB	11291	-81.7993392944336	-0.4930531	Yes	
row_14	DUSP1	11626	-267.8327941894531	8.604905E-4	Yes	
