NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GDNF	1498	24.7869930267334	-0.100902036	No	
row_1	IL1B	1632	22.6416015625	-0.08669478	No	
row_2	GCH1	2509	13.627079963684082	-0.14668378	No	
row_3	NOD1	2697	12.397683143615723	-0.14873601	No	
row_4	CYP27B1	2971	10.522991180419922	-0.16031834	No	
row_5	HTR2B	3596	7.76076602935791	-0.20525588	No	
row_6	PTK2B	3976	6.416969299316406	-0.23061931	No	
row_7	HIF1A	4029	6.272644519805908	-0.2279882	No	
row_8	TERT	4118	6.001467704772949	-0.2287644	No	
row_9	S100A1	5038	3.7642085552215576	-0.30363384	No	
row_10	DHFRP1	6470	-2.8216333389282227	-0.42366	No	
row_11	POR	6760	-3.322331190109253	-0.44478068	No	
row_12	PIK3CB	7512	-4.779724597930908	-0.5040327	No	
row_13	VDR	7578	-4.959981918334961	-0.50400865	No	
row_14	CALM3	8042	-6.2613844871521	-0.53678167	No	
row_15	PARK7	8139	-6.612493991851807	-0.53755426	No	
row_16	ATP7A	8623	-8.547479629516602	-0.56945866	No	
row_17	NUS1	8626	-8.565656661987305	-0.55992335	No	
row_18	AKT1	9695	-16.1833553314209	-0.6335485	No	
row_19	TNF	9713	-16.48576545715332	-0.6163289	No	
row_20	NOS1AP	11205	-68.52751922607422	-0.6670566	Yes	
row_21	SCARB1	11503	-148.62672424316406	-0.5241913	Yes	
row_22	NPR3	11589	-207.34332275390625	-0.2965266	Yes	
row_23	CDH3	11625	-265.141845703125	9.472921E-4	Yes	
