NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTRR	1538	23.992061614990234	-0.1090502	No	
row_1	ALDH1L2	1586	23.397266387939453	-0.090246506	No	
row_2	FTCD	2216	15.870054244995117	-0.12892821	No	
row_3	MTHFD1L	2303	15.135383605957031	-0.12155342	No	
row_4	GCH1	2509	13.627079963684082	-0.12590246	No	
row_5	SHMT2	3890	6.708971977233887	-0.23822305	No	
row_6	PRKG2	3915	6.623124122619629	-0.23382156	No	
row_7	MTHFD2	4650	4.643049716949463	-0.29251346	No	
row_8	DHFR2	5627	2.7354390621185303	-0.37391445	No	
row_9	DHFRP1	6470	-2.8216333389282227	-0.44368845	No	
row_10	MTHFR	6689	-3.208467721939087	-0.45933327	No	
row_11	GGH	6774	-3.337449789047241	-0.46330932	No	
row_12	SLC25A32	7871	-5.697535514831543	-0.552154	No	
row_13	ALDH1L1	8575	-8.335460662841797	-0.60456914	No	
row_14	MTHFS	9198	-11.967884063720703	-0.64645916	No	
row_15	SHMT1	10014	-21.12319564819336	-0.69603217	Yes	
row_16	ATIC	10089	-22.354766845703125	-0.68057245	Yes	
row_17	FPGS	10184	-24.364065170288086	-0.66487306	Yes	
row_18	QDPR	10221	-25.129348754882812	-0.6434301	Yes	
row_19	PM20D2	10242	-25.59656524658203	-0.62015253	Yes	
row_20	SPR	10422	-29.230234146118164	-0.6070222	Yes	
row_21	PCBD2	10593	-34.29194259643555	-0.58817285	Yes	
row_22	SLC19A1	10721	-39.258079528808594	-0.560769	Yes	
row_23	FOLR1	10781	-41.59528350830078	-0.52522486	Yes	
row_24	PCBD1	11455	-119.96357727050781	-0.46602786	Yes	
row_25	AASDHPPT	11499	-145.80459594726562	-0.32732347	Yes	
row_26	PTS	11529	-158.56187438964844	-0.17495303	Yes	
row_27	SLC46A1	11570	-188.4739990234375	0.005685264	Yes	
