NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD47	1014	36.55687713623047	-0.055201743	No	
row_1	ABCC5	2665	12.594549179077148	-0.18617173	No	
row_2	SLC25A6	5392	3.1501076221466064	-0.41804358	No	
row_3	SLC25A24	6506	-2.874217987060547	-0.51132125	No	
row_4	ABCC6	6661	-3.1602327823638916	-0.5218036	No	
row_5	LRRC8A	8636	-8.593750953674316	-0.68417186	No	
row_6	LRRC8D	9062	-10.998651504516602	-0.7111023	No	
row_7	SLC35B2	9274	-12.458112716674805	-0.71833247	No	
row_8	SLC25A17	10024	-21.2496337890625	-0.76415604	Yes	
row_9	ABCD1	10283	-26.229236602783203	-0.7633483	Yes	
row_10	SLC25A5	10515	-31.72946548461914	-0.75539035	Yes	
row_11	SLC19A1	10721	-39.258079528808594	-0.73858863	Yes	
row_12	LRRC8E	11042	-55.94681930541992	-0.7170419	Yes	
row_13	SLC25A25	11198	-67.54528045654297	-0.67111605	Yes	
row_14	SLC29A1	11326	-88.3314437866211	-0.6045414	Yes	
row_15	ABCC4	11373	-98.07272338867188	-0.52244747	Yes	
row_16	SLC17A9	11505	-149.33181762695312	-0.40269274	Yes	
row_17	SLC25A23	11591	-207.79103088378906	-0.22768393	Yes	
row_18	SLC25A4	11622	-263.80157470703125	0.0012050364	Yes	
