NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHMP3	4877	4.1195902824401855	-0.40870544	No	
row_1	CHMP2A	5356	3.205562114715576	-0.44132963	No	
row_2	PRKN	5912	2.3646469116210938	-0.48281023	No	
row_3	SNF8	6561	-2.996609926223755	-0.5306162	No	
row_4	RAB7A	6920	-3.5904183387756348	-0.5518941	No	
row_5	ATP9A	7032	-3.7949116230010986	-0.5513767	No	
row_6	VPS4B	7324	-4.357213020324707	-0.5648552	No	
row_7	TSG101	7676	-5.199023723602295	-0.581263	No	
row_8	SDC1	9133	-11.496993064880371	-0.67603993	No	
row_9	CHMP6	9220	-12.12466049194336	-0.65127164	No	
row_10	VPS4A	10638	-35.65833282470703	-0.67859024	Yes	
row_11	PDCD6IP	10865	-46.00694274902344	-0.5759748	Yes	
row_12	STAM	10930	-49.574798583984375	-0.44995442	Yes	
row_13	SMPD3	11154	-64.20758056640625	-0.29879263	Yes	
row_14	SDC4	11474	-128.21937561035156	0.013939037	Yes	
