NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC29A4	1970	18.37761116027832	-0.1529746	No	
row_1	GJA1	2089	17.092388153076172	-0.14765076	No	
row_2	ABCA8	2463	13.978711128234863	-0.16710387	No	
row_3	ABCC5	2665	12.594549179077148	-0.17300119	No	
row_4	SLC15A2	3883	6.728353500366211	-0.2716933	No	
row_5	ABCG2	4022	6.283458709716797	-0.27788332	No	
row_6	ATP7B	5877	2.4043238162994385	-0.43534017	No	
row_7	ABCC2	7449	-4.631328105926514	-0.56641245	No	
row_8	SLC22A18	8312	-7.168729305267334	-0.63413906	No	
row_9	SLC22A4	8321	-7.194912433624268	-0.62831	No	
row_10	ABCC10	8807	-9.314970016479492	-0.6616315	No	
row_11	SLC7A5	9197	-11.966285705566406	-0.68428534	No	
row_12	PDZK1	10040	-21.510772705078125	-0.7372974	No	
row_13	SLC2A1	10626	-35.371395111083984	-0.7556248	Yes	
row_14	SLC19A1	10721	-39.258079528808594	-0.7281546	Yes	
row_15	TMEM30A	10732	-39.798805236816406	-0.6929619	Yes	
row_16	ABCC1	10978	-52.178016662597656	-0.6667891	Yes	
row_17	RALBP1	11161	-64.98512268066406	-0.6235899	Yes	
row_18	CLDN1	11269	-77.7285385131836	-0.56238866	Yes	
row_19	ABCC4	11373	-98.07272338867188	-0.48241326	Yes	
row_20	ABCA3	11547	-170.23658752441406	-0.34309188	Yes	
row_21	SLC22A5	11549	-175.11463928222656	-0.18454176	Yes	
row_22	ATP8B1	11594	-211.88522338867188	0.0036163838	Yes	
