NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	23		Rejected!	
GOBP_REPRODUCTION	1514		Rejected!	
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	131	74		
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	7		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	27	16		
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	19		Rejected!	
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	35	25		
GOBP_TRANSITION_METAL_ION_TRANSPORT	105	57		
GOBP_UREA_CYCLE	10		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	14		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	173	94		
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	170	104		
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING	17		Rejected!	
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	21		Rejected!	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	33	19		
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17		Rejected!	
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	10		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	9		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	931		Rejected!	
GOBP_RRNA_MODIFICATION	37	21		
GOBP_MAPK_CASCADE	792	443		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	40	23		
GOBP_PROTEIN_POLYUBIQUITINATION	244	162		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	15		Rejected!	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	642	370		
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	25		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	77	32		
GOBP_ALLANTOIN_METABOLIC_PROCESS	8		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	40	27		
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	75	50		
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	19		Rejected!	
GOBP_MITOTIC_CELL_CYCLE	900		Rejected!	
GOBP_MITOTIC_CYTOKINESIS	71	50		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	63	37		
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	28	19		
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	19		Rejected!	
GOBP_RETROGRADE_TRANSPORT_VESICLE_RECYCLING_WITHIN_GOLGI	9		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	204	120		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29		Rejected!	
GOBP_PROTEIN_DENEDDYLATION	10		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	322	163		
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	77	43		
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	60	35		
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	50	22		
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	5		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	11		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	42	22		
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	88	69		
GOBP_MITOPHAGY	34	30		
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	9		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35	15		
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37	21		
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15		Rejected!	
