NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT	GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT	Details ...	51	-0.6772652	-1.8844804	0.0	0.1329425	0.159	1756	tags=43%, list=15%, signal=51%	
GOBP_XENOBIOTIC_TRANSPORT	GOBP_XENOBIOTIC_TRANSPORT	Details ...	23	-0.7876677	-1.8562907	0.0	0.12873568	0.283	1012	tags=43%, list=9%, signal=48%	
GOBP_NUCLEOTIDE_TRANSPORT	GOBP_NUCLEOTIDE_TRANSPORT	Details ...	25	-0.76646596	-1.8379318	0.0	0.12732986	0.393	1369	tags=48%, list=12%, signal=54%	
GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_MONOOXYGENASE_ACTIVITY	Details ...	24	-0.7447195	-1.8278444	0.0	0.11610656	0.45	433	tags=17%, list=4%, signal=17%	
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT	GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT	Details ...	64	-0.62825906	-1.826323	0.0	0.09512982	0.458	1657	tags=33%, list=14%, signal=38%	
GOBP_NECROTIC_CELL_DEATH	GOBP_NECROTIC_CELL_DEATH	Details ...	40	-0.67360777	-1.817045	0.0021231424	0.09161501	0.507	1306	tags=25%, list=11%, signal=28%	
GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS	GOBP_EXTRACELLULAR_VESICLE_BIOGENESIS	Details ...	19	-0.77675056	-1.7992201	0.0	0.10924909	0.641	1000	tags=32%, list=9%, signal=34%	
GOBP_MITOPHAGY	GOBP_MITOPHAGY	Details ...	30	-0.72615886	-1.7937022	0.0047281324	0.10618458	0.681	1134	tags=27%, list=10%, signal=29%	
GOBP_PURINE_NUCLEOTIDE_TRANSPORT	GOBP_PURINE_NUCLEOTIDE_TRANSPORT	Details ...	19	-0.78636295	-1.7860515	0.0020661156	0.108669296	0.739	1355	tags=53%, list=12%, signal=59%	
GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PTERIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	Details ...	28	-0.7166633	-1.7628186	0.0022172949	0.1440042	0.862	1624	tags=46%, list=14%, signal=54%	
GOBP_DETOXIFICATION	GOBP_DETOXIFICATION	Details ...	67	-0.6066221	-1.7611372	0.0	0.13499308	0.867	1598	tags=33%, list=14%, signal=38%	
GOBP_INTESTINAL_ABSORPTION	GOBP_INTESTINAL_ABSORPTION	Details ...	17	-0.7786341	-1.7600856	0.004	0.12598848	0.87	1163	tags=59%, list=10%, signal=65%	
GOBP_STEROL_BIOSYNTHETIC_PROCESS	GOBP_STEROL_BIOSYNTHETIC_PROCESS	Details ...	47	-0.63843715	-1.7516632	0.00456621	0.13227339	0.902	2188	tags=62%, list=19%, signal=76%	
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	Details ...	18	-0.7552625	-1.7499523	0.0020661156	0.12608059	0.905	636	tags=28%, list=5%, signal=29%	
GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	GOBP_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE	Details ...	15	-0.7845172	-1.7415	0.008298756	0.1321724	0.927	1307	tags=47%, list=11%, signal=53%	
GOBP_TRICARBOXYLIC_ACID_CYCLE	GOBP_TRICARBOXYLIC_ACID_CYCLE	Details ...	22	-0.73833495	-1.7384381	0.006342495	0.13074128	0.936	1155	tags=32%, list=10%, signal=35%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION	Details ...	116	-0.5499741	-1.7341999	0.0	0.1310769	0.951	3125	tags=49%, list=27%, signal=67%	
GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	GOBP_PEPTIDYL_THREONINE_DEPHOSPHORYLATION	Details ...	15	-0.7812444	-1.7327662	0.004016064	0.12636717	0.955	428	tags=20%, list=4%, signal=21%	
GOBP_PROGRAMMED_NECROTIC_CELL_DEATH	GOBP_PROGRAMMED_NECROTIC_CELL_DEATH	Details ...	31	-0.69210535	-1.7278496	0.0020408162	0.12870237	0.966	426	tags=16%, list=4%, signal=17%	
GOBP_REGULATION_OF_EXOSOMAL_SECRETION	GOBP_REGULATION_OF_EXOSOMAL_SECRETION	Details ...	15	-0.77319556	-1.7221057	0.0041067763	0.13246882	0.973	1000	tags=33%, list=9%, signal=36%	
GOBP_INORGANIC_ANION_TRANSPORT	GOBP_INORGANIC_ANION_TRANSPORT		93	-0.5661686	-1.713048	0.0022222223	0.14237162	0.982	1405	tags=26%, list=12%, signal=29%	
GOBP_ORGANELLE_DISASSEMBLY	GOBP_ORGANELLE_DISASSEMBLY		86	-0.56986123	-1.7122909	0.0	0.13749968	0.982	1560	tags=20%, list=13%, signal=23%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION		143	-0.53316945	-1.7059834	0.0	0.14246275	0.992	3125	tags=48%, list=27%, signal=64%	
GOBP_SELECTIVE_AUTOPHAGY	GOBP_SELECTIVE_AUTOPHAGY		61	-0.6033793	-1.6948493	0.0	0.15704969	0.998	1297	tags=21%, list=11%, signal=24%	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	GOBP_AUTOPHAGY_OF_MITOCHONDRION		69	-0.5756809	-1.6938764	0.004608295	0.15263203	0.998	2296	tags=32%, list=20%, signal=39%	
GOBP_CELL_REDOX_HOMEOSTASIS	GOBP_CELL_REDOX_HOMEOSTASIS		24	-0.6948433	-1.6933444	0.006122449	0.14800131	0.999	1818	tags=46%, list=16%, signal=54%	
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION		37	-0.6288736	-1.6930043	0.002096436	0.1431319	0.999	1306	tags=35%, list=11%, signal=39%	
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY	GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY		44	-0.63035566	-1.6872426	0.0022371365	0.14867145	0.999	1332	tags=36%, list=11%, signal=41%	
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	GOBP_CELLULAR_OXIDANT_DETOXIFICATION		45	-0.61767524	-1.6833556	0.006289308	0.15110238	0.999	1110	tags=31%, list=10%, signal=34%	
GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH	GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH		19	-0.7258451	-1.6781046	0.008733625	0.15722547	1.0	910	tags=21%, list=8%, signal=23%	
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_ACTIVITY		16	-0.7552997	-1.6779195	0.0	0.15263724	1.0	433	tags=19%, list=4%, signal=19%	
GOBP_DE_NOVO_PROTEIN_FOLDING	GOBP_DE_NOVO_PROTEIN_FOLDING		27	-0.6822494	-1.6769793	0.004166667	0.14953223	1.0	2858	tags=67%, list=25%, signal=88%	
GOBP_SPERM_EGG_RECOGNITION	GOBP_SPERM_EGG_RECOGNITION		18	-0.74283254	-1.6764997	0.013215859	0.14588666	1.0	1069	tags=39%, list=9%, signal=43%	
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE		62	-0.58935267	-1.6638757	0.0022883294	0.16505724	1.0	1409	tags=29%, list=12%, signal=33%	
GOBP_MODIFIED_AMINO_ACID_TRANSPORT	GOBP_MODIFIED_AMINO_ACID_TRANSPORT		23	-0.6966489	-1.6614542	0.010121457	0.16503662	1.0	1248	tags=35%, list=11%, signal=39%	
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY	GOBP_ER_NUCLEUS_SIGNALING_PATHWAY		37	-0.63366735	-1.6614009	0.0065075923	0.16055769	1.0	1314	tags=32%, list=11%, signal=36%	
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT		82	-0.54478216	-1.660158	0.0	0.1584329	1.0	1377	tags=33%, list=12%, signal=37%	
GOBP_PROTEIN_FOLDING	GOBP_PROTEIN_FOLDING		122	-0.518946	-1.6594466	0.0	0.15549426	1.0	2573	tags=42%, list=22%, signal=53%	
GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS		15	-0.7678547	-1.6586202	0.0042918455	0.15329616	1.0	636	tags=27%, list=5%, signal=28%	
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS		30	-0.6519305	-1.6580441	0.014925373	0.15036564	1.0	831	tags=27%, list=7%, signal=29%	
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION		82	-0.5477188	-1.6553885	0.0	0.15141879	1.0	3098	tags=52%, list=27%, signal=71%	
GOBP_REGULATION_OF_MACROAUTOPHAGY	GOBP_REGULATION_OF_MACROAUTOPHAGY		121	-0.5210274	-1.6538512	0.0	0.15047224	1.0	2252	tags=37%, list=19%, signal=46%	
GOBP_SULFUR_COMPOUND_TRANSPORT	GOBP_SULFUR_COMPOUND_TRANSPORT		33	-0.63718474	-1.6406586	0.010351967	0.17116341	1.0	1373	tags=33%, list=12%, signal=38%	
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY	GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY		38	-0.6134895	-1.6371759	0.009090909	0.17406224	1.0	1332	tags=32%, list=11%, signal=36%	
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY		37	-0.619517	-1.6361094	0.013129103	0.17184453	1.0	1102	tags=24%, list=9%, signal=27%	
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING	GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING		23	-0.683628	-1.6327401	0.012875536	0.174752	1.0	2467	tags=57%, list=21%, signal=72%	
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION	GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION		31	-0.6325737	-1.6314471	0.023605151	0.1736953	1.0	2296	tags=39%, list=20%, signal=48%	
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION	GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION		24	-0.6711351	-1.62925	0.019313306	0.17508589	1.0	1689	tags=42%, list=15%, signal=49%	
GOBP_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_RESPONSE_TO_TOXIC_SUBSTANCE		117	-0.51302457	-1.6277149	0.0	0.17402679	1.0	1409	tags=25%, list=12%, signal=28%	
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION	GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION		80	-0.54142195	-1.6276032	0.0022172949	0.17068043	1.0	1749	tags=30%, list=15%, signal=35%	
GOBP_LACTATION	GOBP_LACTATION		27	-0.65817714	-1.6213356	0.010845987	0.17816234	1.0	609	tags=19%, list=5%, signal=19%	
