NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABHD2	"abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]"	41	218.76695251464844	0.07191365	Yes	
row_1	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	67	190.772216796875	0.13561435	Yes	
row_2	TSC22D1	TSC22 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:16826]	171	138.44004821777344	0.17403205	Yes	
row_3	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	191	131.31805419921875	0.21771559	Yes	
row_4	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	365	86.43518829345703	0.23169972	Yes	
row_5	SELENOP	selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]	372	85.43130493164062	0.26070416	Yes	
row_6	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	418	79.16165161132812	0.28395066	Yes	
row_7	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	483	69.797119140625	0.30220887	Yes	
row_8	SEC24D	"SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]"	569	60.42277526855469	0.31529143	Yes	
row_9	AKAP12	A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]	828	43.85318374633789	0.30672166	Yes	
row_10	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	833	43.590824127197266	0.32143465	Yes	
row_11	PMEPA1	"prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]"	900	40.1279182434082	0.32924423	Yes	
row_12	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	947	38.1506462097168	0.33821017	Yes	
row_13	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	998	36.44049835205078	0.34621635	Yes	
row_14	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	1447	25.076459884643555	0.31366628	No	
row_15	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1460	24.875368118286133	0.32116812	No	
row_16	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	1795	19.58257293701172	0.29720783	No	
row_17	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	1891	18.52933692932129	0.29487634	No	
row_18	PGM3	phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]	1921	18.306211471557617	0.2985411	No	
row_19	IQGAP2	IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]	2315	14.517403602600098	0.26739913	No	
row_20	GUCY1A1	guanylate cyclase 1 soluble subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4685]	2488	13.072556495666504	0.2560941	No	
row_21	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	2657	11.878798484802246	0.24474414	No	
row_22	B4GALT1	"beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]"	2682	11.703394889831543	0.24658464	No	
row_23	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	2742	11.307313919067383	0.24506733	No	
row_24	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2861	10.464505195617676	0.23782916	No	
row_25	ZBTB10	zinc finger and BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30953]	3049	9.463998794555664	0.22389534	No	
row_26	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3190	8.761564254760742	0.21404354	No	
row_27	KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	3667	6.80483865737915	0.17259546	No	
row_28	PTK2B	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:9612]	3776	6.416969299316406	0.16487719	No	
row_29	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	4824	3.5937914848327637	0.06977379	No	
row_30	SRF	serum response factor [Source:HGNC Symbol;Acc:HGNC:11291]	5673	-2.2042088508605957	-0.0074980306	No	
row_31	DBI	"diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]"	5782	-2.3995718955993652	-0.016606199	No	
row_32	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	5872	-2.546884298324585	-0.02391499	No	
row_33	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	6310	-3.32456374168396	-0.06297828	No	
row_34	CENPN	centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]	6709	-4.075423717498779	-0.09819295	No	
row_35	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]	7266	-5.491207599639893	-0.14745724	No	
row_36	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	7377	-5.848229885101318	-0.15555632	No	
row_37	STK39	serine/threonine kinase 39 [Source:HGNC Symbol;Acc:HGNC:17717]	7386	-5.876644611358643	-0.15425937	No	
row_38	ACSL3	acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]	7422	-5.999106407165527	-0.15540461	No	
row_39	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	7439	-6.055959224700928	-0.15478179	No	
row_40	FKBP5	FKBP prolyl isomerase 5 [Source:HGNC Symbol;Acc:HGNC:3721]	7452	-6.099605083465576	-0.15377578	No	
row_41	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	7731	-7.115965843200684	-0.17689592	No	
row_42	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	7845	-7.519180774688721	-0.18469296	No	
row_43	ACTN1	actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]	8014	-8.43882942199707	-0.19723304	No	
row_44	NKX3-1	NK3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7838]	8112	-8.862671852111816	-0.20309293	No	
row_45	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	8273	-9.722179412841797	-0.21445285	No	
row_46	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	8567	-11.909576416015625	-0.23729487	No	
row_47	UBE2J1	ubiquitin conjugating enzyme E2 J1 [Source:HGNC Symbol;Acc:HGNC:17598]	8610	-12.217988014221191	-0.23693272	No	
row_48	XRCC6	X-ray repair cross complementing 6 [Source:HGNC Symbol;Acc:HGNC:4055]	8763	-13.374053001403809	-0.24629302	No	
