NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMF	Bcl2 modifying factor [Source:HGNC Symbol;Acc:HGNC:24132]	139	154.16310119628906	0.018612215	Yes	
row_1	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	198	128.68878173828125	0.03950926	Yes	
row_2	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	231	117.9754638671875	0.060622245	Yes	
row_3	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	233	117.52344512939453	0.08450649	Yes	
row_4	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	243	114.97943115234375	0.107132755	Yes	
row_5	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	256	110.51310729980469	0.1285707	Yes	
row_6	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	286	102.74734497070312	0.14685403	Yes	
row_7	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	288	102.12577819824219	0.1675969	Yes	
row_8	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	320	95.07986450195312	0.1841312	Yes	
row_9	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	343	91.27628326416016	0.20072085	Yes	
row_10	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	347	90.3570556640625	0.21887799	Yes	
row_11	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	407	81.05154418945312	0.22996391	Yes	
row_12	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	442	75.193359375	0.24216394	Yes	
row_13	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	454	73.26570129394531	0.25609523	Yes	
row_14	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]	463	72.58789825439453	0.27016532	Yes	
row_15	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	478	70.36602020263672	0.2832279	Yes	
row_16	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	499	67.65522766113281	0.2951832	Yes	
row_17	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	511	65.83779907226562	0.30759907	Yes	
row_18	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	631	55.96129608154297	0.308024	Yes	
row_19	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	666	53.522216796875	0.31580278	Yes	
row_20	RNASEL	ribonuclease L [Source:HGNC Symbol;Acc:HGNC:10050]	722	49.82834243774414	0.32088816	Yes	
row_21	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	789	45.64468765258789	0.32410398	Yes	
row_22	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	909	39.625892639160156	0.3211962	Yes	
row_23	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	947	38.1506462097168	0.32556185	Yes	
row_24	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	1093	33.37338638305664	0.31897685	Yes	
row_25	JUN	"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"	1106	33.19391632080078	0.32464048	Yes	
row_26	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1126	32.70037078857422	0.32955682	Yes	
row_27	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	1131	32.55487823486328	0.33582905	Yes	
row_28	H1-0	H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714]	1447	25.076459884643555	0.31184843	No	
row_29	FEZ1	fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659]	1454	24.96099853515625	0.31638664	No	
row_30	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	1490	24.182212829589844	0.31808722	No	
row_31	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1587	22.6416015625	0.31383893	No	
