NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	483	69.797119140625	-0.01630031	No	
row_1	ACSS1	acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]	691	52.180938720703125	-0.014269845	No	
row_2	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	692	52.17710494995117	0.0068567726	No	
row_3	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	843	43.17873001098633	0.010501014	No	
row_4	VNN1	vanin 1 [Source:HGNC Symbol;Acc:HGNC:12705]	1190	31.08233642578125	-0.008835449	No	
row_5	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	1316	27.866676330566406	-0.009084604	No	
row_6	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	1460	24.875368118286133	-0.012205616	No	
row_7	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	1524	23.697622299194336	-0.008422745	No	
row_8	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	1539	23.505691528320312	-1.9687408E-4	No	
row_9	ADH1C	"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"	1543	23.481670379638672	0.009034124	No	
row_10	INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	1614	22.108762741088867	0.011527847	No	
row_11	ALAD	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	1686	21.082509994506836	0.013513777	No	
row_12	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:22960]	1704	20.808574676513672	0.020370802	No	
row_13	TDO2	"tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]"	2122	16.0893611907959	-0.011586768	No	
row_14	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	2405	13.77113151550293	-0.032027967	No	
row_15	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	2608	12.296584129333496	-0.045685463	No	
row_16	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	3002	9.68065071105957	-0.0780237	No	
row_17	OSTC	oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]	3230	8.575540542602539	-0.095494345	No	
