NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	0	307.27838134765625	0.051241945	No	
row_1	TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	61	196.43736267089844	0.07843875	No	
row_2	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	64	193.92037963867188	0.110591665	No	
row_3	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	145	150.2622833251953	0.12823455	No	
row_4	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	198	128.68878173828125	0.14487505	No	
row_5	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	225	120.05801391601562	0.16248614	No	
row_6	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	255	111.36712646484375	0.17836986	No	
row_7	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	269	107.00386810302734	0.19500898	No	
row_8	HOXB9	homeobox B9 [Source:HGNC Symbol;Acc:HGNC:5120]	322	94.75537872314453	0.20599072	No	
row_9	CSRP2	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	323	94.18524932861328	0.22169712	No	
row_10	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]"	338	91.9537582397461	0.23573376	No	
row_11	COL5A1	collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]	360	87.58766174316406	0.24839352	No	
row_12	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	454	73.26570129394531	0.25199145	No	
row_13	PLAUR	"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"	474	71.01639556884766	0.26207316	No	
row_14	GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	492	68.53500366210938	0.2719264	No	
row_15	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	554	61.132911682128906	0.27646706	No	
row_16	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	561	60.77077102661133	0.28604513	No	
row_17	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	741	48.899478912353516	0.27760866	No	
row_18	KLF7	Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	785	45.74230194091797	0.28125113	No	
