NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCBLD2	"discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]"	3	290.310302734375	0.06598963	Yes	
row_1	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	39	221.7241973876953	0.113366425	Yes	
row_2	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	59	199.33111572265625	0.15711033	Yes	
row_3	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	114	164.61793518066406	0.18969609	Yes	
row_4	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	153	144.03494262695312	0.21906212	Yes	
row_5	CMKLR1	chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]	180	133.0956268310547	0.2470401	Yes	
row_6	MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	226	119.85137176513672	0.27023906	Yes	
row_7	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	243	114.97943115234375	0.2950059	Yes	
row_8	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	320	95.07986450195312	0.30968565	Yes	
row_9	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	378	84.91168975830078	0.32380024	Yes	
row_10	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	407	81.05154418945312	0.3397137	Yes	
row_11	PLAUR	"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"	474	71.01639556884766	0.3498248	Yes	
row_12	CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	489	69.00267791748047	0.3642817	Yes	
row_13	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	578	59.93650817871094	0.3698306	Yes	
row_14	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	591	58.58375549316406	0.38209412	Yes	
row_15	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	634	55.92581558227539	0.39097852	Yes	
row_16	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	659	54.367149353027344	0.40117058	Yes	
