NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	187	132.283447265625	0.019237354	No	
row_1	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	255	111.36712646484375	0.043810938	No	
row_2	ADD3	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	258	110.18819427490234	0.07408054	No	
row_3	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	333	92.44854736328125	0.092776716	No	
row_4	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	366	86.3166275024414	0.11366914	No	
row_5	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	483	69.797119140625	0.12221364	No	
row_6	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	1075	34.100975036621094	0.07688616	No	
row_7	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	1567	23.07087516784668	0.03777448	No	
row_8	SEC11A	"SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]"	1643	21.597396850585938	0.03679548	No	
row_9	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1721	20.572397232055664	0.035347886	No	
row_10	WARS1	tryptophanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:12729]	1860	18.872421264648438	0.027779149	No	
row_11	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	1905	18.41937828063965	0.02879374	No	
row_12	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2484	13.09760570526123	-0.021134485	No	
row_13	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2861	10.464505195617676	-0.05307637	No	
row_14	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	3409	7.847248077392578	-0.10158377	No	
row_15	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	3512	7.387363910675049	-0.108991675	No	
row_16	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	3584	7.0912766456604	-0.11360945	No	
row_17	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	3694	6.708971977233887	-0.12185336	No	
