NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CBX3	chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]	964	37.48505401611328	-0.03868574	No	
row_1	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	2861	10.464505195617676	-0.19874094	No	
row_2	PPRC1	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	2935	9.981863021850586	-0.19218908	No	
row_3	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	3208	8.681814193725586	-0.20561968	No	
row_4	MPHOSPH10	M-phase phosphoprotein 10 [Source:HGNC Symbol;Acc:HGNC:7213]	5139	3.0036582946777344	-0.37869707	No	
row_5	PES1	pescadillo ribosomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8848]	5892	-2.5761754512786865	-0.4442685	No	
row_6	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	6071	-2.864177942276001	-0.4567971	No	
row_7	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	6171	-3.059866189956665	-0.46181825	No	
row_8	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	6278	-3.25072979927063	-0.46722826	No	
row_9	AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	6418	-3.522059679031372	-0.47530565	No	
row_10	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	6510	-3.7030107975006104	-0.4787392	No	
row_11	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:21034]	6634	-3.9447274208068848	-0.4847877	No	
row_12	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	6674	-4.008620738983154	-0.48304495	No	
row_13	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	6717	-4.100551605224609	-0.48145542	No	
row_14	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]	7061	-4.923382759094238	-0.5063884	No	
row_15	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	7071	-4.951769828796387	-0.5006415	No	
row_16	GRWD1	glutamate rich WD repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:21270]	7144	-5.11824893951416	-0.5004535	No	
row_17	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	7306	-5.613583564758301	-0.5077731	No	
row_18	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	7372	-5.8307952880859375	-0.50599706	No	
row_19	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	7385	-5.876481056213379	-0.49929804	No	
row_20	FARSA	phenylalanyl-tRNA synthetase subunit alpha [Source:HGNC Symbol;Acc:HGNC:3592]	7694	-6.988580226898193	-0.51827884	No	
row_21	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	8139	-8.972336769104004	-0.54710364	Yes	
row_22	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	8173	-9.17037582397461	-0.53795916	Yes	
row_23	PRMT3	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	8175	-9.171914100646973	-0.5258768	Yes	
row_24	SRM	spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]	8177	-9.184083938598633	-0.5137783	Yes	
row_25	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	8184	-9.218198776245117	-0.5020933	Yes	
row_26	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	8469	-11.12503433227539	-0.5133819	Yes	
row_27	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	8567	-11.909576416015625	-0.5064732	Yes	
row_28	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	8615	-12.233986854553223	-0.4945467	Yes	
row_29	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	8616	-12.240631103515625	-0.47829947	Yes	
row_30	IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	8672	-12.611810684204102	-0.46660545	Yes	
row_31	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	8682	-12.703407287597656	-0.45056966	Yes	
row_32	RRP9	"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]"	9355	-21.0697021484375	-0.48425484	Yes	
row_33	WDR43	WD repeat domain 43 [Source:HGNC Symbol;Acc:HGNC:28945]	9550	-24.922239303588867	-0.46897322	Yes	
row_34	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	9565	-25.28278923034668	-0.4366993	Yes	
row_35	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	9618	-26.19878578186035	-0.40669578	Yes	
row_36	PHB	prohibitin [Source:HGNC Symbol;Acc:HGNC:8912]	9655	-27.098112106323242	-0.3740307	Yes	
row_37	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]	9694	-28.051054000854492	-0.34028426	Yes	
row_38	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	10039	-39.258079528808594	-0.31973588	Yes	
row_39	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	10724	-111.11103057861328	-0.23500839	Yes	
row_40	SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	10880	-191.91554260253906	0.005504569	Yes	
