NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	692	52.17710494995117	-0.04749818	No	
row_1	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	1075	34.100975036621094	-0.07202734	No	
row_2	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	1501	23.992061614990234	-0.10376918	No	
row_3	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	1689	21.006755828857422	-0.114400245	No	
row_4	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1723	20.522981643676758	-0.11090926	No	
row_5	TCIRG1	"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]"	2022	17.104936599731445	-0.1330758	No	
row_6	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	2317	14.503846168518066	-0.15570171	No	
row_7	SDHA	succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]	2405	13.77113151550293	-0.15937172	No	
row_8	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	2491	12.99877643585205	-0.16310282	No	
row_9	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	2887	10.309805870056152	-0.19643044	No	
row_10	PHB2	prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306]	3549	7.256553649902344	-0.25539187	No	
row_11	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	3677	6.762409210205078	-0.26500696	No	
row_12	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	3808	6.32392692565918	-0.27504015	No	
row_13	MRPL35	mitochondrial ribosomal protein L35 [Source:HGNC Symbol;Acc:HGNC:14489]	3875	6.131137847900391	-0.27920178	No	
row_14	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	4276	4.953591823577881	-0.31470242	No	
row_15	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]	4402	4.604284286499023	-0.32482094	No	
row_16	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	4445	4.494224548339844	-0.3272801	No	
