NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	114	164.61793518066406	0.090162896	No	
row_1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	958	37.7958869934082	0.035663765	No	
row_2	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	994	36.60292434692383	0.05482295	No	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1476	24.457557678222656	0.025495086	No	
row_4	KDELR3	KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]	1631	21.84910011291504	0.02467719	No	
row_5	SEC11A	"SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]"	1643	21.597396850585938	0.03687055	No	
row_6	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]	1702	20.829275131225586	0.04426722	No	
row_7	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2349	14.281076431274414	-0.006473786	No	
row_8	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2484	13.09760570526123	-0.010801637	No	
row_9	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	2677	11.743963241577148	-0.02129691	No	
row_10	CNOT2	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]	2823	10.71893310546875	-0.028091941	No	
row_11	TTC37	tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]	2930	10.020678520202637	-0.031723432	No	
row_12	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	3152	8.923126220703125	-0.04661341	No	
row_13	SEC31A	"SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]"	3176	8.81381893157959	-0.043341536	No	
row_14	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	3226	8.591354370117188	-0.042599358	No	
row_15	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	3616	6.9864325523376465	-0.07414032	No	
row_16	WIPI1	"WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]"	3707	6.663086414337158	-0.07835184	No	
row_17	ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	3999	5.708745002746582	-0.10165178	No	
row_18	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	4281	4.944516658782959	-0.12449839	No	
row_19	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	4375	4.697591781616211	-0.13018793	No	
row_20	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	4378	4.695668697357178	-0.12750082	No	
row_21	MTHFD2	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]"	4389	4.643049716949463	-0.1255824	No	
