NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	39	221.7241973876953	0.059494596	No	
row_1	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	231	117.9754638671875	0.07543484	No	
row_2	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	407	81.05154418945312	0.082344845	No	
row_3	HTR7	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	786	45.73871612548828	0.06046705	No	
row_4	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	855	42.61565399169922	0.06631681	No	
row_5	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446]	863	42.31319046020508	0.07771144	No	
row_6	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	909	39.625892639160156	0.08483357	No	
row_7	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	1177	31.330503463745117	0.06910218	No	
row_8	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	1249	29.350088119506836	0.07090011	No	
row_9	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	1276	28.705852508544922	0.07666869	No	
row_10	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	1471	24.58013153076172	0.06575506	No	
row_11	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	1668	21.31082534790039	0.053726494	No	
row_12	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	1727	20.42498016357422	0.054184694	No	
row_13	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	1960	17.750640869140625	0.03781984	No	
