NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	75	187.35198974609375	0.18901406	Yes	
row_1	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	288	102.12577819824219	0.27636424	Yes	
row_2	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	455	73.23123168945312	0.33771908	Yes	
row_3	NUMB	NUMB endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060]	605	57.748748779296875	0.384444	Yes	
row_4	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	631	55.96129608154297	0.4406637	Yes	
row_5	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	657	54.46741485595703	0.49532142	Yes	
row_6	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	666	53.522216796875	0.55054885	Yes	
row_7	MAML1	mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]	1150	32.14664077758789	0.5398968	No	
row_8	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	1629	21.871885299682617	0.5189601	No	
row_9	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	2018	17.1246337890625	0.5013077	No	
row_10	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	2120	16.106792449951172	0.5088924	No	
row_11	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2799	10.837957382202148	0.4580907	No	
row_12	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	4001	5.701645374298096	0.35398978	No	
row_13	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	4038	5.614217281341553	0.35656065	No	
row_14	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	4044	5.600028038024902	0.36195758	No	
row_15	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	4213	5.117493152618408	0.35191232	No	
row_16	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	5278	2.732884407043457	0.25726238	No	
row_17	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	5460	2.472245931625366	0.24326001	No	
row_18	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	5953	-2.6788594722747803	0.20097293	No	
row_19	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	7097	-5.014514446258545	0.101468824	No	
row_20	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	7892	-7.765318870544434	0.03682398	No	
row_21	MYC	"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"	8616	-12.240631103515625	-0.01663507	No	
row_22	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	9192	-18.235733032226562	-0.050262846	No	
row_23	HDAC11	histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]	9490	-23.604331970214844	-0.05280091	No	
row_24	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	9622	-26.267833709716797	-0.037341516	No	
row_25	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	9643	-26.821046829223633	-0.011131423	No	
row_26	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	9941	-35.15879821777344	-0.0015886291	No	
row_27	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	10002	-37.44269561767578	0.032061316	No	
row_28	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	10275	-51.46293640136719	0.060942076	No	
