NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	154	-0.5738621	-1.8913265	0.0	0.0015294118	0.001	2943	tags=55%, list=27%, signal=74%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	121	-0.57745516	-1.8162649	0.0	0.003168493	0.005	1093	tags=28%, list=10%, signal=31%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	108	-0.5248456	-1.6504675	0.0	0.019465946	0.048	1255	tags=28%, list=11%, signal=31%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	33	-0.61694056	-1.6217587	0.008791209	0.020145547	0.067	955	tags=30%, list=9%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	102	-0.49667025	-1.5533412	0.0	0.03587352	0.139	1819	tags=30%, list=17%, signal=36%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	68	-0.5242655	-1.5452104	0.0066964286	0.03190274	0.149	1378	tags=26%, list=13%, signal=30%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	147	-0.47363782	-1.5440787	0.0023148148	0.027522078	0.15	2370	tags=44%, list=22%, signal=56%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	130	-0.46316165	-1.4961592	0.0088691795	0.041122176	0.246	1091	tags=29%, list=10%, signal=32%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	41	-0.5590128	-1.4918916	0.033039648	0.03760295	0.254	2803	tags=49%, list=26%, signal=65%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	142	-0.43371606	-1.4057062	0.023094688	0.078404404	0.502	1230	tags=33%, list=11%, signal=37%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	145	-0.4252308	-1.4040155	0.022988506	0.07300096	0.509	1463	tags=31%, list=13%, signal=35%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	62	-0.4754735	-1.3875372	0.030303031	0.07713444	0.559	1292	tags=42%, list=12%, signal=47%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	61	-0.47039357	-1.3480127	0.072052404	0.1007521	0.679	1819	tags=34%, list=17%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	79	-0.4094698	-1.2625599	0.121212125	0.17984015	0.888	734	tags=10%, list=7%, signal=11%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	136	-0.38001212	-1.2288748	0.094808124	0.21339731	0.948	1016	tags=21%, list=9%, signal=22%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	66	-0.40788105	-1.1985477	0.16981132	0.2422732	0.975	2069	tags=32%, list=19%, signal=39%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	152	-0.32736698	-1.0712429	0.28923768	0.47577608	0.999	996	tags=18%, list=9%, signal=20%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	125	-0.33422354	-1.0558895	0.34265736	0.48591873	1.0	1296	tags=19%, list=12%, signal=22%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	123	-0.3276505	-1.048743	0.3261391	0.4790452	1.0	621	tags=11%, list=6%, signal=11%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	124	-0.3184231	-1.0119549	0.43529412	0.55013406	1.0	3140	tags=40%, list=29%, signal=56%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		79	-0.33514264	-1.0072117	0.42332613	0.53435844	1.0	1152	tags=14%, list=11%, signal=15%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		98	-0.29384458	-0.9063441	0.6509636	0.78232265	1.0	2382	tags=18%, list=22%, signal=23%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		101	-0.28747213	-0.90547395	0.6636971	0.75020033	1.0	2041	tags=22%, list=19%, signal=27%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		53	-0.3030825	-0.84716684	0.7505285	0.8600003	1.0	1875	tags=28%, list=17%, signal=34%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		75	-0.26541778	-0.7875303	0.87645686	0.9309795	1.0	2221	tags=27%, list=20%, signal=33%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		51	-0.23023379	-0.6409749	0.98550725	0.98624927	1.0	2308	tags=20%, list=21%, signal=25%	
