NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OLR1	329	4.437436103820801	0.042516552	No	
row_1	VTN	735	2.6996066570281982	0.05699319	No	
row_2	JAG2	1768	1.2312707901000977	0.01648799	No	
row_3	S100A4	2083	1.033652424812317	0.013194657	No	
row_4	LRPAP1	2796	0.756832480430603	-0.01602041	No	
row_5	PDGFA	3692	0.5505531430244446	-0.05823681	No	
row_6	FSTL1	3777	0.5341855883598328	-0.055586882	No	
row_7	SLCO2A1	4230	0.4618894159793854	-0.07438802	No	
row_8	JAG1	5885	0.2604067027568817	-0.16277994	No	
row_9	APP	6536	0.1984383910894394	-0.19619986	No	
row_10	COL5A2	7841	0.07519238442182541	-0.2676703	No	
row_11	PTK2	9253	-0.05579894781112671	-0.34535557	No	
row_12	ITGAV	13051	-0.5231643319129944	-0.549295	No	
row_13	LUM	13394	-0.5893118977546692	-0.5602341	No	
row_14	VAV2	14025	-0.7208753824234009	-0.5853828	No	
row_15	FGFR1	14084	-0.7366952300071716	-0.57851225	No	
row_16	MSX1	15427	-1.28339684009552	-0.63553876	Yes	
row_17	TIMP1	15700	-1.4519141912460327	-0.63076526	Yes	
row_18	VEGFA	15991	-1.728829264640808	-0.62319785	Yes	
row_19	COL3A1	16397	-2.3027613162994385	-0.6141594	Yes	
row_20	SPP1	16529	-2.503779649734497	-0.5871322	Yes	
row_21	NRP1	16726	-2.903393507003784	-0.55824286	Yes	
row_22	THBD	16945	-3.5217342376708984	-0.5221032	Yes	
row_23	TNFRSF21	17539	-6.231841564178467	-0.469675	Yes	
row_24	CCND2	17637	-6.781031608581543	-0.382144	Yes	
row_25	VCAN	17706	-7.32546854019165	-0.28553993	Yes	
row_26	STC1	17850	-8.881301879882812	-0.17178532	Yes	
row_27	POSTN	18007	-13.193123817443848	3.336876E-4	Yes	
