NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACHE	176	5.793975830078125	0.06593332	No	
row_1	VLDLR	428	3.916081190109253	0.10315461	No	
row_2	ADGRG1	952	2.23063588142395	0.10322473	No	
row_3	CDK5R1	1693	1.2859408855438232	0.07888264	No	
row_4	CELSR1	1827	1.1867222785949707	0.08699611	No	
row_5	OPHN1	2128	1.014748454093933	0.08357607	No	
row_6	CDK6	3293	0.6263173818588257	0.02703703	No	
row_7	LDB1	6902	0.16516093909740448	-0.17142731	No	
row_8	ETS2	8048	0.05629719793796539	-0.23435928	No	
row_9	PTCH1	8640	2.568355412222445E-4	-0.26721847	No	
row_10	GLI1	9528	-0.08158421516418457	-0.31547388	No	
row_11	NF1	9554	-0.08409620076417923	-0.31576496	No	
row_12	MYH9	10923	-0.22503355145454407	-0.3888917	No	
row_13	DPYSL2	12149	-0.380071759223938	-0.45204076	No	
row_14	PML	13952	-0.7034181952476501	-0.54304814	No	
row_15	RASA1	14785	-0.9624415040016174	-0.57673365	No	
row_16	THY1	15494	-1.3154655694961548	-0.5989105	Yes	
row_17	TLE1	15774	-1.5217812061309814	-0.5945366	Yes	
row_18	VEGFA	15991	-1.728829264640808	-0.5839537	Yes	
row_19	NRP2	16420	-2.340080738067627	-0.5771708	Yes	
row_20	NRP1	16726	-2.903393507003784	-0.5561867	Yes	
row_21	TLE3	16944	-3.518934965133667	-0.522265	Yes	
row_22	AMOT	16969	-3.5962281227111816	-0.47660148	Yes	
row_23	SLIT1	17155	-4.329596996307373	-0.43030614	Yes	
row_24	NKX6-1	17208	-4.627066612243652	-0.3727278	Yes	
row_25	NRCAM	17252	-4.8692498207092285	-0.311484	Yes	
row_26	L1CAM	17346	-5.355499267578125	-0.24666579	Yes	
row_27	SCG2	17372	-5.444879055023193	-0.17689836	Yes	
row_28	HEY1	17553	-6.29762077331543	-0.10460547	Yes	
row_29	UNC5C	17921	-9.957231521606445	0.005115688	Yes	
