NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIM58	1	12.077559471130371	0.07286498	Yes	
row_1	ALDH1L1	120	6.363128185272217	0.10467095	Yes	
row_2	SPTB	242	5.155243396759033	0.12901592	Yes	
row_3	DMTN	280	4.816277980804443	0.15602177	Yes	
row_4	ANK1	297	4.674466609954834	0.18334827	Yes	
row_5	EPB41	305	4.605231761932373	0.21076111	Yes	
row_6	UCP2	558	3.253791093826294	0.21628423	Yes	
row_7	NFE2	671	2.8741440773010254	0.2273609	Yes	
row_8	C3	863	2.398097038269043	0.23113608	Yes	
row_9	TFRC	1207	1.7832190990447998	0.22268052	No	
row_10	SIDT2	1523	1.4074534177780151	0.21352535	No	
row_11	ELL2	1604	1.3500412702560425	0.21719325	No	
row_12	TMCC2	1663	1.303800344467163	0.22181484	No	
row_13	HTATIP2	1926	1.1127026081085205	0.21385023	No	
row_14	HAGH	2030	1.0666170120239258	0.21451792	No	
row_15	BTG2	2187	0.9825437068939209	0.21170782	No	
row_16	ADIPOR1	2286	0.9369003176689148	0.21187253	No	
row_17	NEK7	2294	0.9323928952217102	0.21710977	No	
row_18	SLC22A4	2585	0.8253666758537292	0.20584115	No	
row_19	MAP2K3	2593	0.8210421204566956	0.2104061	No	
row_20	ARL2BP	2640	0.8040295243263245	0.21268271	No	
row_21	GCLC	2702	0.7859537601470947	0.21400957	No	
row_22	SLC2A1	2711	0.7810476422309875	0.21827699	No	
row_23	MARCHF2	2971	0.7065836787223816	0.20802847	No	
row_24	KAT2B	2973	0.7064979076385498	0.21223806	No	
row_25	PPP2R5B	3050	0.6874273419380188	0.21212943	No	
row_26	HEBP1	3080	0.6805073022842407	0.21461295	No	
row_27	GDE1	3096	0.6761548519134521	0.21785477	No	
row_28	E2F2	3105	0.673797070980072	0.22147465	No	
row_29	EPOR	3229	0.6435688734054565	0.21846727	No	
row_30	MOSPD1	3231	0.6432844996452332	0.2222952	No	
row_31	SLC10A3	3280	0.629743754863739	0.22340745	No	
row_32	ATG4A	3301	0.624503493309021	0.2260572	No	
row_33	CAST	3521	0.5855448246002197	0.21731952	No	
row_34	TMEM9B	3540	0.5811008810997009	0.2198193	No	
row_35	RIOK3	3549	0.5786646604537964	0.2228648	No	
row_36	CCND3	3879	0.5163217186927795	0.20754464	No	
