NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLAMF7	29	8.701109886169434	0.033784013	No	
row_1	MARCHF1	870	2.3669376373291016	-0.0036897508	No	
row_2	STAT4	901	2.3205008506774902	0.0040714615	No	
row_3	ICAM1	969	2.1996307373046875	0.009265856	No	
row_4	OASL	1301	1.6626843214035034	-0.0025297687	No	
row_5	SOCS3	1405	1.509048342704773	-0.0021646325	No	
row_6	EPSTI1	1486	1.43775475025177	-7.998188E-4	No	
row_7	ISG15	1490	1.4342777729034424	0.004868925	No	
row_8	STAT1	1607	1.349230170249939	0.0038546342	No	
row_9	IFI30	1716	1.2700421810150146	0.002966709	No	
row_10	IRF5	1822	1.1906756162643433	0.0019240282	No	
row_11	USP18	1980	1.0860675573349	-0.0024604746	No	
row_12	LATS2	2086	1.0325813293457031	-0.0041465405	No	
row_13	CDKN1A	2165	0.99456387758255	-0.0044731917	No	
row_14	CCL5	2201	0.9748731851577759	-0.0024685818	No	
row_15	IL6	2333	0.9142619967460632	-0.006094217	No	
row_16	NFKBIA	2499	0.853843092918396	-0.011872419	No	
row_17	SPPL2A	2513	0.8505831956863403	-0.009139886	No	
row_18	PFKP	2627	0.8077002167701721	-0.012189767	No	
row_19	TNFAIP2	2835	0.7455991506576538	-0.0207638	No	
row_20	PNP	2869	0.7357879877090454	-0.019620018	No	
row_21	IFIT3	2960	0.7112411856651306	-0.021772636	No	
row_22	HLA-DMA	3027	0.6945505738258362	-0.022647284	No	
row_23	PTPN1	3193	0.6502341032028198	-0.0292541	No	
row_24	TDRD7	3576	0.5749286413192749	-0.048336513	No	
row_25	CFH	3805	0.5291662216186523	-0.058969006	No	
row_26	NUP93	4147	0.47415581345558167	-0.07616229	No	
row_27	MYD88	4288	0.45379117131233215	-0.08216658	No	
row_28	PNPT1	4320	0.44901105761528015	-0.08207772	No	
row_29	PTPN2	4544	0.41326847672462463	-0.09290148	No	
row_30	UPP1	4607	0.4042145609855652	-0.09473337	No	
row_31	HERC6	4613	0.40322455763816833	-0.09337279	No	
row_32	PSMB2	4754	0.3860092759132385	-0.09965293	No	
row_33	TOR1B	4873	0.37149685621261597	-0.1047584	No	
row_34	PSMA3	5478	0.30302944779396057	-0.13739687	No	
row_35	ZNFX1	5523	0.2971266806125641	-0.13865514	No	
row_36	CASP3	5540	0.2951560616493225	-0.13835123	No	
row_37	PSMA2	5594	0.2900814712047577	-0.14014289	No	
row_38	IFI35	5607	0.289136677980423	-0.13963915	No	
row_39	TAP1	5739	0.2753519117832184	-0.14586492	No	
row_40	CD274	5745	0.27467525005340576	-0.14502749	No	
row_41	TRIM25	5875	0.261610209941864	-0.15119702	No	
row_42	CMTR1	5955	0.2535836398601532	-0.15459527	No	
row_43	TNFAIP3	6003	0.24949024617671967	-0.15621565	No	
row_44	RIPK2	6531	0.19940891861915588	-0.18495774	No	
row_45	EIF2AK2	6597	0.192143514752388	-0.18782091	No	
row_46	APOL6	6633	0.18928755819797516	-0.18901335	No	
row_47	TRAFD1	6707	0.18268418312072754	-0.19236365	No	
row_48	EIF4E3	6744	0.18070583045482635	-0.19364709	No	
row_49	ST3GAL5	6745	0.18070536851882935	-0.19291168	No	
row_50	RBCK1	6895	0.16607563197612762	-0.2005916	No	
row_51	MX2	7015	0.15420077741146088	-0.20663744	No	
row_52	NLRC5	7024	0.1535850167274475	-0.20646104	No	
row_53	BPGM	7111	0.14557863771915436	-0.21069138	No	
row_54	LYSMD2	7146	0.14291641116142273	-0.21201645	No	
row_55	IL15RA	7148	0.14287260174751282	-0.2114911	No	
row_56	RAPGEF6	7229	0.13467487692832947	-0.21542932	No	
row_57	ISOC1	7268	0.1309833824634552	-0.21702728	No	
row_58	PSME2	7294	0.12917087972164154	-0.21790357	No	
row_59	IFITM2	7383	0.12119324505329132	-0.22234531	No	
row_60	HELZ2	8614	0.0031621293164789677	-0.29130957	No	
row_61	TRIM26	8707	-0.005288547370582819	-0.2964473	No	
row_62	PSME1	8925	-0.02702067606151104	-0.30850646	No	
row_63	IFIT2	9157	-0.046968888491392136	-0.32126957	No	
row_64	PSMB8	9160	-0.047248728573322296	-0.32118943	No	
row_65	IL2RB	9368	-0.06661415845155716	-0.33252668	No	
row_66	IFIT1	9416	-0.07080220431089401	-0.33487427	No	
row_67	STAT2	9493	-0.07817471772432327	-0.3388181	No	
row_68	TAPBP	9739	-0.10322625935077667	-0.35213736	No	
row_69	PARP12	9856	-0.11382865160703659	-0.3581793	No	
row_70	STAT3	9936	-0.12273313105106354	-0.36211005	No	
row_71	CASP4	10146	-0.1442427635192871	-0.37324354	No	
row_72	UBE2L6	10150	-0.1443440169095993	-0.37282434	No	
row_73	SP110	10199	-0.14946211874485016	-0.37490788	No	
row_74	IFNAR2	10210	-0.15044720470905304	-0.3748564	No	
row_75	IL4R	10223	-0.15163332223892212	-0.37491226	No	
row_76	CSF2RB	10278	-0.1578945368528366	-0.37729794	No	
row_77	IL18BP	10282	-0.15842702984809875	-0.37682146	No	
row_78	SAMD9L	10449	-0.17544928193092346	-0.38541654	No	
row_79	MT2A	10497	-0.18039065599441528	-0.38731813	No	
row_80	PTPN6	10511	-0.18193207681179047	-0.38730675	No	
row_81	IFIH1	10548	-0.18526895344257355	-0.38857162	No	
row_82	ARID5B	10587	-0.18816298246383667	-0.38993686	No	
row_83	FAS	10589	-0.188477024435997	-0.38922593	No	
row_84	RIPK1	10606	-0.19095028936862946	-0.3893461	No	
row_85	NFKB1	10814	-0.21274834871292114	-0.40008864	No	
row_86	IL10RA	10955	-0.2294483333826065	-0.4070059	No	
row_87	CD74	11025	-0.23782534897327423	-0.4099075	No	
row_88	LAP3	11145	-0.25240352749824524	-0.4155537	No	
row_89	RNF31	11217	-0.26151856780052185	-0.41847104	No	
row_90	AUTS2	11222	-0.26177820563316345	-0.41763	No	
row_91	OAS3	11347	-0.2812875211238861	-0.42343906	No	
row_92	IRF7	11478	-0.29582589864730835	-0.4295254	No	
row_93	ARL4A	11495	-0.297291100025177	-0.4292128	No	
row_94	HIF1A	11516	-0.2997620403766632	-0.42911446	No	
row_95	HLA-G	11642	-0.31512337923049927	-0.4348419	No	
row_96	HLA-B	11695	-0.3215504288673401	-0.4364494	No	
row_97	ADAR	11780	-0.3319846987724304	-0.439809	No	
row_98	CASP8	11802	-0.3351162075996399	-0.43962285	No	
row_99	LGALS3BP	11811	-0.3363836407661438	-0.43870252	No	
row_100	MVP	11907	-0.3470504879951477	-0.44261765	No	
row_101	OGFR	12057	-0.36854493618011475	-0.4494736	No	
row_102	SRI	12111	-0.375861257314682	-0.45091617	No	
row_103	PELI1	12540	-0.4388284385204315	-0.47313207	No	
row_104	SLC25A28	12571	-0.44335198402404785	-0.47301018	No	
row_105	NMI	12908	-0.4968605041503906	-0.48983067	No	
row_106	MTHFD2	12917	-0.49894118309020996	-0.4882488	No	
row_107	TRIM14	12935	-0.5026212930679321	-0.48715666	No	
row_108	JAK2	13144	-0.5411502122879028	-0.4966188	No	
row_109	TRIM21	13374	-0.585529088973999	-0.507078	No	
row_110	SOD2	13441	-0.5990332365036011	-0.5083414	No	
row_111	FGL2	13446	-0.5996740460395813	-0.5061252	No	
row_112	CASP7	13466	-0.6018092632293701	-0.50474155	No	
row_113	IFITM3	13467	-0.6018380522727966	-0.50229234	No	
row_114	CASP1	13511	-0.6084957122802734	-0.50222737	No	
row_115	DDX58	13529	-0.6124722361564636	-0.5006882	No	
row_116	SAMHD1	13709	-0.6488993167877197	-0.50808555	No	
row_117	FPR1	13712	-0.6497875452041626	-0.5055533	No	
row_118	HLA-A	13765	-0.6621702313423157	-0.5057746	No	
row_119	PSMB10	13823	-0.674574613571167	-0.5062258	No	
row_120	IL15	13899	-0.6930961012840271	-0.5076111	No	
row_121	IRF2	13906	-0.694091796875	-0.5051229	No	
row_122	MX1	13914	-0.6962816119194031	-0.50268185	No	
row_123	PARP14	13920	-0.6974679827690125	-0.5001238	No	
row_124	PML	13952	-0.7034181952476501	-0.4989996	No	
row_125	NCOA3	14044	-0.725501298904419	-0.50115025	No	
row_126	WARS1	14051	-0.7267006635665894	-0.49852931	No	
row_127	CIITA	14131	-0.7472608089447021	-0.4999185	No	
row_128	PIM1	14157	-0.7538965940475464	-0.49825236	No	
row_129	IFI27	14273	-0.7868393659591675	-0.5014993	No	
row_130	BANK1	14303	-0.7979536652565002	-0.49987823	No	
row_131	DHX58	14384	-0.8231207728385925	-0.50101477	No	
row_132	HLA-DRB1	14485	-0.8606477975845337	-0.5031201	No	
row_133	GCH1	14526	-0.8753031492233276	-0.50180113	No	
row_134	RNF213	14645	-0.9167748689651489	-0.5046875	No	
row_135	NAMPT	14701	-0.9362281560897827	-0.50396174	No	
row_136	B2M	14808	-0.9689233303070068	-0.50596297	No	
row_137	CFB	14955	-1.0315303802490234	-0.50995255	Yes	
row_138	DDX60	14990	-1.0486406087875366	-0.5075916	Yes	
row_139	ITGB7	15091	-1.0910899639129639	-0.5087592	Yes	
row_140	NOD1	15099	-1.0928006172180176	-0.5047045	Yes	
row_141	IDO1	15147	-1.119864583015442	-0.5027827	Yes	
row_142	PSMB9	15149	-1.1222167015075684	-0.4982718	Yes	
row_143	PLSCR1	15161	-1.1291923522949219	-0.49429327	Yes	
row_144	IRF9	15164	-1.1307889223098755	-0.48980355	Yes	
row_145	METTL7B	15296	-1.2036261558532715	-0.49225157	Yes	
row_146	SOCS1	15360	-1.24302339553833	-0.4907259	Yes	
row_147	LY6E	15441	-1.29054856300354	-0.48996016	Yes	
row_148	IRF1	15548	-1.3464407920837402	-0.49042502	Yes	
row_149	SSPN	15595	-1.3756003379821777	-0.48740646	Yes	
row_150	BTG1	15799	-1.5445935726165771	-0.49250457	Yes	
row_151	BATF2	15904	-1.652233362197876	-0.4916128	Yes	
row_152	ISG20	15918	-1.6626359224319458	-0.4855755	Yes	
row_153	IFI44	16022	-1.7717869281768799	-0.4841411	Yes	
row_154	OAS2	16094	-1.8294645547866821	-0.4806775	Yes	
row_155	LCP2	16150	-1.8917936086654663	-0.47606292	Yes	
row_156	SECTM1	16193	-1.962656021118164	-0.47043094	Yes	
row_157	VAMP5	16195	-1.9656667709350586	-0.4624875	Yes	
row_158	CD69	16359	-2.2324411869049072	-0.46254316	Yes	
row_159	BST2	16418	-2.3388988971710205	-0.45627728	Yes	
row_160	PDE4B	16466	-2.410304069519043	-0.44910395	Yes	
row_161	C1S	16512	-2.479779005050659	-0.4415357	Yes	
row_162	RSAD2	16640	-2.71549129486084	-0.4376067	Yes	
row_163	XAF1	16657	-2.749720811843872	-0.4273136	Yes	
row_164	CMPK2	16951	-3.535407066345215	-0.42935693	Yes	
row_165	C1R	17054	-3.9213781356811523	-0.41911843	Yes	
row_166	KLRK1	17082	-4.011734962463379	-0.4043063	Yes	
row_167	CD40	17121	-4.199315071105957	-0.38934764	Yes	
row_168	CCL2	17175	-4.445849418640137	-0.37422684	Yes	
row_169	RTP4	17255	-4.879696369171143	-0.35879853	Yes	
row_170	TNFSF10	17416	-5.670775890350342	-0.34469318	Yes	
row_171	GBP4	17423	-5.710537910461426	-0.3217899	Yes	
row_172	IL7	17460	-5.859699726104736	-0.29996192	Yes	
row_173	ST8SIA4	17575	-6.453442096710205	-0.2800918	Yes	
row_174	IFI44L	17702	-7.294907569885254	-0.25747016	Yes	
row_175	CMKLR1	17783	-7.984279632568359	-0.22946341	Yes	
row_176	TNFAIP6	17835	-8.688957214355469	-0.1969626	Yes	
row_177	CXCL11	17836	-8.697912216186523	-0.1615653	Yes	
row_178	PTGS2	17920	-9.939329147338867	-0.12577045	Yes	
row_179	CCL7	17952	-10.571144104003906	-0.08448825	Yes	
row_180	VCAM1	17959	-10.7446928024292	-0.041097797	Yes	
row_181	PLA2G4A	17960	-10.829052925109863	0.002972445	Yes	
