NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN8	42	8.109479904174805	0.1374663	Yes	
row_1	TPD52	237	5.232283115386963	0.21684612	Yes	
row_2	KRT18	694	2.7827577590942383	0.23937395	Yes	
row_3	TOM1L1	980	2.1791954040527344	0.2610391	Yes	
row_4	PAM	1302	1.6616861820220947	0.2717732	Yes	
row_5	ZW10	1726	1.2660359144210815	0.26999384	Yes	
row_6	IGF2R	2169	0.9940305352210999	0.26246473	Yes	
row_7	NAPA	2326	0.9174299240112305	0.2695757	Yes	
row_8	STAM	2521	0.8476096987724304	0.27336225	Yes	
row_9	BNIP3	2616	0.8130900859832764	0.28213438	Yes	
row_10	M6PR	2687	0.7894207239151001	0.29183778	Yes	
row_11	SGMS1	2776	0.7617200016975403	0.3000591	Yes	
row_12	ADAM10	2813	0.7516170144081116	0.31100821	Yes	
row_13	ATP6V1H	3006	0.6984615921974182	0.31233504	Yes	
row_14	YIPF6	3108	0.6731655597686768	0.31830415	Yes	
row_15	SCAMP3	3198	0.6493224501609802	0.3245319	Yes	
row_16	TMX1	3259	0.6356177926063538	0.33214176	Yes	
row_17	OCRL	3601	0.569290816783905	0.32292646	Yes	
row_18	VAMP7	3620	0.5653060674667358	0.331668	Yes	
row_19	DST	3745	0.5397158861160278	0.33405286	Yes	
row_20	VAMP3	3757	0.5380860567092896	0.34271577	Yes	
row_21	GALC	3761	0.5373104810714722	0.35181177	Yes	
row_22	CAV2	3830	0.5251374244689941	0.35707045	Yes	
row_23	COG2	3838	0.5240222811698914	0.36571413	Yes	
row_24	ANP32E	4064	0.48724788427352905	0.36155793	No	
row_25	ATP7A	4465	0.42498257756233215	0.34656212	No	
row_26	CLN5	4690	0.3938348591327667	0.34085125	No	
row_27	PPT1	4793	0.38137999176979065	0.34173408	No	
row_28	AP2S1	4823	0.37814822793006897	0.3466351	No	
row_29	COPE	4989	0.35779836773872375	0.34359556	No	
row_30	AP1G1	4994	0.35760053992271423	0.3495375	No	
row_31	NAPG	5014	0.3553956151008606	0.3546043	No	
row_32	CLCN3	5027	0.35438287258148193	0.3600443	No	
row_33	ARFGEF2	5066	0.34875422716140747	0.36393628	No	
row_34	AP3B1	5230	0.33040040731430054	0.360536	No	
row_35	RER1	5479	0.30292320251464844	0.35191846	No	
