NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPX3	706	2.758570909500122	0.056807462	Yes	
row_1	ATOX1	1211	1.7809343338012695	0.09079934	Yes	
row_2	GLRX	1344	1.5994603633880615	0.13917375	Yes	
row_3	TXNRD2	1797	1.2091985940933228	0.15614197	Yes	
row_4	MSRA	2055	1.0534554719924927	0.17853773	Yes	
row_5	TXNRD1	2569	0.8321858644485474	0.17897666	Yes	
row_6	PFKP	2627	0.8077002167701721	0.20394243	Yes	
row_7	PDLIM1	2638	0.804201066493988	0.23140222	Yes	
row_8	GCLC	2702	0.7859537601470947	0.25527644	Yes	
row_9	ABCC1	2755	0.7667878270149231	0.27909523	Yes	
row_10	HMOX2	2849	0.7410932183265686	0.29973692	Yes	
row_11	OXSR1	2853	0.7406787276268005	0.32537332	Yes	
row_12	GSR	3334	0.6188681721687317	0.32021752	No	
row_13	G6PD	4382	0.43828827142715454	0.2772129	No	
row_14	LAMTOR5	5062	0.34950071573257446	0.2515971	No	
row_15	MGST1	5246	0.32828909158706665	0.25284854	No	
row_16	ERCC2	5275	0.32324346899986267	0.26255113	No	
row_17	PRDX1	5498	0.30070415139198303	0.2606709	No	
row_18	SELENOS	5552	0.2941018044948578	0.26796684	No	
row_19	NDUFA6	5632	0.28654009103775024	0.2735522	No	
row_20	MBP	5749	0.2741045355796814	0.27664506	No	
row_21	SOD1	6392	0.2118500918149948	0.2482932	No	
row_22	PRDX2	6436	0.20810309052467346	0.25314972	No	
row_23	GLRX2	6577	0.19375982880592346	0.25210777	No	
row_24	SRXN1	6750	0.18002673983573914	0.24880634	No	
row_25	GPX4	7019	0.1539260745048523	0.23925251	No	
row_26	CDKN2D	7040	0.15177784860134125	0.24342692	No	
row_27	SCAF4	7624	0.09808588773012161	0.21439561	No	
row_28	PRDX4	7896	0.0695546343922615	0.20173551	No	
row_29	PRNP	8729	-0.0075338794849812984	0.15569085	No	
row_30	EGLN2	8844	-0.019423630088567734	0.15002257	No	
row_31	STK25	8889	-0.02315790392458439	0.14838038	No	
row_32	FTL	9373	-0.06701786071062088	0.12383251	No	
row_33	NDUFS2	9824	-0.11080531775951385	0.10264677	No	
row_34	NQO1	10410	-0.17124596238136292	0.07605286	No	
row_35	TXN	10500	-0.1807168573141098	0.07739506	No	
row_36	PRDX6	10631	-0.1924099177122116	0.07686265	No	
row_37	NDUFB4	11882	-0.34434235095977783	0.019286685	No	
row_38	SBNO2	12294	-0.4031291604042053	0.010455427	No	
row_39	GCLM	12443	-0.4260588586330414	0.01706093	No	
row_40	CAT	12654	-0.4562331438064575	0.021266859	No	
row_41	FES	12867	-0.48932042717933655	0.02651415	No	
row_42	JUNB	12993	-0.5137695670127869	0.0374554	No	
row_43	PTPA	13034	-0.521283745765686	0.05338932	No	
row_44	SOD2	13441	-0.5990332365036011	0.051661156	No	
row_45	HHEX	14765	-0.9572014212608337	0.011372667	No	
row_46	LSP1	17250	-4.861064434051514	0.042466547	No	
