NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	198	0.48983836	1.7938662	0.0	0.022238111	0.009	5676	tags=57%, list=32%, signal=82%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	0.39211443	1.4156874	0.0	0.19648029	0.149	6683	tags=56%, list=37%, signal=88%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	70	0.44334003	1.3958025	0.032432433	0.15150048	0.166	2445	tags=46%, list=14%, signal=53%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	198	0.3589541	1.3286858	0.0	0.19010647	0.274	3642	tags=38%, list=20%, signal=48%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.43380126	1.2961018	0.08018868	0.19545433	0.335	5543	tags=52%, list=31%, signal=74%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.36571413	1.1995307	0.08176101	0.3107365	0.541	3838	tags=25%, list=21%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	166	0.33026394	1.1653085	0.060240965	0.33698693	0.629	1595	tags=25%, list=9%, signal=28%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	156	0.3264136	1.1566614	0.06741573	0.3108709	0.655	1362	tags=20%, list=8%, signal=21%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	179	0.32206577	1.1516966	0.075	0.28627887	0.667	1830	tags=30%, list=10%, signal=33%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	0.29475933	1.0808963	0.20238096	0.42602873	0.838	5766	tags=45%, list=32%, signal=65%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	0.29693642	1.0761191	0.26984128	0.39890802	0.844	6938	tags=52%, list=39%, signal=84%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	88	0.29299107	0.97262955	0.5	0.7011542	0.981	3349	tags=26%, list=19%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	47	0.32537332	0.94700354	0.55364805	0.7391521	0.989	2853	tags=26%, list=16%, signal=30%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	170	0.23113608	0.8085718	0.98876405	1.0	0.999	863	tags=5%, list=5%, signal=6%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	112	0.23211928	0.7791743	0.9632353	0.98876137	0.999	5482	tags=34%, list=30%, signal=48%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	0.17141834	0.60153466	1.0	0.9930803	0.999	6001	tags=39%, list=33%, signal=58%	
