NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIC1	12	262.6507263183594	0.056509234	Yes	
row_1	PLPP3	13	260.2138671875	0.11352734	Yes	
row_2	NID1	53	203.74942016601562	0.15478371	Yes	
row_3	TNFRSF19	88	178.19805908203125	0.19087578	Yes	
row_4	ALPL	100	170.7752227783203	0.22734013	Yes	
row_5	FUT8	105	167.33126831054688	0.2636582	Yes	
row_6	GAS1	117	162.51303100585938	0.29831213	Yes	
row_7	ITPKB	125	158.83560180664062	0.33250788	Yes	
row_8	HTRA1	199	128.4976348876953	0.35432035	Yes	
row_9	TNS2	275	105.72919464111328	0.37096998	Yes	
row_10	PDGFRA	330	93.41397094726562	0.38674608	Yes	
row_11	TIMP3	350	90.3570556640625	0.40489396	Yes	
row_12	KCNN4	355	88.85719299316406	0.42401674	Yes	
row_13	KCTD12	396	82.80581665039062	0.43868503	Yes	
row_14	RTKN	408	81.36580657958984	0.45555797	Yes	
row_15	NR1D1	434	76.3477783203125	0.47011474	Yes	
row_16	TCF3	449	74.63306427001953	0.4852517	Yes	
row_17	SFRP2	507	67.3514633178711	0.49505624	Yes	
row_18	SIX5	528	64.67901611328125	0.50749063	Yes	
row_19	FMO3	644	55.87067794799805	0.5097391	Yes	
row_20	AXIN2	665	54.46741485595703	0.51993597	Yes	
row_21	CBS	683	52.97267150878906	0.530066	Yes	
row_22	PDE4B	734	49.77022171020508	0.53662646	Yes	
row_23	EDARADD	826	44.3326530456543	0.5384324	Yes	
row_24	PLA2G4A	893	41.39253616333008	0.5417667	Yes	
row_25	IRS1	909	40.41792678833008	0.54931957	Yes	
row_26	IRS2	1015	36.555965423583984	0.54820484	Yes	
row_27	SCARA3	1052	35.39206314086914	0.5528314	Yes	
row_28	BEX4	1055	35.24469757080078	0.5603804	Yes	
row_29	ISLR	1130	33.15157699584961	0.56121373	Yes	
row_30	AMPD2	1189	31.557889938354492	0.5630883	Yes	
row_31	DPT	1246	30.157299041748047	0.56482977	Yes	
row_32	SASH1	1328	28.204524993896484	0.56397074	Yes	
