NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UNC5B	14	259.9697265625	0.06483499	No	
row_1	SPHK1	59	199.33111572265625	0.11166318	No	
row_2	NIBAN1	187	132.283447265625	0.13426153	No	
row_3	VAMP5	272	106.2975082397461	0.15398562	No	
row_4	HOXB9	323	94.75537872314453	0.17372483	No	
row_5	SEPTIN9	385	84.41068267822266	0.1898822	No	
row_6	PAK1	482	70.36602020263672	0.19943711	No	
row_7	PDK3	562	61.132911682128906	0.20812	No	
row_8	SEC14L2	630	56.308345794677734	0.21661747	No	
row_9	SECTM1	774	47.2221565246582	0.21621782	No	
row_10	GUSB	846	43.4711799621582	0.22110705	No	
row_11	IL1R1	889	41.518856048583984	0.22801436	No	
row_12	PLSCR1	901	40.83964157104492	0.23743658	No	
row_13	PDGFD	907	40.4857292175293	0.24728905	No	
row_14	FABP5	1275	29.296815872192383	0.22291608	No	
row_15	ST6GALNAC6	1381	27.1092472076416	0.2207008	No	
row_16	TMCC3	1475	25.172359466552734	0.21903375	No	
row_17	PTPN14	1577	23.534822463989258	0.21625711	No	
row_18	BACE2	1676	21.858779907226562	0.21331474	No	
row_19	SPECC1	1844	19.621623992919922	0.2038222	No	
row_20	HIF3A	1985	18.266313552856445	0.19632602	No	
row_21	GTF2IRD1	1995	18.037195205688477	0.20012836	No	
row_22	DLG4	2021	17.750640869140625	0.20247082	No	
row_23	CXCL16	2451	14.137099266052246	0.16887139	No	
row_24	GCH1	2509	13.627079963684082	0.16739205	No	
row_25	DUSP10	2692	12.417791366577148	0.15476888	No	
row_26	PARM1	2776	11.801665306091309	0.15057175	No	
row_27	VAT1	3189	9.485432624816895	0.11726427	No	
row_28	PREP	3258	9.12880802154541	0.11368846	No	
row_29	PLAGL1	3896	6.693068504333496	0.06016569	No	
row_30	CCNG2	3991	6.371374607086182	0.05363531	No	
row_31	SOCS6	4104	6.060002326965332	0.04546535	No	
row_32	ANGPTL1	4153	5.917548179626465	0.042807534	No	
row_33	KCNE3	4516	4.9724531173706055	0.012688103	No	
row_34	SGSM3	5028	3.7853972911834717	-0.030650122	No	
row_35	DNAJB13	5074	3.6844420433044434	-0.033615213	No	
row_36	METRNL	5340	3.2288057804107666	-0.05576845	No	
row_37	CLMN	5411	3.1081128120422363	-0.061047282	No	
row_38	KLF6	5470	3.005270004272461	-0.06531193	No	
row_39	GPX8	5696	2.6538825035095215	-0.08414353	No	
row_40	CARD19	5902	2.3745768070220947	-0.10131223	No	
row_41	PPP1R3F	5909	2.367640972137451	-0.10123086	No	
row_42	POLE3	6129	-2.292757749557495	-0.11963405	No	
row_43	PON2	6548	-2.9662325382232666	-0.15511797	No	
row_44	NFIL3	6853	-3.4831488132476807	-0.1805876	No	
row_45	SUCO	6913	-3.578104257583618	-0.18479341	No	
row_46	MAL2	6968	-3.6799302101135254	-0.18853988	No	
row_47	PTRH1	7075	-3.8703548908233643	-0.19674599	No	
row_48	ALDOC	7162	-4.013595104217529	-0.20318185	No	
row_49	SAA1	7287	-4.266812324523926	-0.21284771	No	
row_50	PDZD11	7507	-4.762446403503418	-0.23062344	No	
row_51	H4C8	7719	-5.307251453399658	-0.24756722	No	
row_52	PDK1	8174	-6.720459461212158	-0.28521827	No	
row_53	ACOT9	8307	-7.147602558135986	-0.29484576	No	
row_54	CD55	8484	-7.872574806213379	-0.30810353	No	
row_55	TRAF4	8614	-8.531596183776855	-0.31711933	No	
row_56	JPT1	8731	-8.981152534484863	-0.3248939	No	
row_57	ERO1A	9267	-12.376450538635254	-0.3681301	No	
row_58	GPD2	9292	-12.561236381530762	-0.36701936	No	
row_59	PLAT	9377	-13.263140678405762	-0.37093186	No	
row_60	LDLR	9400	-13.453888893127441	-0.36942098	No	
row_61	SAA2	9580	-14.958704948425293	-0.3811385	No	
row_62	IFIT3	9697	-16.249300003051758	-0.3870665	No	
row_63	DHCR24	9803	-17.56903648376465	-0.3917056	No	
row_64	LSS	9840	-18.206649780273438	-0.3902009	No	
row_65	PSCA	9914	-19.645910263061523	-0.39153817	No	
row_66	MICU1	10017	-21.188034057617188	-0.39499772	Yes	
row_67	FXR2	10072	-22.014484405517578	-0.39408606	Yes	
row_68	MMP15	10086	-22.32408905029297	-0.38954133	Yes	
row_69	ADGRG1	10169	-23.996538162231445	-0.3905535	Yes	
row_70	SGPL1	10191	-24.46856117248535	-0.3861575	Yes	
row_71	ADORA2B	10214	-24.92328453063965	-0.38173264	Yes	
row_72	GOT1	10225	-25.204639434814453	-0.37619603	Yes	
row_73	TOM1L1	10227	-25.235755920410156	-0.36987123	Yes	
row_74	MAN2B2	10271	-25.98729133605957	-0.36699662	Yes	
row_75	DHCR7	10316	-27.07317352294922	-0.3639328	Yes	
row_76	TFRC	10372	-28.299301147460938	-0.36151108	Yes	
row_77	RIMKLB	10386	-28.516681671142578	-0.35539305	Yes	
row_78	GDE1	10448	-29.834701538085938	-0.3531014	Yes	
row_79	MSMO1	10604	-34.61053466796875	-0.35774553	Yes	
row_80	SLC2A1	10626	-35.371395111083984	-0.3505795	Yes	
row_81	GIPC1	10655	-36.264671325683594	-0.3437934	Yes	
row_82	PFKP	10667	-37.052955627441406	-0.33533323	Yes	
row_83	PACSIN3	10800	-42.54511642456055	-0.3359675	Yes	
row_84	RASSF1	10901	-47.90965270996094	-0.33246472	Yes	
row_85	CYP51A1	10921	-49.0830078125	-0.32164168	Yes	
row_86	IDI1	10955	-50.92962646484375	-0.31156322	Yes	
row_87	MYO5B	10989	-52.94380569458008	-0.30097303	Yes	
row_88	TNFRSF12A	11024	-55.107723236083984	-0.28991973	Yes	
row_89	AK4	11130	-61.92500686645508	-0.2832896	Yes	
row_90	ADAM10	11177	-66.3962631225586	-0.27040863	Yes	
row_91	TLCD4	11209	-69.2862319946289	-0.25549304	Yes	
row_92	FDFT1	11231	-73.4450912475586	-0.23865391	Yes	
row_93	LGMN	11270	-78.33500671386719	-0.22204621	Yes	
row_94	ABCA7	11299	-83.78895568847656	-0.20318593	Yes	
row_95	ATF3	11324	-88.02607727050781	-0.18290238	Yes	
row_96	C3orf52	11425	-112.67939758300781	-0.16294397	Yes	
row_97	P2RX5	11445	-117.41608428955078	-0.13476005	Yes	
row_98	MGARP	11471	-124.9973373413086	-0.105170175	Yes	
row_99	EDN1	11484	-133.22201538085938	-0.072363704	Yes	
row_100	NEU1	11525	-157.17568969726562	-0.035898883	Yes	
row_101	PYGL	11556	-178.83432006835938	0.0069355224	Yes	
