NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RCN3	163	141.13241577148438	0.107378595	Yes	
row_1	CMKLR1	180	133.0956268310547	0.22052602	Yes	
row_2	TNC	218	121.9924087524414	0.32230714	Yes	
row_3	P3H3	316	95.74774932861328	0.39632753	Yes	
row_4	HMGA2	495	68.5851821899414	0.4399853	Yes	
row_5	LGALS9	603	58.34797668457031	0.48096052	Yes	
row_6	SHANK1	726	50.136600494384766	0.51357555	Yes	
row_7	RNF122	942	38.99225997924805	0.52857614	Yes	
row_8	THBS2	1308	28.622270584106445	0.52171004	Yes	
row_9	CILP	1412	26.4362735748291	0.53557056	Yes	
row_10	SLC16A6	1473	25.204734802246094	0.55208176	Yes	
row_11	LDB2	1598	23.200359344482422	0.56134576	Yes	
row_12	MAP2	1809	20.00894546508789	0.5604427	Yes	
row_13	TIMP4	2262	15.49166202545166	0.53477067	Yes	
row_14	CLDN14	2274	15.380084037780762	0.547056	Yes	
row_15	TRPA1	2291	15.252310752868652	0.5587999	Yes	
row_16	EXTL1	2538	13.346500396728516	0.5490575	Yes	
row_17	CNTN6	2541	13.281122207641602	0.5603132	Yes	
row_18	KLHL35	2585	12.9870023727417	0.56777805	Yes	
row_19	ETNK2	2593	12.958441734313965	0.5783247	Yes	
row_20	SIX1	2651	12.662611961364746	0.58430237	Yes	
row_21	CFAP69	2875	11.220335960388184	0.574715	No	
row_22	PTPRS	2925	10.785478591918945	0.5797677	No	
row_23	IRAG2	3198	9.430501937866211	0.56441206	No	
row_24	CDX1	3494	8.156303405761719	0.5459753	No	
row_25	IL1RL2	3614	7.663388729095459	0.5423013	No	
row_26	THPO	3629	7.609951496124268	0.5476416	No	
row_27	ZNF780B	3895	6.693459510803223	0.53053474	No	
row_28	SLC43A1	4034	6.258894920349121	0.5240126	No	
row_29	B3GALT2	4065	6.174160480499268	0.5267368	No	
row_30	LHX6	4158	5.900251388549805	0.52387536	No	
row_31	TENT5C	4939	3.9796526432037354	0.45999464	No	
row_32	SLCO1A2	5200	3.469562530517578	0.4405451	No	
row_33	WDR25	5301	3.2897424697875977	0.43474704	No	
row_34	TRGV7	5312	3.275341033935547	0.43670255	No	
row_35	APBB1	5589	2.8161051273345947	0.4153101	No	
row_36	CD34	6510	-2.8761284351348877	0.33839938	No	
row_37	OSR2	6898	-3.5528948307037354	0.30806288	No	
row_38	ISYNA1	7309	-4.314311981201172	0.27639696	No	
row_39	CYP2U1	7802	-5.53823184967041	0.23870853	No	
row_40	CDH13	7932	-5.9115681648254395	0.23266415	No	
row_41	RPP25	8235	-6.921053409576416	0.21256047	No	
row_42	CTLA4	8439	-7.650853157043457	0.20162739	No	
row_43	CDKL5	8856	-9.609567642211914	0.17400026	No	
row_44	H3C6	9410	-13.557116508483887	0.13794841	No	
row_45	DAGLA	9564	-14.805708885192871	0.13748647	No	
row_46	H2BC11	9817	-17.784656524658203	0.13104531	No	
row_47	SMN1	10455	-30.014705657958984	0.10190688	No	
