NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPRY4	54	202.1200408935547	0.052919388	Yes	
row_1	KLF13	143	152.92169189453125	0.08886627	Yes	
row_2	NRIP1	157	142.85975646972656	0.12845415	Yes	
row_3	DDIT4L	206	126.77596282958984	0.16042064	Yes	
row_4	ELK3	216	122.9247055053711	0.19467402	Yes	
row_5	EHD4	242	115.10888671875	0.22531131	Yes	
row_6	FRMD6	246	113.83431243896484	0.25749457	Yes	
row_7	STC1	255	111.36712646484375	0.28854072	Yes	
row_8	SMAD7	256	110.51310729980469	0.32003775	Yes	
row_9	NET1	337	92.27091217041016	0.339393	Yes	
row_10	CRISPLD2	372	85.9325180053711	0.36093378	Yes	
row_11	RGMB	393	83.14105987548828	0.38289392	Yes	
row_12	PHLDB1	431	76.60010528564453	0.40151453	Yes	
row_13	PLAUR	478	71.01639556884766	0.4177627	Yes	
row_14	TMEM200A	535	63.94384002685547	0.4311273	Yes	
row_15	SNAI1	547	62.73621368408203	0.44805297	Yes	
row_16	SOX9	548	62.64799880981445	0.4659081	Yes	
row_17	ZNF697	549	62.643165588378906	0.48376185	Yes	
row_18	FOXD1	689	52.484100341796875	0.48665738	Yes	
row_19	HPCAL1	692	52.41798400878906	0.5014233	Yes	
row_20	MYO9B	851	43.2822265625	0.5000473	Yes	
row_21	INHBA	945	38.85257339477539	0.5030498	Yes	
row_22	PTPN12	998	37.0438346862793	0.50909483	Yes	
row_23	KLF10	1018	36.34990692138672	0.51780593	Yes	
row_24	HLX	1097	34.01573944091797	0.5207316	Yes	
row_25	PLCH1	1159	32.38348388671875	0.5246674	Yes	
row_26	PTGS2	1230	30.714740753173828	0.5273465	Yes	
row_27	ST3GAL1	1267	29.626354217529297	0.532666	Yes	
row_28	HMGA1	1320	28.378284454345703	0.53624135	Yes	
row_29	RFK	1447	25.678783416748047	0.5326253	Yes	
row_30	ITPRIPL2	1485	25.067596435546875	0.5365588	Yes	
row_31	IL11	1932	18.70284080505371	0.503184	No	
row_32	NMD3	2206	15.957710266113281	0.48404035	No	
row_33	NUP54	2311	15.064262390136719	0.47930834	No	
row_34	ID3	2638	12.694669723510742	0.45463517	No	
row_35	KPNA4	2674	12.519132614135742	0.45516583	No	
row_36	BDKRB1	2695	12.408255577087402	0.4569666	No	
row_37	FAM107B	2909	10.879698753356934	0.44158262	No	
row_38	CSRNP2	3035	10.151544570922852	0.43362802	No	
row_39	ZNF324	3304	8.92709732055664	0.41291448	No	
row_40	TBX2	3339	8.787825584411621	0.41246843	No	
row_41	USP36	3478	8.19756031036377	0.40282875	No	
row_42	TENT4A	3525	8.034231185913086	0.40112656	No	
row_43	SREK1IP1	3557	7.932188987731934	0.40069702	No	
row_44	REST	3578	7.8462629318237305	0.4011976	No	
row_45	VGLL4	3615	7.661210536956787	0.4002569	No	
row_46	BCAR3	3774	7.0593671798706055	0.38855717	No	
row_47	SLC16A1	4106	6.05720853805542	0.36155838	No	
row_48	PHF20L1	4228	5.695709705352783	0.35268095	No	
row_49	ZBTB12	4502	5.005193710327148	0.33041573	No	
row_50	PXN	4512	4.978573799133301	0.33105358	No	
row_51	SMTN	4574	4.82899808883667	0.32713613	No	
row_52	UGDH	4901	4.07259464263916	0.3000056	No	
row_53	ZNF800	5255	3.3788366317749023	0.2703342	No	
row_54	CD33	5473	3.0026888847351074	0.2523581	No	
row_55	ZBTB2	5628	2.734071969985962	0.23977277	No	
row_56	SMARCA4	5673	2.6769485473632812	0.23671725	No	
row_57	AMMECR1L	5956	2.322758913040161	0.21290646	No	
row_58	POLE3	6129	-2.292757749557495	0.19863325	No	
row_59	DKC1	6156	-2.336322546005249	0.19704276	No	
row_60	ADRM1	6283	-2.546884298324585	0.186834	No	
row_61	C8orf76	6415	-2.7444136142730713	0.1762476	No	
row_62	TIMM22	6421	-2.755072593688965	0.1765989	No	
row_63	MRPS35	6533	-2.9325003623962402	0.16780178	No	
row_64	ACTR3	6631	-3.111295223236084	0.16027057	No	
row_65	RNPS1	6642	-3.1252686977386475	0.16029346	No	
row_66	EIF4A3	6643	-3.1270387172698975	0.1611847	No	
row_67	YWHAG	6674	-3.1776278018951416	0.15948686	No	
row_68	TDG	6826	-3.434934139251709	0.1473616	No	
