NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAN1A1	215	122.9759521484375	0.042156927	No	
row_1	NCAM2	309	96.39422607421875	0.081743434	No	
row_2	RGCC	595	59.11894226074219	0.086276405	No	
row_3	CSF1	886	41.87074279785156	0.08185153	No	
row_4	STAG2	900	40.91574478149414	0.10094772	No	
row_5	BEX4	1055	35.24469757080078	0.10502797	No	
row_6	FOXK1	1333	28.065452575683594	0.09490599	No	
row_7	TOP2B	1389	26.916671752929688	0.103445336	No	
row_8	NTHL1	1579	23.505691528320312	0.098692074	No	
row_9	ARHGEF1	1655	22.20319366455078	0.10316948	No	
row_10	TIA1	1732	21.115793228149414	0.10702282	No	
row_11	PDS5B	1950	18.514049530029297	0.0973772	No	
row_12	LATS1	2362	14.665706634521484	0.06902576	No	
row_13	SDC3	2430	14.289588928222656	0.07028488	No	
row_14	MBTD1	2631	12.711848258972168	0.059244078	No	
row_15	FIP1L1	2655	12.65191650390625	0.063504964	No	
row_16	LUC7L3	2686	12.466144561767578	0.06706771	No	
row_17	SPDL1	2694	12.416601181030273	0.072598174	No	
row_18	LOXL2	2895	10.950902938842773	0.06068704	No	
row_19	MSH6	2914	10.846797943115234	0.06448885	No	
row_20	CNOT2	2943	10.71893310546875	0.06736129	No	
row_21	MYB	3043	10.103943824768066	0.06377993	No	
row_22	MTA1	3388	8.585350036621094	0.03822671	No	
row_23	ZZZ3	3891	6.7081098556518555	-0.0019398967	No	
row_24	RYK	4072	6.160849094390869	-0.01448612	No	
row_25	RBBP6	4097	6.091084957122803	-0.013554481	No	
row_26	RBM39	4259	5.621402740478516	-0.024721585	No	
row_27	IRF6	4306	5.528059005737305	-0.025973804	No	
row_28	NAP1L1	4717	4.475759983062744	-0.059274912	No	
row_29	GPATCH2	4735	4.426393032073975	-0.058559705	No	
row_30	PPP1CB	4808	4.254222869873047	-0.06269356	No	
row_31	BCKDHA	4864	4.135764122009277	-0.06541347	No	
row_32	FNTB	4922	4.021027088165283	-0.06836332	No	
row_33	TNNC2	5016	3.815624952316284	-0.07453291	No	
row_34	UPF3B	5032	3.777930498123169	-0.07396497	No	
row_35	MPDZ	5055	3.725839853286743	-0.074029095	No	
row_36	MAPK14	5088	3.666301727294922	-0.07498882	No	
row_37	STAT5A	5165	3.538651466369629	-0.079822816	No	
row_38	SNAPC2	5248	3.3890058994293213	-0.085250475	No	
row_39	MATR3	5319	3.267124652862549	-0.089698955	No	
row_40	ATF1	5403	3.1271066665649414	-0.09534267	No	
