NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALPL	100	170.7752227783203	0.06335618	Yes	
row_1	KLF13	143	152.92169189453125	0.1241993	Yes	
row_2	KITLG	146	150.01239013671875	0.18727393	Yes	
row_3	LRIG1	209	125.39802551269531	0.23478359	Yes	
row_4	BMP2	231	117.9754638671875	0.28270835	Yes	
row_5	COL6A3	268	107.19390106201172	0.32479066	Yes	
row_6	SLC22A17	308	96.3973388671875	0.3620616	Yes	
row_7	PDE10A	606	58.152618408203125	0.36090314	Yes	
row_8	PTN	612	57.77679443359375	0.38483047	Yes	
row_9	PCDHB12	632	56.23772048950195	0.40689856	Yes	
row_10	CDH11	657	55.061641693115234	0.4280385	Yes	
row_11	FOXD1	689	52.484100341796875	0.44748658	Yes	
row_12	AKAP6	887	41.544185638427734	0.44797105	Yes	
row_13	DNAAF11	928	39.4307746887207	0.46113756	Yes	
row_14	FLT3LG	952	38.47968673706055	0.47537276	Yes	
row_15	CCND1	964	38.1506462097168	0.49050668	Yes	
row_16	FBXO4	1139	32.82516098022461	0.4893035	Yes	
row_17	SOX17	1142	32.76470947265625	0.5029447	Yes	
row_18	NDST3	1243	30.39080238342285	0.5071126	Yes	
row_19	CNKSR2	1336	28.04044532775879	0.51098126	Yes	
row_20	ZFHX4	1435	25.90222930908203	0.51342964	Yes	
row_21	CLDN7	1499	24.735559463500977	0.518412	Yes	
row_22	JAM2	1533	24.049457550048828	0.5256987	Yes	
row_23	CSTA	1569	23.627382278442383	0.5326345	Yes	
row_24	GALK1	1789	20.264944076538086	0.52224535	Yes	
row_25	ACTA2	1903	19.0057315826416	0.5204893	Yes	
row_26	CCIN	1960	18.44554328918457	0.52342486	Yes	
row_27	METRN	1974	18.337759017944336	0.53003246	Yes	
row_28	AFF3	2040	17.587020874023438	0.531828	Yes	
row_29	TNFRSF10C	2078	17.175220489501953	0.53587055	Yes	
row_30	ZNF236	2315	15.016936302185059	0.5217991	No	
row_31	SLC8A1	2352	14.746981620788574	0.5249043	No	
row_32	SIDT1	3202	9.401233673095703	0.45546955	No	
row_33	HOXD1	3208	9.374651908874512	0.4589898	No	
row_34	GRM5	3468	8.236361503601074	0.44007108	No	
row_35	CDH5	3560	7.922266960144043	0.435544	No	
row_36	CYP2B7P	3676	7.445235729217529	0.42874098	No	
row_37	PCDHGA9	3785	7.032246112823486	0.42236897	No	
row_38	ASGR1	3940	6.511806964874268	0.4118007	No	
row_39	BHLHB9	4039	6.237542629241943	0.40595818	No	
row_40	PHF14	4173	5.866087436676025	0.3969332	No	
row_41	ZNF821	4355	5.400739669799805	0.38356227	No	
row_42	CPED1	4488	5.024145126342773	0.37426874	No	
row_43	HSPA12A	4608	4.7451581954956055	0.3659815	No	
row_44	SNCB	4770	4.339544773101807	0.35389218	No	
row_45	MEOX1	4796	4.281398773193359	0.35353598	No	
row_46	ILVBL	5264	3.3548755645751953	0.31457695	No	
row_47	LARGE1	5803	2.507856607437134	0.2691227	No	
row_48	COL4A6	6185	-2.3942055702209473	0.23719358	No	
row_49	SPN	6190	-2.4019052982330322	0.23786046	No	
row_50	EPPK1	6486	-2.841695547103882	0.21355498	No	
row_51	NEK11	6798	-3.3763935565948486	0.18809168	No	
row_52	LBX1	7293	-4.279497146606445	0.14718828	No	
row_53	SEMA5A	7364	-4.436535358428955	0.14300708	No	
row_54	CLCNKB	7999	-6.120078086853027	0.09077631	No	
row_55	PTPRO	8238	-6.931025981903076	0.07312276	No	
row_56	EPHA3	8363	-7.331034183502197	0.06549348	No	
row_57	INA	8379	-7.393554210662842	0.067313924	No	
row_58	PXDC1	8657	-8.670221328735352	0.04702199	No	
row_59	TSPYL5	8670	-8.742445945739746	0.049670503	No	
row_60	ATP8B3	8869	-9.689019203186035	0.03663788	No	
row_61	CBX8	8962	-10.303813934326172	0.03302847	No	
row_62	GJB3	9046	-10.874951362609863	0.030437928	No	
row_63	LAMA1	9369	-13.190686225891113	0.00816151	No	
row_64	RANGAP1	9691	-16.10682487487793	-0.012798966	No	
row_65	PSG2	11007	-54.01984786987305	-0.103708856	No	
row_66	OR51E2	11082	-57.842586517333984	-0.085719034	No	
row_67	TGM1	11250	-75.90642547607422	-0.068153344	No	
row_68	WNT3	11369	-96.63404846191406	-0.037612375	No	
row_69	ATRNL1	11496	-143.75416564941406	0.012103539	No	
