NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SVEP1	6	277.0393371582031	0.07274907	Yes	
row_1	ABHD2	41	218.76695251464844	0.12766042	Yes	
row_2	NRP2	43	214.48184204101562	0.1842981	Yes	
row_3	SIPA1	60	197.7371826171875	0.23520745	Yes	
row_4	RGS16	153	144.03494262695312	0.26532832	Yes	
row_5	SPRY1	181	133.02740478515625	0.2981706	Yes	
row_6	TNS2	275	105.72919464111328	0.31807402	Yes	
row_7	PLCB1	300	97.49637603759766	0.34177932	Yes	
row_8	WIPF1	311	96.29463195800781	0.36637995	Yes	
row_9	STEAP1	441	75.65633392333984	0.37521037	Yes	
row_10	GGCX	447	75.13407135009766	0.39464793	Yes	
row_11	TNIK	453	73.82890319824219	0.41374028	Yes	
row_12	STON1	502	67.96410369873047	0.4275554	Yes	
row_13	DUSP4	590	59.68644332885742	0.43580177	Yes	
row_14	BCL9	686	52.86456298828125	0.4415507	Yes	
row_15	TBKBP1	773	47.22902297973633	0.44658908	Yes	
row_16	TRO	833	43.976192474365234	0.45310688	Yes	
row_17	PML	842	43.704891204833984	0.46397236	Yes	
row_18	G0S2	855	43.17873001098633	0.47435203	Yes	
row_19	MIA	859	43.0892333984375	0.48548794	Yes	
row_20	ZC2HC1A	920	40.02838897705078	0.490875	Yes	
row_21	BCL2L11	924	39.625892639160156	0.50109494	Yes	
row_22	FAM131B	931	39.34979248046875	0.5109819	Yes	
row_23	FAM110B	953	38.476600646972656	0.51933813	Yes	
row_24	MMP2	1113	33.37338638305664	0.5143863	No	
row_25	AR	1310	28.606403350830078	0.50496745	No	
row_26	PCDH9	1312	28.5369815826416	0.512428	No	
row_27	CCL11	1388	26.961589813232422	0.51305944	No	
row_28	FER	1474	25.185274124145508	0.51235455	No	
row_29	DEPP1	1497	24.827224731445312	0.5170142	No	
row_30	NDRG2	1785	20.288410186767578	0.49750993	No	
row_31	TTLL3	1843	19.642587661743164	0.49776548	No	
row_32	NOVA1	2055	17.463232040405273	0.48409978	No	
row_33	KMT2A	2107	16.840686798095703	0.48413426	No	
row_34	AGO2	2139	16.58247947692871	0.48583353	No	
row_35	SLC12A5	2342	14.86192512512207	0.47225976	No	
row_36	PCYT1B	2426	14.327548027038574	0.4688566	No	
row_37	KLHL35	2585	12.9870023727417	0.4585998	No	
row_38	ARHGAP4	2716	12.258804321289062	0.45057675	No	
row_39	PDGFB	2841	11.42144775390625	0.44285214	No	
row_40	PLCD1	3069	9.9673433303833	0.42581752	No	
row_41	PAQR4	3090	9.874195098876953	0.42669585	No	
row_42	EPHB1	3094	9.861908912658691	0.4290441	No	
row_43	NFKBIL1	3171	9.526806831359863	0.42497787	No	
row_44	CYP1A1	3436	8.37588119506836	0.4043161	No	
row_45	KNTC1	3561	7.91724967956543	0.39566475	No	
row_46	RGS14	3692	7.386274814605713	0.38635305	No	
row_47	NRGN	3729	7.255446434020996	0.3851523	No	
row_48	THY1	3791	7.024251461029053	0.38172406	No	
row_49	LRIG2	3907	6.655021667480469	0.3735188	No	
row_50	UBL4A	3922	6.574075698852539	0.37404427	No	
row_51	ASGR1	3940	6.511806964874268	0.37429333	No	
row_52	LINC00342	3975	6.420709609985352	0.37304515	No	
row_53	XIST	4167	5.880739688873291	0.3580493	No	
row_54	ITGA10	4489	5.0238518714904785	0.33156168	No	
row_55	GIT2	4623	4.710298538208008	0.3212823	No	
row_56	ZNF549	4738	4.416208267211914	0.3125716	No	
row_57	SMARCD3	4822	4.216057777404785	0.30649424	No	
row_58	VEGFC	4948	3.9608712196350098	0.29670987	No	
row_59	CTRC	5321	3.263608455657959	0.26533732	No	
row_60	ZCCHC14	5452	3.0296363830566406	0.2548734	No	
row_61	PFAS	5459	3.0225980281829834	0.25515285	No	
row_62	APOBEC3F	5498	2.9673306941986084	0.25264475	No	
row_63	CRYM	5667	2.6869654655456543	0.2387973	No	
row_64	ATP2A3	5853	2.4441325664520264	0.22341251	No	
row_65	DYRK3	6368	-2.6715571880340576	0.17957833	No	
row_66	CDC45	6985	-3.7252204418182373	0.127184	No	
row_67	TRAF6	6998	-3.7498865127563477	0.12713587	No	
row_68	CDKN3	7241	-4.178696632385254	0.10727049	No	
row_69	ACVRL1	7314	-4.325885772705078	0.10217539	No	
row_70	CA5BP1	7562	-4.918035984039307	0.08207226	No	
row_71	MAP1B	7609	-5.020481586456299	0.0794139	No	
row_72	ZRSR2P1	7692	-5.243239402770996	0.07369486	No	
row_73	KAT5	8020	-6.188190460205078	0.046995245	No	
row_74	RAB11FIP3	8057	-6.315444469451904	0.045545913	No	
row_75	IRF2BP1	8203	-6.8253560066223145	0.034786034	No	
row_76	ABCA4	8250	-6.971752643585205	0.032643728	No	
row_77	VASP	8867	-9.680076599121094	-0.018175716	No	
row_78	YPEL1	9139	-11.548991203308105	-0.038604874	No	
row_79	TM4SF4	9308	-12.673202514648438	-0.04981123	No	
row_80	SRC	9402	-13.46634578704834	-0.05430869	No	
row_81	RCAN2	9518	-14.367935180664062	-0.06047412	No	
row_82	QSOX1	9578	-14.952268600463867	-0.061632324	No	
row_83	KIR3DL3	9800	-17.53543472290039	-0.07614548	No	
row_84	MYL9	10195	-24.623701095581055	-0.10377533	No	
row_85	TSPAN2	10467	-30.439882278442383	-0.11920838	No	
row_86	MBNL2	10540	-32.58788299560547	-0.116828986	No	
