NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MXRA8	70	189.85658264160156	0.09358899	Yes	
row_1	POSTN	106	167.25857543945312	0.17834075	Yes	
row_2	GAS1	117	162.51303100585938	0.2627605	Yes	
row_3	SLC6A9	136	154.69960021972656	0.34238923	Yes	
row_4	EPHB3	240	115.7724380493164	0.39425159	Yes	
row_5	TNFSF10	243	114.97943115234375	0.45441747	Yes	
row_6	METTL7A	319	95.3138427734375	0.49796095	Yes	
row_7	SGCD	673	53.68859100341797	0.49565977	Yes	
row_8	AKAP6	887	41.544185638427734	0.4990722	Yes	
row_9	RTP4	916	40.11553955078125	0.5177066	Yes	
row_10	NYNRIN	949	38.65853500366211	0.535231	Yes	
row_11	CDH12	1010	36.64488220214844	0.54928136	Yes	
row_12	SPTBN2	1133	33.117916107177734	0.5561282	Yes	
row_13	MAP2K6	1153	32.502716064453125	0.5715445	Yes	
row_14	LYPD3	1317	28.420955657958984	0.57238686	Yes	
row_15	FMO2	1433	25.908052444458008	0.57605445	Yes	
row_16	GDNF	1498	24.7869930267334	0.58353674	Yes	
row_17	ZNF862	1693	21.585920333862305	0.5781159	Yes	
row_18	HTR1B	1717	21.26324462890625	0.5872886	Yes	
row_19	VAV3	1742	20.90455436706543	0.5961869	Yes	
row_20	CBL	1982	18.3005428314209	0.58515686	No	
row_21	ERG	2409	14.43308162689209	0.55595297	No	
row_22	PIK3C2B	2424	14.346325874328613	0.56227297	No	
row_23	SH3BP1	2987	10.45081901550293	0.5192379	No	
row_24	CD248	3023	10.210333824157715	0.5215744	No	
row_25	IGFBP2	3178	9.508899688720703	0.51326907	No	
row_26	ATAT1	3384	8.593303680419922	0.5000803	No	
row_27	CFAP74	3406	8.506204605102539	0.50273114	No	
row_28	BBOX1	3759	7.152908802032471	0.47609547	No	
row_29	AKR1B10	3948	6.4997735023498535	0.46327573	No	
row_30	OLFML2A	4218	5.732846736907959	0.4430605	No	
row_31	PTPRU	4495	5.013126850128174	0.42186326	No	
row_32	BBC3	4750	4.388233661651611	0.4022374	No	
row_33	SOX30	4876	4.120631694793701	0.39360812	No	
row_34	DHX58	4930	4.004089832305908	0.39113373	No	
row_35	MEGF8	5306	3.2878265380859375	0.36048406	No	
row_36	TRGV7	5312	3.275341033935547	0.36177123	No	
row_37	PSORS1C1	6356	-2.6599738597869873	0.27312136	No	
row_38	UPK3B	7195	-4.071117877960205	0.20291036	No	
row_39	PPFIBP2	7588	-4.977972030639648	0.17167999	No	
row_40	TSC22D4	7927	-5.889557361602783	0.14559	No	
row_41	PROC	8077	-6.397390365600586	0.13608353	No	
row_42	SCARF1	8210	-6.851272106170654	0.1282829	No	
row_43	RHCG	8793	-9.264077186584473	0.08289842	No	
row_44	KRT15	9034	-10.781315803527832	0.06783619	No	
row_45	ACHE	9158	-11.69061279296875	0.06335214	No	
row_46	CD22	9609	-15.24850845336914	0.03250416	No	
row_47	GPNMB	10076	-22.098783493041992	0.0038697168	No	
row_48	MAP3K1	10226	-25.209081649780273	0.004235178	No	
row_49	PALM	10240	-25.536663055419922	0.016513892	No	
row_50	HTR1D	10503	-31.423017501831055	0.010384606	No	
row_51	CRYAB	10532	-32.290504455566406	0.024912579	No	
row_52	PSG7	11083	-57.91585922241211	0.007822096	No	
row_53	TGM1	11250	-75.90642547607422	0.03332468	No	
