NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FNDC4	57	200.5090789794922	0.030532055	Yes	
row_1	TGM2	61	196.43736267089844	0.0650359	Yes	
row_2	FN1	77	186.43067932128906	0.09672607	Yes	
row_3	EGR2	99	171.30377197265625	0.12521777	Yes	
row_4	GATA3	154	143.77450561523438	0.1459699	Yes	
row_5	NRIP1	157	142.85975646972656	0.17107874	Yes	
row_6	FOXG1	165	140.8463897705078	0.19539678	Yes	
row_7	GNG11	174	136.96669006347656	0.21894132	Yes	
row_8	ELK3	216	122.9247055053711	0.2371332	Yes	
row_9	L1CAM	219	121.68017578125	0.25849378	Yes	
row_10	NR3C1	225	120.05801391601562	0.2793066	Yes	
row_11	ROR2	254	111.45804595947266	0.2965988	Yes	
row_12	TMOD1	296	99.32451629638672	0.31061405	Yes	
row_13	PCSK5	305	96.87277221679688	0.32706293	Yes	
row_14	EMP1	346	91.27628326416016	0.33974075	Yes	
row_15	ADAM19	351	89.79701232910156	0.355285	Yes	
row_16	KCNN4	355	88.85719299316406	0.37074983	Yes	
row_17	CHST11	379	85.06976318359375	0.38380647	Yes	
row_18	MFAP2	380	84.99483489990234	0.39884844	Yes	
row_19	WT1	386	84.06179809570312	0.4132908	Yes	
row_20	KCTD12	396	82.80581665039062	0.4271633	Yes	
row_21	PELI2	399	82.3357162475586	0.4415609	Yes	
row_22	ELOVL5	487	69.797119140625	0.44635332	Yes	
row_23	EGR3	517	65.83779907226562	0.455485	Yes	
row_24	APOBEC3G	523	65.12477111816406	0.46657595	Yes	
row_25	WNT5A	564	61.100929260253906	0.47391346	Yes	
row_26	RGCC	595	59.11894226074219	0.48176917	Yes	
row_27	HAS2	599	58.58375549316406	0.49187636	Yes	
row_28	CCND2	674	53.522216796875	0.49491814	Yes	
row_29	CBS	683	52.97267150878906	0.50359786	Yes	
row_30	RBP1	787	46.433677673339844	0.50286514	Yes	
row_31	IGFBP6	800	45.64468765258789	0.5099004	Yes	
row_32	HOXB2	803	45.549781799316406	0.51778775	Yes	
row_33	AKAP12	839	43.85318374633789	0.5225073	Yes	
row_34	G0S2	855	43.17873001098633	0.5288454	Yes	
row_35	MIA	859	43.0892333984375	0.5362105	Yes	
row_36	PMEPA1	915	40.1279182434082	0.53853285	Yes	
row_37	PLEKHO1	1140	32.80000305175781	0.5248729	No	
row_38	CHST2	1156	32.477088928222656	0.5293171	No	
row_39	SH2D2A	1385	27.064332962036133	0.5142945	No	
row_40	EN2	1386	27.047510147094727	0.51908123	No	
row_41	VIM	1563	23.69013023376465	0.5079801	No	
row_42	STRA6	1615	23.006437301635742	0.50762	No	
row_43	SLC26A4	1628	22.71034049987793	0.5105964	No	
row_44	PLTP	1775	20.42469024658203	0.5015242	No	
row_45	NTSR1	1801	20.10157585144043	0.5029093	No	
row_46	TCEA2	1808	20.016630172729492	0.50593036	No	
row_47	PLEKHF1	1872	19.265289306640625	0.5038654	No	
row_48	IL11	1932	18.70284080505371	0.5020485	No	
row_49	KCNG1	1947	18.55057716369629	0.5041149	No	
row_50	CD302	2113	16.811613082885742	0.4927523	No	
row_51	C14orf132	2123	16.72846221923828	0.49493077	No	
row_52	SLC5A3	2126	16.71185302734375	0.49771455	No	
row_53	TMEM47	2208	15.949522972106934	0.49349865	No	
row_54	NES	2306	15.1168212890625	0.48774502	No	
row_55	ZNF236	2315	15.016936302185059	0.48970747	No	
row_56	CHGB	2345	14.81567096710205	0.4898095	No	
row_57	FOXF2	2382	14.590373992919922	0.4892634	No	
row_58	DBN1	2513	13.571200370788574	0.48036864	No	
row_59	ARHGAP4	2716	12.258804321289062	0.46498516	No	
row_60	SLIT1	2849	11.341262817382812	0.455522	No	
row_61	FBXO17	2913	10.852757453918457	0.45196822	No	
row_62	TNFRSF1B	3081	9.917490005493164	0.43921173	No	
row_63	PTPRN2	3714	7.293466567993164	0.38558418	No	
row_64	CHST10	3910	6.639745712280273	0.3698145	No	
row_65	GNG4	3926	6.561502456665039	0.36967227	No	
row_66	TUBB2B	4050	6.2089009284973145	0.3600829	No	
row_67	WASF3	4083	6.136251449584961	0.3583882	No	
row_68	ADIRF	4365	5.371097564697266	0.33492094	No	
row_69	PHLDA3	4393	5.283298969268799	0.33350974	No	
row_70	FHL1	4437	5.149057865142822	0.33068448	No	
row_71	TRPV2	4602	4.765588760375977	0.3172769	No	
row_72	LMO2	4605	4.760124683380127	0.31794554	No	
row_73	RUNX3	4632	4.698792934417725	0.3165178	No	
row_74	TCHH	4675	4.5846266746521	0.31367955	No	
row_75	ZFPM2	4899	4.079068183898926	0.29502362	No	
row_76	CXCR4	5226	3.4211297035217285	0.26730096	No	
row_77	ADGRE2	5641	2.7206239700317383	0.23180746	No	
row_78	KRT81	5732	2.59806227684021	0.22444661	No	
row_79	ZNF350	5800	2.513134717941284	0.21906933	No	
row_80	LGALS1	5844	2.457899332046509	0.21576779	No	
row_81	ZNF22	5920	2.358247756958008	0.20966794	No	
row_82	CYBRD1	6269	-2.5184648036956787	0.17987381	No	
row_83	MAOA	6525	-2.9144845008850098	0.1582311	No	
row_84	ADGRG2	6625	-3.1023032665252686	0.15017742	No	
row_85	PTGDS	6648	-3.1385996341705322	0.14882116	No	
row_86	EMP3	6668	-3.1694788932800293	0.14773105	No	
row_87	S100A4	6992	-3.733616590499878	0.12032438	No	
row_88	SLC2A3	7205	-4.102538585662842	0.10262846	No	
row_89	ISYNA1	7309	-4.314311981201172	0.09444169	No	
row_90	PDGFA	7362	-4.431568145751953	0.09070738	No	
row_91	FOSL1	7400	-4.529788970947266	0.08829388	No	
row_92	MAP1B	7609	-5.020481586456299	0.071108	No	
row_93	SLC35G2	7950	-5.966938018798828	0.042619333	No	
row_94	CAVIN3	8136	-6.606613636016846	0.027712766	No	
row_95	RPP25	8235	-6.921053409576416	0.020421807	No	
row_96	MSN	8275	-7.0452680587768555	0.018279698	No	
row_97	PRKAA2	8458	-7.736584186553955	0.0038337961	No	
row_98	SERPINE1	9072	-11.036811828613281	-0.04748025	No	
row_99	WWC2	9123	-11.446683883666992	-0.04979928	No	
row_100	ARID3B	9383	-13.30983829498291	-0.06994985	No	
row_101	SYNE3	9417	-13.58115005493164	-0.070413895	No	
row_102	S100A2	9512	-14.34355354309082	-0.07604367	No	
row_103	ARG2	9620	-15.358099937438965	-0.08262355	No	
row_104	PDLIM4	9657	-15.766094207763672	-0.0829616	No	
row_105	FNBP1	9696	-16.210262298583984	-0.08339483	No	
row_106	IGFBP7	9790	-17.44459342956543	-0.08838891	No	
row_107	RRAGD	9898	-19.345672607421875	-0.094263084	No	
row_108	SCML1	9909	-19.61143684387207	-0.09166131	No	
row_109	MICU1	10017	-21.188034057617188	-0.09720943	No	
row_110	FADS1	10085	-22.323768615722656	-0.09908071	No	
row_111	LOXL1	10192	-24.525123596191406	-0.10395136	No	
row_112	MYL9	10195	-24.623701095581055	-0.09976737	No	
row_113	DKK1	10286	-26.267833709716797	-0.10293926	No	
row_114	PCSK1N	10304	-26.73436737060547	-0.09968518	No	
row_115	PDZD2	10333	-27.253549575805664	-0.09729506	No	
row_116	CDA	10360	-27.987695693969727	-0.09460124	No	
row_117	CRIP1	10637	-35.65819549560547	-0.11227393	No	
row_118	HSPA1A	10690	-38.04050064086914	-0.110060304	No	
row_119	ARC	11088	-58.440025329589844	-0.13421561	No	
row_120	EPB41L4A	11157	-64.63007354736328	-0.12868662	No	
row_121	STC2	11199	-67.64323425292969	-0.12027819	No	
row_122	NMNAT2	11266	-77.55290985107422	-0.112288386	No	
row_123	NRIP3	11360	-94.7109603881836	-0.103608236	No	
row_124	PAX6	11380	-99.03065490722656	-0.08773329	No	
row_125	SLC43A3	11427	-113.16049194335938	-0.07170391	No	
row_126	DNAJC6	11480	-130.73179626464844	-0.05308622	No	
row_127	SLC17A9	11505	-149.33181762695312	-0.028743703	No	
row_128	FLNC	11604	-226.248291015625	0.002780815	No	
