NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSGALNACT1	122	160.72926330566406	0.02391701	No	
row_1	MEIS2	144	150.35372924804688	0.05437875	No	
row_2	EHD3	190	131.528564453125	0.07871353	No	
row_3	GALNT12	285	104.21673583984375	0.09292752	No	
row_4	RIN2	302	96.99498748779297	0.11236572	No	
row_5	CREB3L2	325	94.08831787109375	0.13065861	No	
row_6	PDE8A	331	92.98281860351562	0.15019071	No	
row_7	CHST11	379	85.06976318359375	0.16437559	No	
row_8	DUSP4	590	59.68644332885742	0.15895192	No	
row_9	NUMB	613	57.748748779296875	0.16944155	No	
row_10	DIAPH2	629	56.31825256347656	0.180232	No	
row_11	AKAP12	839	43.85318374633789	0.1714953	No	
row_12	DHRS7	878	42.226219177246094	0.17726201	No	
row_13	IL1R1	889	41.518856048583984	0.18530886	No	
row_14	MARCKS	976	37.78627395629883	0.18595296	No	
row_15	SCARA3	1052	35.39206314086914	0.18703839	No	
row_16	LMO4	1074	34.685184478759766	0.19266239	No	
row_17	PJA2	1120	33.254417419433594	0.19589455	No	
row_18	UST	1170	32.14957809448242	0.19854204	No	
row_19	BTG1	1274	29.350088119506836	0.19589804	No	
row_20	PCDH9	1312	28.5369815826416	0.19881208	No	
row_21	SASH1	1328	28.204524993896484	0.20356563	No	
row_22	SECISBP2L	1408	26.547842025756836	0.2024045	No	
row_23	PLPP2	1464	25.373668670654297	0.20307583	No	
row_24	TNS3	1513	24.41737174987793	0.20414981	No	
row_25	BACE2	1676	21.858779907226562	0.19477254	No	
row_26	KLHDC2	1896	19.08592414855957	0.17984892	No	
row_27	NIPSNAP2	2049	17.519277572631836	0.17040841	No	
row_28	NOVA1	2055	17.463232040405273	0.17372404	No	
row_29	CD302	2113	16.811613082885742	0.1723831	No	
row_30	NUP43	2256	15.561513900756836	0.16339079	No	
row_31	MMP9	2340	14.879090309143066	0.15937655	No	
row_32	RFTN1	2601	12.894268035888672	0.1395622	No	
row_33	PNRC1	2762	11.8972806930542	0.12821959	No	
row_34	KIF13B	2851	11.33836841583252	0.12301077	No	
row_35	ACOX2	2958	10.613778114318848	0.11608291	No	
row_36	SORD	2984	10.464505195617676	0.11615851	No	
row_37	PTOV1	3127	9.70191478729248	0.10590794	No	
row_38	RAB40B	3156	9.578385353088379	0.10553269	No	
row_39	DPYSL2	3453	8.291177749633789	0.081603006	No	
row_40	SERHL2	3491	8.163357734680176	0.080142185	No	
row_41	SORL1	3682	7.423698425292969	0.06523321	No	
row_42	PLAGL1	3896	6.693068504333496	0.048169594	No	
row_43	ABCG2	4022	6.283458709716797	0.038661562	No	
row_44	GCLM	4284	5.569952487945557	0.017187584	No	
row_45	ADIRF	4365	5.371097564697266	0.011392265	No	
row_46	SLC12A2	4613	4.732350826263428	-0.009045557	No	
row_47	TENT5C	4939	3.9796526432037354	-0.036419958	No	
row_48	TNNT1	5132	3.5929176807403564	-0.052325245	No	
row_49	CXCR4	5226	3.4211297035217285	-0.059668444	No	
row_50	CLMN	5411	3.1081128120422363	-0.07498296	No	
row_51	DAB2	5622	2.7490830421447754	-0.0926329	No	
row_52	IGFBP5	5674	2.6751465797424316	-0.09648824	No	
row_53	TNFRSF11B	5718	2.619277000427246	-0.0996607	No	
row_54	SPTLC2	5817	2.487360715866089	-0.1076387	No	
row_55	ANKMY2	5904	2.3705692291259766	-0.11459948	No	
row_56	UHRF1BP1L	6055	-2.1877505779266357	-0.12715845	No	
row_57	EFCAB11	6094	-2.2453033924102783	-0.12997693	No	
row_58	P4HA2	6098	-2.2546966075897217	-0.12975335	No	
row_59	MAOA	6525	-2.9144845008850098	-0.16612917	No	
row_60	CEP76	6573	-3.01655912399292	-0.16956376	No	
row_61	MBP	6748	-3.3028361797332764	-0.18396789	No	
row_62	GGH	6774	-3.337449789047241	-0.18542269	No	
row_63	UROS	6791	-3.362779378890991	-0.18609032	No	
row_64	ANXA6	6802	-3.381653308868408	-0.18623276	No	
row_65	PPP1R3C	6980	-3.70613694190979	-0.20081085	No	
row_66	GOLM1	7085	-3.8874852657318115	-0.20900935	No	
row_67	GTDC1	7175	-4.03127908706665	-0.2158741	No	
row_68	CDKN3	7241	-4.178696632385254	-0.2206226	No	
row_69	CYFIP2	7390	-4.5151591300964355	-0.23250808	No	
row_70	PBK	7568	-4.923435688018799	-0.24682479	No	
row_71	TST	7600	-5.004099369049072	-0.24844286	No	
row_72	HRAS	7629	-5.066312313079834	-0.24978699	No	
row_73	OPN3	7818	-5.581411361694336	-0.26491785	No	
row_74	TIMM13	7933	-5.915721416473389	-0.2735494	No	
row_75	DEGS1	7958	-5.988978385925293	-0.27434796	No	
row_76	APPL2	7986	-6.079247951507568	-0.27538773	No	
row_77	SLC9A6	8035	-6.229767799377441	-0.27821922	No	
row_78	TK1	8090	-6.435722351074219	-0.2815276	No	
row_79	RPS6KA5	8138	-6.61189079284668	-0.28419015	No	
row_80	SEPTIN10	8260	-7.005367755889893	-0.29319575	No	
row_81	GSTZ1	8311	-7.166420936584473	-0.2959998	No	
row_82	RHOQ	8313	-7.169224739074707	-0.2945472	No	
row_83	EPAS1	8469	-7.808380126953125	-0.30633354	No	
row_84	RCAN1	8681	-8.794282913208008	-0.32277223	No	
row_85	STAU2	8692	-8.831487655639648	-0.3217444	No	
row_86	BNIP3L	8850	-9.587650299072266	-0.33332238	No	
row_87	ATP6V0A4	8861	-9.65242862701416	-0.33211827	No	
row_88	PPFIA3	8924	-10.041556358337402	-0.33534727	No	
row_89	MYO5A	8955	-10.282771110534668	-0.33574498	No	
row_90	PSTPIP2	9307	-12.670305252075195	-0.36351153	No	
row_91	QPRT	9430	-13.707342147827148	-0.37116483	No	
row_92	SGPP1	9830	-17.97614288330078	-0.40196127	No	
row_93	DSC2	9885	-19.207040786743164	-0.40252724	No	
row_94	RRAGD	9898	-19.345672607421875	-0.3994154	No	
row_95	EPS8L1	9910	-19.61341094970703	-0.3961592	No	
row_96	ATP6V1H	9966	-20.287731170654297	-0.39658	No	
row_97	ASRGL1	10075	-22.098602294921875	-0.4012154	No	
row_98	DRAM1	10381	-28.36750602722168	-0.4216158	Yes	
row_99	EPHX1	10388	-28.538211822509766	-0.4160089	Yes	
row_100	PGM1	10500	-31.366758346557617	-0.4189147	Yes	
row_101	HMGCS1	10588	-34.1972770690918	-0.41912812	Yes	
row_102	LRP8	10613	-34.858821868896484	-0.41372743	Yes	
row_103	UNC13B	10706	-38.6934700012207	-0.41340965	Yes	
row_104	NUCB2	10734	-39.916160583496094	-0.40718356	Yes	
row_105	ACOX1	10738	-40.08172607421875	-0.3988373	Yes	
row_106	ULBP2	10806	-42.859588623046875	-0.39545348	Yes	
row_107	MICAL3	10981	-52.331912994384766	-0.39932948	Yes	
row_108	EPB41L1	10983	-52.4684944152832	-0.38814968	Yes	
row_109	PHACTR2	11013	-54.18887710571289	-0.3790325	Yes	
row_110	GLTP	11021	-54.83259963989258	-0.3678662	Yes	
row_111	P2RX4	11049	-56.201255798339844	-0.35814315	Yes	
row_112	FAM117A	11052	-56.281497955322266	-0.3462314	Yes	
row_113	SOAT1	11057	-56.435367584228516	-0.33446035	Yes	
row_114	HSD17B14	11345	-92.35398864746094	-0.33955735	Yes	
row_115	SLC26A2	11379	-98.9842300415039	-0.32116857	Yes	
row_116	ALDH4A1	11381	-99.5722885131836	-0.29987407	Yes	
row_117	EDN1	11484	-133.22201538085938	-0.28012657	Yes	
row_118	PLCB4	11530	-159.48167419433594	-0.24978939	Yes	
row_119	CLIC3	11543	-165.2183837890625	-0.215354	Yes	
row_120	TMC6	11585	-203.36769104003906	-0.17524563	Yes	
row_121	C1orf115	11624	-264.4450378417969	-0.12176141	Yes	
row_122	PROS1	11631	-285.0460205078125	-0.061074037	Yes	
row_123	GPX3	11632	-286.0373840332031	3.4736012E-4	Yes	
