NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FNDC4	57	200.5090789794922	0.06748361	No	
row_1	GAS1	117	162.51303100585938	0.121071644	No	
row_2	STMN3	618	57.3860969543457	0.09853696	No	
row_3	PYCARD	672	53.827579498291016	0.1133916	No	
row_4	SHANK1	726	50.136600494384766	0.12691322	No	
row_5	MIA	859	43.0892333984375	0.13105454	No	
row_6	CYP27A1	978	37.71491241455078	0.13446617	No	
row_7	GVINP1	1041	35.74550247192383	0.14201166	No	
row_8	SPTBN2	1133	33.117916107177734	0.14609909	No	
row_9	SNTG1	1468	25.305919647216797	0.12634076	No	
row_10	RAPGEF5	1663	22.088895797729492	0.117533416	No	
row_11	LRRC37A4P	1674	21.878705978393555	0.12456986	No	
row_12	OPCML	1704	21.506492614746094	0.12982799	No	
row_13	GALK1	1789	20.264944076538086	0.12987913	No	
row_14	KBTBD11	1806	20.04729652404785	0.13573503	No	
row_15	HLA-DPB1	2068	17.33615493774414	0.119414344	No	
row_16	GNB1L	2130	16.692949295043945	0.12016539	No	
row_17	CLDN14	2274	15.380084037780762	0.113347635	No	
row_18	PLA1A	2746	11.99146556854248	0.07692744	No	
row_19	PDGFB	2841	11.42144775390625	0.07291948	No	
row_20	FBXO17	2913	10.852757453918457	0.0706961	No	
row_21	GUSBP11	2983	10.474130630493164	0.06850901	No	
row_22	MAPK3	3096	9.859463691711426	0.062379573	No	
row_23	RNF2	3716	7.285167217254639	0.011454685	No	
row_24	LAMC3	3722	7.270542621612549	0.013647892	No	
row_25	PCDHA10	4087	6.1242852210998535	-0.015633618	No	
row_26	LHX6	4158	5.900251388549805	-0.019559111	No	
row_27	NACAD	4171	5.8787102699279785	-0.018474216	No	
row_28	HOXA10	4194	5.798145771026611	-0.018283619	No	
row_29	TBXAS1	4396	5.278769016265869	-0.033767704	No	
row_30	FES	4428	5.176285743713379	-0.03458038	No	
row_31	BBC3	4750	4.388233661651611	-0.060768507	No	
row_32	HHIPL2	4887	4.107604503631592	-0.07105176	No	
row_33	ECPAS	5260	3.361910581588745	-0.10202308	No	
row_34	RND2	5345	3.2190849781036377	-0.108128175	No	
row_35	DPY19L4	5363	3.200204610824585	-0.108443245	No	
row_36	HYAL1	5388	3.1579344272613525	-0.10937922	No	
row_37	APOBEC3F	5498	2.9673306941986084	-0.11773824	No	
row_38	FAM106A	5775	2.5447604656219482	-0.14069875	No	
row_39	PEAK1	5786	2.5287351608276367	-0.14065067	No	
row_40	ATP2A3	5853	2.4441325664520264	-0.1454783	No	
row_41	PCOTH	5941	2.338984489440918	-0.15216081	No	
row_42	GJC2	6006	2.2528419494628906	-0.15688446	No	
row_43	FGFR3	6446	-2.7950334548950195	-0.19385737	No	
row_44	SLC66A3	7136	-3.9734010696411133	-0.25203475	No	
row_45	MLLT1	7456	-4.636166572570801	-0.27796027	No	
row_46	SPINT1	7805	-5.546699047088623	-0.30606607	No	
row_47	L2HGDH	7827	-5.604419231414795	-0.3058589	No	
row_48	FKBP5	7994	-6.099605083465576	-0.31801835	No	
row_49	NCR1	8087	-6.434210300445557	-0.32365444	No	
row_50	E2F5	8120	-6.534807205200195	-0.324063	No	
row_51	LRRC36	8156	-6.663757801055908	-0.32468453	No	
row_52	PTPRO	8238	-6.931025981903076	-0.32918948	No	
row_53	CRYBG2	8381	-7.4060378074646	-0.3388006	No	
row_54	MTHFS	9198	-11.967884063720703	-0.40507877	No	
row_55	LRP12	9336	-12.891541481018066	-0.41227615	No	
row_56	QPRT	9430	-13.707342147827148	-0.41537204	No	
row_57	MON1B	9545	-14.620110511779785	-0.41995516	No	
row_58	BPNT1	9550	-14.65306282043457	-0.4150092	No	
row_59	KIR2DL3	9563	-14.802207946777344	-0.4107015	No	
row_60	HOXD11	9732	-16.710281372070312	-0.41920188	No	
row_61	RNF19A	9759	-17.03366470336914	-0.41529956	No	
row_62	PLXNB3	10236	-25.399219512939453	-0.44731006	No	
row_63	MFSD6	10462	-30.242164611816406	-0.45585492	Yes	
row_64	LIPE	10552	-32.92860794067383	-0.4516628	Yes	
row_65	CHM	10596	-34.349281311035156	-0.4429777	Yes	
row_66	TNNT2	10659	-36.44340133666992	-0.43518016	Yes	
row_67	LMOD1	10708	-38.738948822021484	-0.4253423	Yes	
row_68	PNPLA3	10730	-39.76084899902344	-0.4127993	Yes	
row_69	PACSIN3	10800	-42.54511642456055	-0.40340373	Yes	
row_70	INKA2	11064	-56.7552604675293	-0.40566096	Yes	
row_71	PADI1	11203	-68.13884735107422	-0.3929919	Yes	
row_72	SLC9A3R2	11244	-74.81381225585938	-0.3694332	Yes	
row_73	SYN1	11247	-75.40467834472656	-0.34237328	Yes	
row_74	CLIC3	11543	-165.2183837890625	-0.30822697	Yes	
row_75	EFNA5	11564	-183.41590881347656	-0.24371542	Yes	
row_76	SLC25A23	11591	-207.79103088378906	-0.17091976	Yes	
row_77	TSPAN12	11612	-239.30162048339844	-0.0862247	Yes	
row_78	ARSD	11614	-244.25604248046875	0.0019035668	Yes	
