NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL12	212	123.38004302978516	0.034396235	No	
row_1	SPG11	291	101.43019104003906	0.0710088	No	
row_2	ACADVL	700	52.17710494995117	0.05799487	No	
row_3	PRSS12	740	49.208370208740234	0.07565697	No	
row_4	GJB2	1377	27.167158126831055	0.03221179	No	
row_5	GSTA4	1522	24.28074836730957	0.030126275	No	
row_6	MBNL3	1649	22.286766052246094	0.028746562	No	
row_7	PLK3	1708	21.383346557617188	0.03286754	No	
row_8	RHOU	1798	20.14535140991211	0.03377548	No	
row_9	PTPRE	2162	16.324703216552734	0.009329054	No	
row_10	MYO1D	2217	15.863479614257812	0.01143637	No	
row_11	BIN3	2377	14.603283882141113	0.003914783	No	
row_12	NFE2L2	2456	14.087790489196777	0.003185183	No	
row_13	DDIT4	2576	13.09760570526123	-0.0015172347	No	
row_14	PTPN9	2843	11.400064468383789	-0.019671585	No	
row_15	SRI	3263	9.113950729370117	-0.052048944	No	
row_16	MOGS	3513	8.068343162536621	-0.07015599	No	
row_17	COASY	3536	8.000239372253418	-0.06864019	No	
row_18	UNC119B	3668	7.480537414550781	-0.07678299	No	
row_19	AARS1	4015	6.2967681884765625	-0.104044996	No	
row_20	RSRC1	4058	6.192208766937256	-0.10503364	No	
row_21	COA5	4725	4.463309288024902	-0.16078275	No	
row_22	ARPC1B	5194	3.479390859603882	-0.19981116	No	
row_23	ARL1	5336	3.2341487407684326	-0.21063517	No	
row_24	NMI	5383	3.1604154109954834	-0.21326631	No	
row_25	ACP5	5713	2.6275956630706787	-0.24062529	No	
row_26	CAP1	6044	2.1946117877960205	-0.26825598	No	
row_27	COG6	6100	-2.255321979522705	-0.27205324	No	
row_28	POLR3G	6301	-2.574514865875244	-0.28826705	No	
row_29	SLIRP	6433	-2.7744224071502686	-0.2984219	No	
row_30	LAS1L	6497	-2.864177942276001	-0.3026514	No	
row_31	NARS1	6550	-2.9707112312316895	-0.30588308	No	
row_32	AIMP1	6608	-3.0669820308685303	-0.30950648	No	
row_33	POR	6760	-3.322331190109253	-0.32115853	No	
row_34	UROS	6791	-3.362779378890991	-0.322318	No	
row_35	POMP	6836	-3.459512710571289	-0.3246481	No	
row_36	IDNK	6883	-3.531949281692505	-0.3271204	No	
row_37	RBM8A	6991	-3.733049154281616	-0.33478764	No	
row_38	ANXA4	7018	-3.7771530151367188	-0.33542365	No	
row_39	UBA5	7074	-3.8697915077209473	-0.33853066	No	
row_40	NIPSNAP1	7164	-4.0167107582092285	-0.34451833	No	
row_41	NSUN2	7169	-4.019911289215088	-0.34314597	No	
row_42	ELOVL6	7698	-5.258762836456299	-0.38660797	No	
row_43	S100A16	7734	-5.336309909820557	-0.38735655	No	
row_44	CCDC90B	7739	-5.354609966278076	-0.38541353	No	
row_45	RARS1	7843	-5.644097328186035	-0.39191744	No	
row_46	MTRES1	8053	-6.296728134155273	-0.40731904	No	
row_47	HSPH1	8105	-6.4966936111450195	-0.40895665	No	
row_48	PEX3	8112	-6.518775463104248	-0.40668905	No	
row_49	BSDC1	8147	-6.641024112701416	-0.40679324	No	
row_50	RNF25	8271	-7.034708499908447	-0.41443408	No	
row_51	SCD	8293	-7.115965843200684	-0.41320974	No	
row_52	PMM2	8606	-8.500682830810547	-0.43658602	No	
row_53	BCCIP	8651	-8.646812438964844	-0.43669838	No	
row_54	DGAT1	8774	-9.187982559204102	-0.44333202	No	
row_55	GALNT11	8887	-9.810344696044922	-0.44883388	No	
row_56	AP3D1	8943	-10.179959297180176	-0.44924304	No	
row_57	ELOVL1	9008	-10.619912147521973	-0.45024326	No	
row_58	NME7	9297	-12.586828231811523	-0.46979484	No	
row_59	TDRD7	9305	-12.659478187561035	-0.46498844	No	
row_60	EFL1	9329	-12.865314483642578	-0.46147922	No	
row_61	TPRG1L	9539	-14.54228401184082	-0.4733555	No	
row_62	ERCC3	9540	-14.55100154876709	-0.4671344	No	
row_63	PINX1	9761	-17.07723045349121	-0.4788792	No	
row_64	RDH11	9772	-17.18423843383789	-0.472398	No	
row_65	PEX19	9838	-18.175357818603516	-0.4702546	No	
row_66	SIGMAR1	9988	-20.648609161376953	-0.47432584	No	
row_67	EIF3C	10035	-21.364883422851562	-0.46917388	No	
row_68	UBE2G2	10153	-23.682781219482422	-0.4691776	No	
row_69	ANXA1	10568	-33.45014953613281	-0.49071744	Yes	
row_70	NUCB2	10734	-39.916160583496094	-0.48793626	Yes	
row_71	GBE1	10736	-40.022186279296875	-0.47091183	Yes	
row_72	LPGAT1	10895	-47.57900619506836	-0.46424848	Yes	
row_73	TXNRD3	11068	-56.8902702331543	-0.45481625	Yes	
row_74	H2BC4	11126	-61.836273193359375	-0.43331355	Yes	
row_75	LACTB2	11131	-62.00314712524414	-0.40715113	Yes	
row_76	BLCAP	11173	-65.88854217529297	-0.38253078	Yes	
row_77	SYTL1	11259	-77.01899719238281	-0.35696092	Yes	
row_78	GLRX	11335	-90.19324493408203	-0.32489285	Yes	
row_79	BDH1	11399	-102.67716979980469	-0.28644857	Yes	
row_80	LPCAT3	11400	-103.70325469970703	-0.2421115	Yes	
row_81	PLEKHA7	11407	-107.04937744140625	-0.1968633	Yes	
row_82	HSD17B12	11424	-112.61234283447266	-0.15010244	Yes	
row_83	SAR1B	11477	-129.21011352539062	-0.09936201	Yes	
row_84	NFE2L1	11481	-130.97450256347656	-0.043625187	Yes	
row_85	EDN1	11484	-133.22201538085938	0.013159105	Yes	
