NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPRY4	54	202.1200408935547	0.117109016	Yes	
row_1	GDF5	173	137.34085083007812	0.1896604	Yes	
row_2	L1CAM	219	121.68017578125	0.25908315	Yes	
row_3	RASA3	234	117.45730590820312	0.3286399	Yes	
row_4	SRPX2	303	96.91940307617188	0.3811576	Yes	
row_5	C1orf21	419	79.54986572265625	0.41915	Yes	
row_6	PTN	612	57.77679443359375	0.43737215	Yes	
row_7	ADGRE1	767	48.10017013549805	0.45304725	Yes	
row_8	RBP1	787	46.433677673339844	0.47938135	Yes	
row_9	SEMA3A	872	42.53042221069336	0.49774826	Yes	
row_10	CH25H	940	39.08128356933594	0.5155058	Yes	
row_11	KCNJ15	1008	36.73143768310547	0.5318476	Yes	
row_12	C7	1291	28.909618377685547	0.52490234	Yes	
row_13	BMPR1B	1495	24.875368118286133	0.52235156	Yes	
row_14	GPER1	1599	23.20026969909668	0.5274309	Yes	
row_15	DCSTAMP	1757	20.762453079223633	0.52637625	Yes	
row_16	HOXD3	1797	20.154300689697266	0.5351496	Yes	
row_17	ADRA1D	1874	19.246604919433594	0.5401795	Yes	
row_18	FTCD	2216	15.870054244995117	0.5202809	No	
row_19	CXCL11	2253	15.585403442382812	0.5265607	No	
row_20	SLC12A5	2342	14.86192512512207	0.5279122	No	
row_21	MECOM	2415	14.410524368286133	0.53037405	No	
row_22	HSD17B1	2598	12.91579818725586	0.5224321	No	
row_23	DNMT3A	2748	11.982537269592285	0.51677877	No	
row_24	TPTE	3191	9.464136123657227	0.48429504	No	
row_25	NPL	3231	9.272281646728516	0.48651212	No	
row_26	TEF	3270	9.087791442871094	0.48870444	No	
row_27	TNFRSF8	3790	7.025034427642822	0.4480989	No	
row_28	CUBN	3811	6.967366695404053	0.45056877	No	
row_29	IL17RB	4217	5.733628273010254	0.41903397	No	
row_30	SLC9A5	4373	5.347355365753174	0.40886477	No	
row_31	PSD	4699	4.523520469665527	0.38351235	No	
row_32	GSTM1	4741	4.406777381896973	0.38262525	No	
row_33	VEGFC	4948	3.9608712196350098	0.36721465	No	
row_34	TRAF1	5004	3.8323559761047363	0.36477196	No	
row_35	GPR3	5195	3.4790124893188477	0.35045332	No	
row_36	KLF8	5338	3.230348825454712	0.34013173	No	
row_37	KNL1	5564	2.8514904975891113	0.32241127	No	
row_38	HDAC9	6134	-2.2963976860046387	0.27463716	No	
row_39	P2RY6	6389	-2.7052419185638428	0.25432318	No	
row_40	CCNK	6789	-3.3614485263824463	0.22187755	No	
row_41	H2AC8	7146	-3.988734722137451	0.19352476	No	
row_42	HRC	7156	-4.000553131103516	0.1951575	No	
row_43	NECTIN1	7496	-4.739919185638428	0.16872597	No	
row_44	RBBP9	7929	-5.89085054397583	0.13495329	No	
row_45	NFE2	8000	-6.120936393737793	0.13259356	No	
row_46	CALY	8033	-6.228371620178223	0.13358147	No	
row_47	PKLR	8041	-6.258755207061768	0.13674752	No	
row_48	C5AR2	8196	-6.809277534484863	0.12754548	No	
row_49	CRISP2	8421	-7.539081573486328	0.11273561	No	
row_50	TAF13	8532	-8.133628845214844	0.10813275	No	
row_51	ATP6V0A4	8861	-9.65242862701416	0.08561126	No	
row_52	NRXN3	9116	-11.400267601013184	0.0705359	No	
row_53	SERPIND1	9309	-12.67512035369873	0.061584994	No	
row_54	IL2RG	9392	-13.369616508483887	0.06255575	No	
row_55	PSCA	9914	-19.645910263061523	0.02938131	No	
row_56	RFX2	10013	-21.095901489257812	0.033624746	No	
row_57	IL7R	10096	-22.467792510986328	0.040077012	No	
row_58	MBNL2	10540	-32.58788299560547	0.021438578	No	
row_59	MST1R	10601	-34.544532775878906	0.037067547	No	
row_60	DNAJC15	10636	-35.64002990722656	0.055602755	No	
row_61	TXNRD2	10958	-50.96196746826172	0.05857438	No	
