NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GLI1_UP.V1_DN	17		Rejected!	
GLI1_UP.V1_UP	24	18		
GCNP_SHH_UP_EARLY.V1_DN	167	93		
GCNP_SHH_UP_LATE.V1_DN	178	104		
RAPA_EARLY_UP.V1_DN	185	94		
RAPA_EARLY_UP.V1_UP	167	74		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	119		
CYCLIN_D1_UP.V1_UP	187	110		
CSR_EARLY_UP.V1_DN	126	80		
VEGF_A_UP.V1_UP	195	120		
BCAT_GDS748_DN	45	29		
BCAT_GDS748_UP	48	33		
BCAT.100_UP.V1_DN	41	19		
BCAT.100_UP.V1_UP	49	27		
ATF2_S_UP.V1_UP	192	100		
ATF2_UP.V1_UP	190	90		
WNT_UP.V1_UP	178	89		
ATM_DN.V1_DN	146	50		
ATM_DN.V1_UP	146	68		
P53_DN.V2_DN	145	75		
RELA_DN.V1_DN	139	62		
BCAT_BILD_ET_AL_DN	46	30		
BCAT_BILD_ET_AL_UP	45	31		
E2F3_UP.V1_UP	190	109		
CAMP_UP.V1_DN	199	141		
CAMP_UP.V1_UP	200	140		
PRC1_BMI_UP.V1_UP	185	82		
PRC2_EED_DN.V1_UP	191	106		
PRC2_EZH2_UP.V1_UP	192	135		
PRC2_SUZ12_UP.V1_UP	185	96		
JNK_DN.V1_DN	190	97		
JNK_DN.V1_UP	186	99		
BRCA1_DN.V1_UP	133	48		
CTIP_DN.V1_UP	135	50		
PKCA_DN.V1_DN	154	83		
MTOR_UP.N4.V1_DN	184	117		
PTEN_DN.V2_UP	139	74		
DCA_UP.V1_UP	185	77		
ESC_J1_UP_EARLY.V1_UP	178	113		
ESC_J1_UP_LATE.V1_UP	185	117		
ESC_V6.5_UP_EARLY.V1_UP	164	101		
ESC_V6.5_UP_LATE.V1_UP	182	118		
PTEN_DN.V1_DN	184	77		
NOTCH_DN.V1_DN	183	82		
EIF4E_DN	100	58		
EIF4E_UP	100	62		
CRX_DN.V1_DN	132	74		
CRX_DN.V1_UP	135	70		
CRX_NRL_DN.V1_DN	126	73		
CRX_NRL_DN.V1_UP	140	85		
NRL_DN.V1_DN	132	73		
NRL_DN.V1_UP	136	84		
RB_DN.V1_DN	123	87		
RB_P107_DN.V1_DN	126	86		
RB_P130_DN.V1_DN	135	84		
CAHOY_ASTROCYTIC	100	59		
CAHOY_NEURONAL	100	37		
CAHOY_OLIGODENDROCUTIC	100	63		
IL15_UP.V1_DN	185	88		
IL2_UP.V1_DN	193	102		
IL21_UP.V1_DN	186	86		
