NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SIRNA_EIF4GI_UP	SIRNA_EIF4GI_UP	Details ...	62	-0.57341427	-1.6498319	0.0	0.11442717	0.162	1195	tags=19%, list=10%, signal=21%	
RB_P107_DN.V1_DN	RB_P107_DN.V1_DN	Details ...	86	-0.50501865	-1.5113568	0.004464286	0.2931983	0.601	1070	tags=20%, list=9%, signal=22%	
PRC2_SUZ12_UP.V1_DN	PRC2_SUZ12_UP.V1_DN	Details ...	82	-0.48772714	-1.4912397	0.008639309	0.24280976	0.679	979	tags=13%, list=8%, signal=15%	
MTOR_UP.V1_UP	MTOR_UP.V1_UP	Details ...	93	-0.47386006	-1.4684612	0.015555556	0.22877969	0.76	1424	tags=29%, list=12%, signal=33%	
RB_DN.V1_DN	RB_DN.V1_DN	Details ...	87	-0.48426664	-1.4669794	0.010845987	0.18534549	0.765	771	tags=18%, list=7%, signal=20%	
LEF1_UP.V1_DN	LEF1_UP.V1_DN	Details ...	114	-0.45356742	-1.4327604	0.013245033	0.21350098	0.856	1325	tags=23%, list=11%, signal=25%	
KRAS.KIDNEY_UP.V1_DN	KRAS.KIDNEY_UP.V1_DN	Details ...	51	-0.5119719	-1.4252428	0.045833334	0.19573596	0.874	1428	tags=27%, list=12%, signal=31%	
PRC1_BMI_UP.V1_DN	PRC1_BMI_UP.V1_DN	Details ...	79	-0.4667771	-1.4105661	0.033632286	0.19420595	0.901	1176	tags=20%, list=10%, signal=22%	
ATF2_S_UP.V1_UP	ATF2_S_UP.V1_UP	Details ...	100	-0.4487553	-1.3944422	0.027659575	0.19780071	0.932	994	tags=17%, list=9%, signal=18%	
STK33_SKM_DN	STK33_SKM_DN	Details ...	165	-0.4224243	-1.3943499	0.011655011	0.17809169	0.932	1026	tags=18%, list=9%, signal=19%	
