NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
AKT_UP.V1_DN	AKT_UP.V1_DN	Details ...	130	0.58232886	1.8332338	0.0	0.017982097	0.014	1560	tags=31%, list=13%, signal=35%	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP	Details ...	85	0.6213014	1.8322865	0.0	0.008991049	0.014	1066	tags=35%, list=9%, signal=39%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP	Details ...	143	0.5722148	1.8194321	0.0	0.007667143	0.018	1004	tags=32%, list=9%, signal=35%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN	Details ...	83	0.61117923	1.7887031	0.0	0.008282217	0.026	1527	tags=49%, list=13%, signal=56%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP	Details ...	130	0.5628558	1.7659104	0.0	0.008926913	0.035	1230	tags=30%, list=11%, signal=33%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	Details ...	100	0.58886546	1.7439208	0.0	0.01154609	0.054	1191	tags=32%, list=10%, signal=35%	
CRX_DN.V1_DN	CRX_DN.V1_DN	Details ...	74	0.59484464	1.696269	0.001908397	0.020060582	0.105	1677	tags=42%, list=14%, signal=49%	
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP	Details ...	79	0.5751742	1.6844889	0.0017953322	0.02155942	0.126	1066	tags=34%, list=9%, signal=37%	
CTIP_DN.V1_UP	CTIP_DN.V1_UP	Details ...	50	0.6221129	1.6701409	0.0038095238	0.023008162	0.15	763	tags=18%, list=7%, signal=19%	
KRAS.DF.V1_UP	KRAS.DF.V1_UP	Details ...	130	0.5352538	1.6697178	0.0017699115	0.020707346	0.15	1089	tags=26%, list=9%, signal=29%	
LEF1_UP.V1_UP	LEF1_UP.V1_UP	Details ...	129	0.53853285	1.6663809	0.0	0.019773953	0.155	915	tags=29%, list=8%, signal=31%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	Details ...	114	0.5365588	1.6294116	0.0	0.027217697	0.222	1485	tags=27%, list=13%, signal=31%	
KRAS.LUNG_UP.V1_DN	KRAS.LUNG_UP.V1_DN	Details ...	54	0.5961869	1.626908	0.0072202166	0.025900481	0.229	1742	tags=37%, list=15%, signal=43%	
TGFB_UP.V1_UP	TGFB_UP.V1_UP	Details ...	121	0.5280682	1.6114966	0.0	0.02861157	0.266	1293	tags=35%, list=11%, signal=39%	
JNK_DN.V1_DN	JNK_DN.V1_DN	Details ...	97	0.51933813	1.5622946	0.0017636684	0.04947603	0.445	953	tags=25%, list=8%, signal=27%	
PTEN_DN.V2_DN	PTEN_DN.V2_DN	Details ...	74	0.54105914	1.5592612	0.0074766357	0.04782395	0.456	848	tags=23%, list=7%, signal=25%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP	Details ...	70	0.53587055	1.5442463	0.0074487897	0.053464193	0.517	2078	tags=43%, list=18%, signal=52%	
RB_P107_DN.V1_UP	RB_P107_DN.V1_UP	Details ...	67	0.5430057	1.5413606	0.013035382	0.052862234	0.526	974	tags=22%, list=8%, signal=24%	
BRCA1_DN.V1_UP	BRCA1_DN.V1_UP	Details ...	48	0.58430237	1.538377	0.015503876	0.05135573	0.533	2651	tags=44%, list=23%, signal=56%	
RELA_DN.V1_DN	RELA_DN.V1_DN	Details ...	62	0.5401795	1.5245397	0.013207547	0.05849034	0.6	1874	tags=29%, list=16%, signal=34%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		93	0.5084275	1.5092701	0.0054054055	0.066269234	0.668	893	tags=26%, list=8%, signal=28%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN		110	0.4951991	1.506351	0.0073126145	0.064887114	0.678	1624	tags=28%, list=14%, signal=32%	
ESC_V6.5_UP_EARLY.V1_UP	ESC_V6.5_UP_EARLY.V1_UP		101	0.4930052	1.4991435	0.0074626864	0.068771355	0.714	1098	tags=24%, list=9%, signal=26%	
IL2_UP.V1_DN	IL2_UP.V1_DN		102	0.49294186	1.4975547	0.012027492	0.06660541	0.718	1159	tags=25%, list=10%, signal=27%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		59	0.5418787	1.487224	0.017825311	0.07097264	0.752	1385	tags=31%, list=12%, signal=34%	
IL15_UP.V1_DN	IL15_UP.V1_DN		88	0.50258285	1.486697	0.012750455	0.06853483	0.752	1689	tags=28%, list=15%, signal=33%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		135	0.47219735	1.4828684	0.001858736	0.068628766	0.762	1150	tags=28%, list=10%, signal=31%	
EGFR_UP.V1_DN	EGFR_UP.V1_DN		139	0.46169066	1.4698082	0.014285714	0.07470032	0.796	1466	tags=26%, list=13%, signal=29%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN		117	0.47386125	1.4680662	0.012323944	0.07351833	0.804	1866	tags=28%, list=16%, signal=33%	
MYC_UP.V1_DN	MYC_UP.V1_DN		110	0.478867	1.4677899	0.015267176	0.071148716	0.805	1526	tags=28%, list=13%, signal=32%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN		60	0.51714474	1.4469717	0.03512015	0.08549026	0.872	866	tags=20%, list=7%, signal=21%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP		120	0.47304866	1.4432131	0.024221454	0.08580201	0.879	1129	tags=23%, list=10%, signal=25%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		82	0.48522606	1.4243459	0.034050178	0.10093727	0.918	821	tags=20%, list=7%, signal=21%	
KRAS.50_UP.V1_UP	KRAS.50_UP.V1_UP		30	0.58655626	1.4232482	0.06500956	0.0988245	0.919	1185	tags=47%, list=10%, signal=52%	
KRAS.600.LUNG.BREAST_UP.V1_DN	KRAS.600.LUNG.BREAST_UP.V1_DN		117	0.45315078	1.4094456	0.015652174	0.1097664	0.947	1248	tags=28%, list=11%, signal=31%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN		77	0.4954951	1.4087112	0.026501767	0.107631095	0.947	2476	tags=47%, list=21%, signal=59%	
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP		69	0.48655632	1.3843715	0.051136363	0.13172917	0.977	1526	tags=33%, list=13%, signal=38%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN		124	0.44845563	1.3795692	0.017730497	0.13369656	0.98	1775	tags=29%, list=15%, signal=34%	
CSR_LATE_UP.V1_DN	CSR_LATE_UP.V1_DN		121	0.44287556	1.3773042	0.020072993	0.13296583	0.982	1156	tags=24%, list=10%, signal=26%	
KRAS.LUNG.BREAST_UP.V1_DN	KRAS.LUNG.BREAST_UP.V1_DN		64	0.4801416	1.3726147	0.04761905	0.13568899	0.983	1248	tags=31%, list=11%, signal=35%	
PTEN_DN.V1_UP	PTEN_DN.V1_UP		95	0.4603612	1.3692055	0.04779412	0.13590533	0.985	1946	tags=41%, list=17%, signal=49%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP		133	0.43901238	1.3652707	0.023339318	0.13674559	0.989	1016	tags=23%, list=9%, signal=24%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN		130	0.43900242	1.3633701	0.034862384	0.13610496	0.991	1025	tags=24%, list=9%, signal=26%	
BCAT.100_UP.V1_UP	BCAT.100_UP.V1_UP		27	0.55854446	1.3595641	0.098265894	0.13783891	0.995	909	tags=33%, list=8%, signal=36%	
P53_DN.V1_DN	P53_DN.V1_DN		128	0.43171063	1.3421929	0.034602076	0.15640976	0.998	1055	tags=20%, list=9%, signal=22%	
ESC_J1_UP_EARLY.V1_UP	ESC_J1_UP_EARLY.V1_UP		113	0.43531758	1.3347138	0.050167225	0.16295022	0.998	1090	tags=25%, list=9%, signal=27%	
VEGF_A_UP.V1_DN	VEGF_A_UP.V1_DN		118	0.42837596	1.3328382	0.05429072	0.16206689	0.998	899	tags=14%, list=8%, signal=15%	
WNT_UP.V1_UP	WNT_UP.V1_UP		89	0.449116	1.3304964	0.062836625	0.1617712	0.998	1977	tags=40%, list=17%, signal=48%	
WNT_UP.V1_DN	WNT_UP.V1_DN		92	0.44396973	1.30344	0.054054055	0.19569704	1.0	1619	tags=34%, list=14%, signal=39%	
STK33_NOMO_UP	STK33_NOMO_UP		186	0.4000001	1.3012693	0.03125	0.19489607	1.0	1486	tags=28%, list=13%, signal=32%	
CSR_EARLY_UP.V1_DN	CSR_EARLY_UP.V1_DN		80	0.44177777	1.2996002	0.07801419	0.19334899	1.0	2283	tags=36%, list=20%, signal=45%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP		107	0.425308	1.272626	0.099303134	0.23203714	1.0	1534	tags=37%, list=13%, signal=43%	
CAHOY_NEURONAL	CAHOY_NEURONAL		37	0.4865111	1.2637895	0.16604477	0.24174109	1.0	2100	tags=41%, list=18%, signal=49%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		93	0.41723344	1.2621492	0.08719852	0.24018836	1.0	772	tags=13%, list=7%, signal=14%	
STK33_UP	STK33_UP		185	0.3869212	1.2598807	0.053819444	0.23971917	1.0	1126	tags=20%, list=10%, signal=22%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP		60	0.44847426	1.2581172	0.139823	0.23957728	1.0	903	tags=20%, list=8%, signal=22%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		128	0.40059686	1.2454293	0.0910624	0.25727215	1.0	1569	tags=31%, list=13%, signal=36%	
TGFB_UP.V1_DN	TGFB_UP.V1_DN		118	0.39920732	1.2380937	0.11275416	0.2654818	1.0	1526	tags=25%, list=13%, signal=29%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN		141	0.39503485	1.2369564	0.089605734	0.26335156	1.0	1465	tags=24%, list=13%, signal=27%	
MEK_UP.V1_UP	MEK_UP.V1_UP		144	0.38427132	1.2341578	0.09566787	0.26405627	1.0	727	tags=18%, list=6%, signal=19%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN		131	0.39126495	1.2315228	0.092334494	0.26519725	1.0	1515	tags=30%, list=13%, signal=34%	
