NAME	TITLE	SCORE	
PLIN2		307.27838	
KIF26B		306.70984	
TBX3		291.97983	
DCBLD2		290.3103	
DNM1		285.32315	
GNG2		281.58453	
SVEP1		277.03934	
F2RL1		275.8072	
CHRNA1		275.46338	
PODN		272.66492	
DUSP6		267.75894	
MARCKSL1		263.2252	
HIC1		262.65073	
PLPP3		260.21387	
UNC5B		259.96973	
CAPN5		257.03983	
SFRP1		252.03848	
RNF24		251.65494	
CTDSP2		246.69962	
MAP3K14		246.04915	
TSHZ3		245.8269	
SPRED1		245.56023	
NREP		245.20493	
LAMA2		244.59074	
APLP2		243.61545	
SPSB1		238.7942	
NR2F1		238.3728	
LTBP1		237.42947	
TLE3		236.06146	
ARHGAP25		236.03685	
GPR153		233.54977	
PHC2		229.63753	
MEGF10		227.53874	
OLFML2B		226.63934	
ZNF608		226.42221	
SNAI2		225.45607	
TRIO		225.19	
DACT3		223.76036	
MAST4		222.7778	
MMP14		221.7242	
RFX8		220.22798	
ABHD2		218.76695	
TGFBR2		215.81967	
NRP2		214.48184	
ZNF385D		214.04066	
CYBA		213.90962	
ITGA1		213.83034	
HOXB8		212.98042	
AZIN2		211.23303	
TSKU		209.01982	
KCNAB1		207.82521	
LAMA4		207.0805	
ADAMTS2		205.43668	
NID1		203.74942	
SPRY4		202.12004	
DNM3OS		201.02235	
SLC18B1		200.78671	
FNDC4		200.50908	
TRHDE-AS1		200.01122	
SPHK1		199.33112	
SIPA1		197.73718	
TGM2		196.43736	
NPAS2		196.42038	
ADGRL2		194.75177	
TGFB3		193.92038	
ZCCHC24		193.06642	
BVES		190.82092	
ZMIZ1		190.77222	
ASIC1		190.37474	
MN1		190.23091	
MXRA8		189.85658	
SH3KBP1		189.16437	
PDE7B		189.15485	
MAP4K4		188.3412	
TMEM204		188.28491	
NOTCH1		187.35199	
SH3PXD2B		186.67014	
FN1		186.43068	
NBL1		185.50636	
COL27A1		183.59279	
CXADR		182.3447	
SSC5D		182.20598	
RGS2		181.09473	
ARHGAP21		180.94356	
PXK		180.40558	
TNFAIP8L1		180.27493	
IGSF3		180.14284	
MFAP4		179.30882	
TNFRSF19		178.19806	
AMOTL1		177.90543	
SLC7A8		177.76695	
UACA		175.13197	
RHOJ		173.57	
TNFAIP8L3		173.33958	
EMILIN1		172.85123	
CACNB3		172.42209	
PHLDA1		171.7756	
ADA		171.49622	
ARAP3		171.38121	
EGR2		171.30377	
ALPL		170.77522	
NR2F2		170.66452	
MTUS1		168.72115	
CORO2B		167.88922	
TBC1D16		167.5845	
FUT8		167.33127	
POSTN		167.25858	
STARD8		166.43387	
SLITRK1		165.77582	
NAB2		165.66496	
SOX4		165.29193	
NFIX		165.0881	
TRIB2		164.92325	
ITGB1		164.74171	
CCL2		164.61794	
TMTC2		163.96812	
MICALL2		163.84167	
GAS1		162.51303	
MEOX2		162.10664	
L3MBTL3		161.09132	
COL7A1		161.07327	
ARHGAP19		160.76733	
CSGALNACT1		160.72926	
CDYL2		160.6503	
TENM4		159.68669	
ITPKB		158.8356	
IFI16		158.52953	
ROBO1		158.32494	
CRACD		157.72946	
MRC2		157.46906	
GPR68		156.0525	
PRKD1		155.76976	
CDH2		155.63702	
SOCS5		155.48373	
PIEZO2		154.8368	
NRP1		154.82233	
SLC6A9		154.6996	
POU2F2		154.67119	
FNBP1L		154.25488	
BMF		154.1631	
COL1A2		153.36095	
TMSB4X		153.23248	
FBLIM1		153.04028	
KLF13		152.92169	
MEIS2		150.35373	
PGF		150.26228	
KITLG		150.01239	
TFPI2		149.65651	
COL15A1		148.38261	
PLAAT4		148.21661	
PRDM1		144.34428	
SPON2		144.2777	
VASH1		144.19853	
RGS16		144.03494	
GATA3		143.7745	
RUNX1		143.61708	
LOC105372401		143.52324	
NRIP1		142.85976	
PAQR8		142.84077	
LINC01929		142.32385	
CDK17		141.4419	
TSPAN5		141.42851	
SERINC5		141.18718	
RCN3		141.13242	
STK26		140.97787	
FOXG1		140.84639	
XAF1		140.7253	
CBLB		140.16492	
ETHE1		139.99973	
DIRAS3		139.2054	
RALA		138.44604	
TSC22D1		138.44005	
PLAG1		137.68825	
GDF5		137.34085	
GNG11		136.96669	
IRX3		136.91592	
TJP1		134.44595	
RESF1		134.33774	
RFLNB		134.1476	
SIPA1L1		133.2577	
CMKLR1		133.09563	
SPRY1		133.0274	
EVL		132.95474	
ANKRD50		132.94994	
PGM2L1		132.7683	
PLA2R1		132.46869	
PRICKLE1		132.40932	
NIBAN1		132.28345	
CHN1		131.9229	
SSBP4		131.53944	
EHD3		131.52856	
MAF		131.31805	
RASSF8		131.20062	
CLTC		129.18024	
IRX2		129.15019	
SMAD1		129.11153	
SH3PXD2A		128.95271	
SH2B3		128.78133	
BGN		128.68878	
HTRA1		128.49763	
COL3A1		128.46754	
DHRS3		127.95082	
SPRED2		127.90669	
SESN3		127.54942	
FMNL3		127.36608	
PPP3CA		127.188675	
DDIT4L		126.77596	
TMEM35A		126.540306	
PLXDC1		125.646484	
LRIG1		125.398026	
GLIPR2		125.34803	
C12orf57		124.161224	
CXCL12		123.38004	
DOCK4		123.29907	
GNB3		123.27683	
MAN1A1		122.97595	
ELK3		122.924706	
TRAF5		122.347206	
TNC		121.99241	
L1CAM		121.680176	
STX1A		121.47025	
TFEB		121.03782	
KCNK2		121.00761	
FAP		120.22591	
SEMA7A		120.11395	
NR3C1		120.058014	
MSR1		119.85137	
APOD		119.32889	
ADAMTSL1		119.10528	
RPAP1		118.27037	
RAB3IL1		118.1953	
BMP2		117.975464	
SOGA3		117.73531	
CD44		117.523445	
RASA3		117.457306	
HCFC1R1		116.416374	
ANK3		116.08194	
ARHGEF6		116.05862	
PSD3		115.9184	
CEP170		115.81264	
EPHB3		115.77244	
CTHRC1		115.38286	
EHD4		115.10889	
TNFSF10		114.97943	
CPE		114.97723	
BLOC1S6		114.21409	
FRMD6		113.83431	
SLIT2		113.75481	
ADAMTS10		113.21203	
OSBPL5		112.95618	
PCDHA6		112.1111	
GPR161		111.700356	
PCDH10		111.577156	
PITPNC1		111.490685	
ROR2		111.458046	
STC1		111.36713	
SMAD7		110.51311	
BICC1		110.43137	
ADD3		110.188194	
MBOAT1		109.88992	
EMC4		109.876305	
GLI3		109.8666	
SOBP		109.69395	
CMBL		108.971405	
BMERB1		108.69466	
AK5		108.62027	
ITGA2		107.80012	
SVIL		107.6389	
COL6A3		107.1939	
TGFBI		107.00387	
TP53I11		106.43052	
RAB13		106.37138	
VAMP5		106.29751	
PXYLP1		106.16041	
GAS7		105.76685	
TNS2		105.729195	
CASK		105.405556	
NUMBL		105.37315	
ZNF92		105.10881	
CLEC2B		105.10286	
FIBIN		104.65407	
HERC2		104.63701	
MMS19		104.55763	
LOC728743		104.364365	
BCL3		104.28094	
GALNT12		104.216736	
OSBPL6		103.35147	
F2R		102.747345	
SAMD11		102.60699	
LEF1		102.12578	
SHROOM4		101.47291	
SPG11		101.43019	
INO80		100.16834	
PECAM1		100.11454	
IL27RA		99.922554	
HIP1		99.44081	
TMOD1		99.32452	
NOTCH2		99.17171	
FAM171A2		98.50308	
CHSY3		98.05566	
PLCB1		97.496376	
ETV6		97.00609	
RIN2		96.99499	
SRPX2		96.9194	
PLEKHG2		96.90283	
PCSK5		96.87277	
TCF12		96.715614	
AKR1C3		96.62361	
SLC22A17		96.39734	
NCAM2		96.394226	
CROCC		96.3431	
WIPF1		96.29463	
EML4		96.039825	
NDRG4		96.000336	
ZNF469		95.92567	
TGFB1		95.87861	
P3H3		95.74775	
CCDC74A		95.63082	
EBF2		95.519615	
METTL7A		95.31384	
CLEC14A		95.096535	
TIMP1		95.079865	
SIGLEC15		95.02094	
HOXB9		94.75538	
CSRP2		94.18525	
CREB3L2		94.08832	
ARHGAP44		93.97695	
RPL9P8		93.94365	
PCDHGB7		93.53927	
