NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LMO3	68	7.334568500518799	0.021395491	No	
row_1	SEMA3E	103	6.687413215637207	0.04246726	No	
row_2	DOK5	126	6.2862324714660645	0.062831305	No	
row_3	TSPAN1	148	5.99695348739624	0.08225755	No	
row_4	SPINT2	156	5.934019088745117	0.102249645	No	
row_5	EFHD1	527	3.3807263374328613	0.093194224	No	
row_6	SLC4A4	581	3.177933931350708	0.10114974	No	
row_7	GPX3	706	2.758570909500122	0.103698716	No	
row_8	H2BC21	729	2.709703207015991	0.11177752	No	
row_9	NMNAT2	747	2.657921314239502	0.11995776	No	
row_10	FOS	841	2.430670738220215	0.12311207	No	
row_11	EPHA4	1143	1.8754240274429321	0.112740315	No	
row_12	FCGRT	1166	1.8434847593307495	0.117843695	No	
row_13	ARSD	1212	1.7808051109313965	0.121447004	No	
row_14	ABCA4	1296	1.6674870252609253	0.1225384	No	
row_15	IFI6	1384	1.5408313274383545	0.122971304	No	
row_16	EHHADH	1575	1.3700066804885864	0.11706388	No	
row_17	SPINT1	1696	1.2844406366348267	0.11477272	No	
row_18	S100A4	2083	1.033652424812317	0.09676144	No	
row_19	NSF	2140	1.0068652629852295	0.09709184	No	
row_20	MAP7	2172	0.9924130439758301	0.09876909	No	
row_21	CFAP20	2173	0.992257833480835	0.102177456	No	
row_22	PDE5A	2353	0.9042674899101257	0.09528469	No	
row_23	PIGN	2457	0.8654969334602356	0.0925041	No	
row_24	NUDT9	2634	0.8055751919746399	0.08543991	No	
row_25	GNPTAB	3155	0.6599766612052917	0.05865987	No	
row_26	PDCD4	3313	0.6217763423919678	0.05202568	No	
row_27	NEAT1	3856	0.520447850227356	0.02353745	No	
row_28	RNF115	4437	0.42903563380241394	-0.0073874453	No	
row_29	SCNN1A	4795	0.3811787962913513	-0.026020017	No	
row_30	API5	5091	0.3462013006210327	-0.041309435	No	
row_31	LEPR	5408	0.31108298897743225	-0.05789254	No	
row_32	EVI5	5419	0.31030258536338806	-0.05738526	No	
row_33	ERCC4	5610	0.28830280900001526	-0.06700829	No	
row_34	MTA2	6088	0.2422751486301422	-0.09282115	No	
row_35	PRDX2	6436	0.20810309052467346	-0.11148963	No	
