NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GBX2	111	6.554420471191406	0.03208255	Yes	
row_1	ANXA3	322	4.4873199462890625	0.046544734	Yes	
row_2	LIMS2	374	4.182921886444092	0.068129934	Yes	
row_3	TMC6	402	4.055067539215088	0.09031172	Yes	
row_4	CNN1	457	3.6582484245300293	0.10866334	Yes	
row_5	EDN1	464	3.6031930446624756	0.12938055	Yes	
row_6	BMP4	469	3.5708065032958984	0.1500205	Yes	
row_7	TGM1	538	3.3153493404388428	0.1655848	Yes	
row_8	H2BC4	584	3.1748344898223877	0.18161575	Yes	
row_9	SFN	607	3.1004085540771484	0.19849949	Yes	
row_10	ADAP2	688	2.8085756301879883	0.21043094	Yes	
row_11	ATF5	958	2.223557710647583	0.20836307	Yes	
row_12	MVK	1055	2.0412182807922363	0.21491519	Yes	
row_13	KLF4	1085	1.9859955310821533	0.22489561	Yes	
row_14	ZFP36	1153	1.8574284315109253	0.23199742	Yes	
row_15	RAB33A	1269	1.6885383129119873	0.23542513	Yes	
row_16	CCN1	1311	1.6505002975463867	0.24277347	Yes	
row_17	TAGLN	1362	1.5677553415298462	0.24913448	Yes	
row_18	FGF18	1403	1.5151933431625366	0.2557482	Yes	
row_19	SOCS3	1405	1.509048342704773	0.26450947	Yes	
row_20	ARHGEF10L	1503	1.4260846376419067	0.2674114	Yes	
row_21	SERPINE1	1644	1.3165490627288818	0.26726604	No	
row_22	TLE4	1939	1.1080174446105957	0.25728053	No	
row_23	RPP25	2090	1.0295909643173218	0.25489864	No	
row_24	RIOK2	2275	0.9407439231872559	0.25009412	No	
row_25	TSPYL4	2281	0.9380360245704651	0.25529504	No	
row_26	DNAJC30	2339	0.9123899936676025	0.2574349	No	
row_27	MRAS	2470	0.8622439503669739	0.2551949	No	
row_28	PHB	2528	0.8441687226295471	0.25693616	No	
row_29	MYL9	2622	0.8105764985084534	0.2564657	No	
row_30	VAX2	2645	0.8026567101478577	0.2599239	No	
row_31	ANXA1	2932	0.7194006443023682	0.24811564	No	
row_32	TNFRSF12A	2985	0.7038652896881104	0.24931705	No	
row_33	SPCS3	3022	0.6958540081977844	0.25136742	No	
row_34	HASPIN	3038	0.6899121403694153	0.25455874	No	
row_35	VWA5A	3151	0.6603437662124634	0.25214675	No	
row_36	LAMA1	3191	0.6514410376548767	0.25376967	No	
row_37	RPS6KB2	3296	0.6257189512252808	0.25160328	No	
row_38	PPCS	3376	0.6114524006843567	0.25075313	No	
row_39	MYC	3437	0.5995997786521912	0.25089744	No	
row_40	BMP1	3505	0.5881302952766418	0.25058284	No	
row_41	HYAL2	3547	0.5790450572967529	0.25167078	No	
row_42	RRP12	3956	0.5049160718917847	0.23177917	No	
row_43	BAG5	4061	0.48770371079444885	0.22880636	No	
row_44	REEP6	4459	0.4259565770626068	0.20906924	No	
row_45	PAFAH2	4510	0.4183838963508606	0.20871457	No	
row_46	C11orf24	4574	0.40972205996513367	0.2075815	No	
row_47	ENTPD4	4661	0.3961074948310852	0.20508122	No	
row_48	RAMP1	4669	0.39563268423080444	0.20700099	No	
row_49	UBE2J1	4681	0.39452797174453735	0.20869033	No	
row_50	GPATCH4	4824	0.3780982792377472	0.20294969	No	
row_51	LAMC2	4885	0.3695751130580902	0.20175	No	
row_52	DIMT1	5179	0.3356007933616638	0.18730734	No	
row_53	LLPH	5294	0.32155370712280273	0.18280388	No	
row_54	FKBPL	5331	0.31823989748954773	0.18264788	No	
row_55	CENPB	5412	0.3106915354728699	0.17998444	No	
row_56	ZNF35	6110	0.2400217354297638	0.14236549	No	
row_57	BMS1	6249	0.22577126324176788	0.13595875	No	
row_58	FBXO33	6269	0.2243005782365799	0.1362056	No	
row_59	SAP30BP	6422	0.20926779508590698	0.12891865	No	
row_60	MRPS11	6434	0.2084166258573532	0.12952057	No	
row_61	SLC66A1	6635	0.18925103545188904	0.119429395	No	
row_62	SLC30A1	6889	0.1666126400232315	0.106238745	No	
row_63	UHRF1BP1L	7013	0.1542193740606308	0.10025371	No	
row_64	TRAIP	7273	0.13083761930465698	0.086518124	No	
row_65	NIFK	7361	0.12266040593385696	0.08236414	No	
row_66	KTI12	7574	0.10215048491954803	0.071092226	No	
row_67	BRWD1	7645	0.09619874507188797	0.067735374	No	
row_68	C19orf48	7651	0.09564144164323807	0.06801427	No	
row_69	CCDC59	7702	0.08986890316009521	0.06574013	No	
row_70	USP38	7753	0.08465071767568588	0.063435495	No	
row_71	DCLRE1B	7806	0.07880259305238724	0.060984727	No	
row_72	STK4	8081	0.052825238555669785	0.04595355	No	
row_73	CIRBP	8102	0.05012412369251251	0.045126725	No	
row_74	ATP9B	8233	0.037794411182403564	0.038069535	No	
row_75	LTB	8258	0.03524564579129219	0.03693184	No	
