NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSG2	37	8.29229736328125	0.036956906	No	
row_1	ATRNL1	326	4.461677551269531	0.041882772	No	
row_2	GJB3	494	3.49129319190979	0.048993737	No	
row_3	CLCNKB	500	3.4713134765625	0.06504986	No	
row_4	TGM1	538	3.3153493404388428	0.078586526	No	
row_5	OR51E2	612	3.063664436340332	0.08893014	No	
row_6	INA	636	2.9703757762908936	0.101624615	No	
row_7	WNT3	951	2.2334160804748535	0.09461413	No	
row_8	LBX1	1040	2.0729219913482666	0.0994586	No	
row_9	EPPK1	1053	2.0522046089172363	0.10844617	No	
row_10	COL4A6	1630	1.3238739967346191	0.08253671	No	
row_11	SPN	1670	1.29787015914917	0.086468056	No	
row_12	H1-3	1684	1.2904562950134277	0.09181525	No	
row_13	ATP8B3	1904	1.1312135457992554	0.08491883	No	
row_14	PTPRO	2388	0.8890576958656311	0.062152386	No	
row_15	CACNB4	2836	0.745552122592926	0.04071935	No	
row_16	EPHA3	3181	0.6538339853286743	0.024601838	No	
row_17	LAMA1	3191	0.6514410376548767	0.027165174	No	
row_18	CBX8	3214	0.6466569304466248	0.028980633	No	
row_19	RANGAP1	3410	0.6048803329467773	0.02094656	No	
row_20	SEMA5A	3916	0.5103389024734497	-0.0048295744	No	
row_21	PXDC1	4227	0.46215060353279114	-0.01995199	No	
row_22	IL24	4561	0.41205182671546936	-0.036593497	No	
row_23	CYP1B1	4798	0.38061922788619995	-0.047970574	No	
row_24	ANXA2P1	4848	0.37442994117736816	-0.048942674	No	
row_25	TSPYL5	4973	0.35929200053215027	-0.054170806	No	
row_26	SUV39H2	5486	0.30258840322494507	-0.081315145	No	
row_27	NEK11	5965	0.25275370478630066	-0.10679688	No	
row_28	IMPG2	6918	0.16384004056453705	-0.15914497	No	
row_29	CSPG4	7746	0.08537185937166214	-0.20488763	No	
row_30	NAV2	8363	0.024987321346998215	-0.23914121	No	
