NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LMO3	68	7.334568500518799	0.022371424	No	
row_1	CGA	258	5.01416540145874	0.029714355	No	
row_2	CEACAM1	273	4.865525722503662	0.046290476	No	
row_3	DNAJA4	290	4.736797332763672	0.062295794	No	
row_4	GABRA3	363	4.278223991394043	0.073540896	No	
row_5	FABP3	380	4.152920722961426	0.087463304	No	
row_6	ATP1A2	391	4.128300189971924	0.101632625	No	
row_7	ITGB2	787	2.5483059883117676	0.088685915	No	
row_8	NAV3	879	2.3550753593444824	0.09201038	No	
row_9	DYNC1I1	1093	1.9702889919281006	0.08715565	No	
row_10	PDE2A	1118	1.9265663623809814	0.09268946	No	
row_11	DNM3	1323	1.6329724788665771	0.08713352	No	
row_12	GLRX	1344	1.5994603633880615	0.09172358	No	
row_13	CDK5R1	1693	1.2859408855438232	0.07689572	No	
row_14	GPR19	1786	1.21969473361969	0.07611405	No	
row_15	RCAN2	1908	1.1262325048446655	0.07338103	No	
row_16	ST3GAL6	2094	1.0279780626296997	0.06672687	No	
row_17	RRAGD	2255	0.949650764465332	0.061188057	No	
row_18	MMP11	3166	0.6579557657241821	0.01276532	No	
row_19	TAPT1	4438	0.4289426803588867	-0.056614988	No	
row_20	SYT1	5402	0.3117826581001282	-0.10922959	No	
row_21	NME5	5803	0.2681424021720886	-0.13058947	No	
row_22	KCNH2	9063	-0.03793962672352791	-0.31227738	No	
row_23	TFPI	9168	-0.04818727448582649	-0.31790775	No	
row_24	ITGBL1	9224	-0.05300043523311615	-0.3207872	No	
row_25	RDH5	9922	-0.12135088443756104	-0.3592407	No	
row_26	RREB1	10041	-0.13295795023441315	-0.36534974	No	
row_27	LRCH1	10204	-0.1496371328830719	-0.3738541	No	
row_28	SLCO5A1	11529	-0.3019585609436035	-0.44664434	No	
row_29	EVI2A	12268	-0.3983754813671112	-0.48639703	No	
row_30	IL13RA2	12492	-0.43211889266967773	-0.4972969	No	
