NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRYAB	4	11.218094825744629	0.030228557	No	
row_1	LMO3	68	7.334568500518799	0.046622783	No	
row_2	ATP1A2	391	4.128300189971924	0.039860398	No	
row_3	NSG1	458	3.653764247894287	0.046095584	No	
row_4	NMNAT2	747	2.657921314239502	0.037239145	No	
row_5	TUBB4A	790	2.535604476928711	0.04177835	No	
row_6	LIMCH1	805	2.509799003601074	0.047810007	No	
row_7	GAD1	1059	2.0303940773010254	0.039203253	No	
row_8	DYNC1I1	1093	1.9702889919281006	0.04271013	No	
row_9	DNM3	1323	1.6329724788665771	0.03436385	No	
row_10	GRIK2	1517	1.4089051485061646	0.027418265	No	
row_11	EPB41L3	1591	1.3582491874694824	0.027031602	No	
row_12	CDK5R1	1693	1.2859408855438232	0.024886157	No	
row_13	GPR19	1786	1.21969473361969	0.023063118	No	
row_14	RCAN2	1908	1.1262325048446655	0.01936807	No	
row_15	GPNMB	1964	1.095191478729248	0.019271795	No	
row_16	ST3GAL6	2094	1.0279780626296997	0.014863604	No	
row_17	MAP7	2172	0.9924130439758301	0.013260656	No	
row_18	ANK2	2204	0.9731838703155518	0.014172475	No	
row_19	CPEB3	4946	0.3623405694961548	-0.13780153	No	
row_20	SYT1	5402	0.3117826581001282	-0.16234581	No	
row_21	NME5	5803	0.2681424021720886	-0.18393937	No	
row_22	NRN1	7588	0.10103552043437958	-0.28321868	No	
row_23	ITGBL1	9224	-0.05300043523311615	-0.37431365	No	
row_24	PLSCR4	10749	-0.2063886672258377	-0.45879805	No	
row_25	SATB1	11168	-0.2553189694881439	-0.48143086	No	
row_26	PNMA2	11819	-0.33732470870018005	-0.5167875	No	
row_27	DDX6	13169	-0.5456479787826538	-0.59058535	No	
row_28	TRIM2	13314	-0.5700832605361938	-0.59707355	No	
row_29	SCG5	13669	-0.6408049464225769	-0.6150886	No	
row_30	CAB39L	13918	-0.6970820426940918	-0.6270356	No	
row_31	MEF2C	14360	-0.8163469433784485	-0.64942896	No	
row_32	GATM	14560	-0.886294424533844	-0.658128	No	
row_33	GABRR2	14889	-1.0005311965942383	-0.67371565	No	
row_34	GPRC5B	14963	-1.036105990409851	-0.67497677	No	
row_35	GLDC	15101	-1.093994140625	-0.67965215	No	
row_36	RAPGEF4	15362	-1.2440301179885864	-0.69078416	No	
row_37	EMP1	15495	-1.3162254095077515	-0.6945773	No	
row_38	KIF5C	15655	-1.4168118238449097	-0.6996041	Yes	
row_39	NUDT11	15665	-1.424748420715332	-0.6962388	Yes	
row_40	MAFB	15727	-1.4751437902450562	-0.69563854	Yes	
row_41	SOBP	15768	-1.516083836555481	-0.6937552	Yes	
row_42	SORBS1	15773	-1.5192161798477173	-0.6898545	Yes	
row_43	SORL1	15787	-1.5359137058258057	-0.68641067	Yes	
row_44	CRYM	15818	-1.5606589317321777	-0.6838483	Yes	
row_45	RNLS	15824	-1.565016508102417	-0.67987907	Yes	
row_46	PCDH9	15901	-1.6487419605255127	-0.6796446	Yes	
row_47	ASPA	16052	-1.7905511856079102	-0.68315464	Yes	
row_48	AK5	16151	-1.892561435699463	-0.683486	Yes	
row_49	SCN1B	16357	-2.230684518814087	-0.6888705	Yes	
row_50	GRM5	16450	-2.387305974960327	-0.687524	Yes	
row_51	CFAP69	16455	-2.3906142711639404	-0.68125784	Yes	
row_52	ANK3	16567	-2.5775539875030518	-0.6804552	Yes	
row_53	WSCD1	16574	-2.5907225608825684	-0.6737575	Yes	
row_54	CHGB	16587	-2.615452289581299	-0.6673274	Yes	
row_55	NAP1L2	16738	-2.9280076026916504	-0.6677498	Yes	
row_56	MAGEH1	16747	-2.9402568340301514	-0.66021484	Yes	
row_57	DUSP6	16833	-3.120978832244873	-0.65648615	Yes	
row_58	SIGLEC15	16886	-3.315800905227661	-0.65038717	Yes	
row_59	METTL7A	16911	-3.3946151733398438	-0.64251167	Yes	
