NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT34	124	6.316051006317139	0.018489588	No	
row_1	TSPAN1	148	5.99695348739624	0.041328967	No	
row_2	MYH2	308	4.576921463012695	0.050870914	No	
row_3	GABRA3	363	4.278223991394043	0.06506781	No	
row_4	HBEGF	403	4.054684638977051	0.079202175	No	
row_5	MGLL	477	3.544893741607666	0.089389585	No	
row_6	SEMA3B	533	3.334228754043579	0.09973357	No	
row_7	NAV3	879	2.3550753593444824	0.089964084	No	
row_8	PDE2A	1118	1.9265663623809814	0.08443894	No	
row_9	HOXD11	1264	1.696979284286499	0.08317744	No	
row_10	OSGIN1	1308	1.6547229290008545	0.08743507	No	
row_11	GLRX	1344	1.5994603633880615	0.091916606	No	
row_12	NRL	1488	1.4353768825531006	0.08971438	No	
row_13	PTPRR	1890	1.1423978805541992	0.07194357	No	
row_14	LAT2	2054	1.0534931421279907	0.067089744	No	
row_15	ST3GAL6	2094	1.0279780626296997	0.06904945	No	
row_16	LIF	2703	0.7856369614601135	0.038298063	No	
row_17	TNFSF15	2834	0.7458666563034058	0.03404742	No	
row_18	PDCD1LG2	3347	0.6171543598175049	0.007972784	No	
row_19	BIRC3	4037	0.4912278950214386	-0.028480655	No	
row_20	GYPC	4435	0.4292040765285492	-0.048897117	No	
row_21	TNFAIP3	6003	0.24949024617671967	-0.13529387	No	
row_22	CSF2	6948	0.1603298932313919	-0.18730108	No	
row_23	AKT2	8221	0.038897063583135605	-0.25809112	No	
row_24	ETS1	8414	0.020553164184093475	-0.26871738	No	
row_25	CD37	9786	-0.10678792744874954	-0.34475613	No	
row_26	RREB1	10041	-0.13295795023441315	-0.3583883	No	
row_27	CD247	10534	-0.18382428586483002	-0.38509044	No	
row_28	ZNF639	10552	-0.1854923814535141	-0.3852925	No	
row_29	NDOR1	10965	-0.23061040043830872	-0.40734443	No	
row_30	SLCO5A1	11529	-0.3019585609436035	-0.43753147	No	
row_31	ATG10	11781	-0.3320801258087158	-0.45019537	No	
row_32	OSBP2	12095	-0.37400200963020325	-0.46614873	No	
row_33	IL13RA2	12492	-0.43211889266967773	-0.4864977	No	
row_34	TRAF1	12646	-0.4546882212162018	-0.49320242	No	
row_35	FAM174B	12835	-0.4840240776538849	-0.5017413	No	
row_36	TERT	12986	-0.5127959847450256	-0.5080449	No	
row_37	SCG5	13669	-0.6408049464225769	-0.54350626	No	
row_38	POLM	14772	-0.9586046934127808	-0.60111505	No	
row_39	SLCO4A1	14950	-1.0278159379959106	-0.606853	No	
row_40	KIF5A	15063	-1.0807079076766968	-0.60875285	No	
row_41	GULP1	15218	-1.1598981618881226	-0.6126767	No	
row_42	MMP1	15303	-1.2094429731369019	-0.612497	No	
row_43	KCNJ14	15374	-1.2491220235824585	-0.61137676	No	
row_44	KIF5C	15655	-1.4168118238449097	-0.6212949	No	
row_45	CXCL2	15807	-1.5519263744354248	-0.62347454	Yes	
row_46	ID2	15850	-1.5889583826065063	-0.61942565	Yes	
row_47	ESM1	15867	-1.6054699420928955	-0.6138602	Yes	
row_48	ADAM8	15914	-1.659271478652954	-0.6097516	Yes	
row_49	ISG20	15918	-1.6626359224319458	-0.60323113	Yes	
row_50	HSD17B2	15997	-1.7393265962600708	-0.60058534	Yes	
row_51	DOCK4	16183	-1.952802300453186	-0.60304886	Yes	
row_52	GPR4	16354	-2.226505756378174	-0.60357475	Yes	
row_53	ITPKA	16373	-2.250570774078369	-0.595526	Yes	
row_54	LDB3	16500	-2.4632058143615723	-0.5926457	Yes	
row_55	ANGPTL4	16530	-2.5154852867126465	-0.5841449	Yes	
row_56	INHBA	16551	-2.5425689220428467	-0.5750331	Yes	
row_57	SPRY2	16612	-2.6547763347625732	-0.56770104	Yes	
row_58	TBX3	16651	-2.7376599311828613	-0.5588085	Yes	
row_59	ITGA2	16737	-2.927441358566284	-0.5517741	Yes	
row_60	ADAMTS6	16754	-2.955120325088501	-0.54077977	Yes	
row_61	GFI1	16796	-3.045260429382324	-0.5308173	Yes	
