NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITIH3	101	6.72770357131958	0.023107918	No	
row_1	ANKRD34C	132	6.208123207092285	0.04795956	No	
row_2	KRT14	480	3.543839454650879	0.043729436	No	
row_3	CAMK1D	492	3.496976375579834	0.058057442	No	
row_4	NEB	508	3.442807197570801	0.07193068	No	
row_5	MATN3	702	2.7654027938842773	0.072971985	No	
row_6	B3GALT5	734	2.701573133468628	0.082784764	No	
row_7	ANKRD53	919	2.287951946258545	0.082288444	No	
row_8	HMGCS1	1112	1.937866449356079	0.07984962	No	
row_9	NR3C2	1481	1.4398472309112549	0.065457016	No	
row_10	ATP8B3	1904	1.1312135457992554	0.046730917	No	
row_11	CAND2	1923	1.1161353588104248	0.050495103	No	
row_12	MSX2	1999	1.0781646966934204	0.050914824	No	
row_13	ADGRE5	2108	1.0218584537506104	0.049251612	No	
row_14	ZRSR2P1	2246	0.952963650226593	0.045675	No	
row_15	CHST7	2376	0.8925855755805969	0.042287022	No	
row_16	HLA-DMA	3027	0.6945505738258362	0.008966224	No	
row_17	INPP4B	3074	0.6822035908699036	0.00931308	No	
row_18	C1QTNF1	3278	0.6306437849998474	6.7455374E-4	No	
row_19	MRPL41	3328	0.6203850507736206	5.897816E-4	No	
row_20	ARL17A	4236	0.46104896068573	-0.048076663	No	
row_21	EMP3	4385	0.4373386800289154	-0.054470588	No	
row_22	FOSL1	4896	0.36844149231910706	-0.08136882	No	
row_23	CAMK1	7236	0.13415274024009705	-0.21137846	No	
row_24	NOL10	7337	0.12481815367937088	-0.21642797	No	
row_25	NRN1	7588	0.10103552043437958	-0.22995338	No	
row_26	TLE6	8395	0.021971238777041435	-0.27485728	No	
row_27	ULBP1	8530	0.011891800910234451	-0.28228748	No	
row_28	LINC-PINT	8700	-0.004335951060056686	-0.29170397	No	
row_29	RBIS	9171	-0.0488060899078846	-0.3177348	No	
row_30	COQ8B	9178	-0.04927670955657959	-0.31785923	No	
row_31	ATG16L1	9190	-0.05040096491575241	-0.318258	No	
row_32	ZNF556	9431	-0.07256161421537399	-0.33134678	No	
row_33	PRKX	9826	-0.1110372319817543	-0.35286877	No	
row_34	SETD1A	10016	-0.13042986392974854	-0.36286303	No	
row_35	SELL	10316	-0.1617402583360672	-0.37886468	No	
row_36	ZNF132	10755	-0.2067340612411499	-0.4024342	No	
row_37	KLHL28	10797	-0.21129260957241058	-0.40382034	No	
row_38	FARP2	10806	-0.21220268309116364	-0.40336025	No	
row_39	FJX1	11312	-0.27687716484069824	-0.4303706	No	
