NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL4A5	335	4.399819850921631	0.006292011	Yes	
row_1	GALNT3	565	3.233168601989746	0.011883665	Yes	
row_2	CAVIN2	582	3.177313804626465	0.029163143	Yes	
row_3	H1-2	675	2.8611180782318115	0.040348917	Yes	
row_4	BDH1	728	2.7101120948791504	0.052925516	Yes	
row_5	EXPH5	813	2.4920706748962402	0.062450487	Yes	
row_6	FOS	841	2.430670738220215	0.07483737	Yes	
row_7	SLC22A5	928	2.2666640281677246	0.082959756	Yes	
row_8	SCARB1	942	2.2455708980560303	0.095076665	Yes	
row_9	PTGES	972	2.190340280532837	0.10597557	Yes	
row_10	HMGCS1	1112	1.937866449356079	0.10922872	Yes	
row_11	MAOA	1214	1.778192162513733	0.113710344	Yes	
row_12	SLC26A2	1327	1.6279749870300293	0.11671229	Yes	
row_13	BCL2L1	1330	1.6245070695877075	0.12589541	Yes	
row_14	PCBD1	1349	1.587106466293335	0.13396254	Yes	
row_15	P3H2	1502	1.4268124103546143	0.13355845	Yes	
row_16	MYO6	1513	1.4163243770599365	0.14109932	Yes	
row_17	H1-4	1533	1.400132417678833	0.14804016	Yes	
row_18	HOXA1	1557	1.381298303604126	0.15464775	Yes	
row_19	ELL2	1604	1.3500412702560425	0.15977989	Yes	
row_20	H1-3	1684	1.2904562950134277	0.16271077	Yes	
row_21	TTPAL	1729	1.2656669616699219	0.16747284	Yes	
row_22	DKK1	1825	1.1883704662322998	0.16891758	Yes	
row_23	CLEC16A	1899	1.1361474990844727	0.1713037	Yes	
row_24	KLF5	1991	1.0816031694412231	0.17236298	Yes	
row_25	ZWINT	2188	0.9822972416877747	0.16693486	Yes	
row_26	NEK7	2294	0.9323928952217102	0.1663511	Yes	
row_27	STOM	2448	0.8679341673851013	0.16269259	Yes	
row_28	TMOD3	2466	0.8639765977859497	0.16667816	Yes	
row_29	MFSD6	2599	0.8184648156166077	0.1639204	Yes	
row_30	KIF3A	2615	0.8135349750518799	0.16773008	Yes	
row_31	ALDH9A1	2744	0.7712212204933167	0.16492747	Yes	
row_32	FAM234B	2780	0.7613083124160767	0.16731082	Yes	
row_33	AFF4	2781	0.7611668705940247	0.17166643	Yes	
row_34	ADAM10	2813	0.7516170144081116	0.17421982	Yes	
row_35	ERAP1	2821	0.7486425042152405	0.17810914	Yes	
row_36	VRK1	3030	0.6937031745910645	0.17035313	Yes	
row_37	COL4A1	3066	0.6844872236251831	0.1722969	Yes	
row_38	PKP4	3077	0.6816735863685608	0.17563388	Yes	
row_39	COPS4	3117	0.6698316931724548	0.1772683	Yes	
row_40	TCOF1	3128	0.6659999489784241	0.18051559	Yes	
row_41	LETM1	3129	0.6659228205680847	0.18432619	Yes	
row_42	SCAF11	3247	0.6384380459785461	0.18138386	Yes	
row_43	ZNF395	3261	0.6352308988571167	0.18428597	Yes	
row_44	CDK6	3293	0.6263173818588257	0.18612237	Yes	
row_45	PPCS	3376	0.6114524006843567	0.18499868	Yes	
row_46	CCNE2	3418	0.6029411554336548	0.18613759	Yes	
row_47	ARMC1	3456	0.5954290628433228	0.18745899	Yes	
row_48	SLC35A5	3491	0.5906070470809937	0.18892191	Yes	
row_49	GALNT7	3515	0.5868524312973022	0.19098347	Yes	
row_50	PCYOX1	3530	0.5829858183860779	0.19353025	Yes	
row_51	RBM4	3678	0.5541526675224304	0.18841444	Yes	
row_52	ATP6V1C1	3680	0.5538987517356873	0.19152762	Yes	
row_53	MRPS33	3688	0.5522282123565674	0.194293	Yes	
row_54	PDGFA	3692	0.5505531430244446	0.1972743	Yes	
row_55	KPNA6	4025	0.49285972118377686	0.18137875	No	
row_56	DNAJC3	4043	0.4895300567150116	0.18322164	No	
row_57	IDE	4120	0.47848957777023315	0.18167534	No	
row_58	PDHX	4139	0.47484245896339417	0.1833778	No	
row_59	UGGT1	4197	0.4674436151981354	0.18283938	No	
row_60	GNE	4218	0.4634243845939636	0.18436377	No	
row_61	CHMP2B	4265	0.45674118399620056	0.1843842	No	
row_62	ZCCHC10	4302	0.45174241065979004	0.18493977	No	
row_63	IGF2BP3	4347	0.4441068768501282	0.18500066	No	
row_64	C5orf22	4353	0.4431637227535248	0.1872547	No	
row_65	NAA15	4498	0.42044806480407715	0.1815429	No	
row_66	SEPHS2	4514	0.418084979057312	0.1830897	No	
row_67	SHTN1	4599	0.40670859813690186	0.18068168	No	
row_68	TBK1	4638	0.39947471022605896	0.1808254	No	
row_69	CLN5	4690	0.3938348591327667	0.180204	No	
row_70	NIP7	4753	0.38602232933044434	0.17891781	No	
row_71	SLC25A13	4779	0.3822787404060364	0.17969598	No	
row_72	RPAP3	4819	0.37871745228767395	0.17966457	No	
row_73	CDCA4	4957	0.3608948886394501	0.17400661	No	
row_74	ARFGEF2	5066	0.34875422716140747	0.16991399	No	
row_75	GTF2A1	5094	0.3461032211780548	0.17037241	No	
row_76	DCK	5141	0.3403373062610626	0.16972676	No	
row_77	BACH1	5190	0.33478644490242004	0.1689366	No	
row_78	NUP58	5191	0.33476927876472473	0.17085224	No	
row_79	ETNK1	5210	0.3327082693576813	0.17174137	No	
row_80	ESF1	5289	0.32185590267181396	0.16918603	No	
row_81	SLC37A4	5295	0.32149583101272583	0.17074385	No	
row_82	TCAF1	5306	0.3207148015499115	0.17201534	No	
row_83	SRPRA	5390	0.31310364603996277	0.16912805	No	
row_84	POLR3B	5414	0.31053680181503296	0.16960844	No	
row_85	TAF15	5449	0.306065171957016	0.16944315	No	
row_86	PAFAH1B3	5464	0.30427882075309753	0.17039509	No	
