NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CSF2RA	149	5.993870735168457	0.03491953	No	
row_1	EBI3	430	3.8870577812194824	0.047345873	No	
row_2	CD36	608	3.089097261428833	0.059758026	No	
row_3	IL2RG	887	2.34535551071167	0.061178263	No	
row_4	TNF	931	2.2646803855895996	0.075113036	No	
row_5	MAP3K8	991	2.1573805809020996	0.08738238	No	
row_6	CD9	1054	2.044827461242676	0.0986729	No	
row_7	CD14	1104	1.949510931968689	0.11000054	No	
row_8	SOCS3	1405	1.509048342704773	0.104163945	No	
row_9	STAT1	1607	1.349230170249939	0.10269203	No	
row_10	IL6	2333	0.9142619967460632	0.0688815	No	
row_11	ACVRL1	2598	0.818789541721344	0.060073536	No	
row_12	LTBR	2893	0.7285778522491455	0.048943166	No	
row_13	TNFRSF12A	2985	0.7038652896881104	0.048947565	No	
row_14	IL6ST	3082	0.6793678998947144	0.04849666	No	
row_15	PTPN1	3193	0.6502341032028198	0.04705546	No	
row_16	HAX1	3659	0.5579541921615601	0.02516504	No	
row_17	IL13RA1	3907	0.5120651125907898	0.015092609	No	
row_18	OSMR	4123	0.4782644212245941	0.00655976	No	
row_19	MYD88	4288	0.45379117131233215	6.9260434E-4	No	
row_20	PTPN2	4544	0.41326847672462463	-0.010538102	No	
row_21	CSF3R	4969	0.3601154685020447	-0.031570297	No	
row_22	PTPN11	5135	0.3411635458469391	-0.038305365	No	
row_23	ACVR1B	5214	0.3324713706970215	-0.040254697	No	
row_24	LEPR	5408	0.31108298897743225	-0.048767094	No	
row_25	GRB2	5465	0.30424705147743225	-0.04969392	No	
row_26	TLR2	5802	0.26837849617004395	-0.066483505	No	
row_27	BAK1	6557	0.19645676016807556	-0.10708643	No	
row_28	CSF2	6948	0.1603298932313919	-0.12766454	No	
row_29	IL15RA	7148	0.14287260174751282	-0.13772431	No	
row_30	IFNGR2	7497	0.11091289669275284	-0.15631816	No	
row_31	IL10RB	8110	0.049234841018915176	-0.19006923	No	
row_32	STAM2	8135	0.04715251922607422	-0.1910667	No	
row_33	LTB	8258	0.03524564579129219	-0.19761145	No	
row_34	STAT2	9493	-0.07817471772432327	-0.26581722	No	
row_35	STAT3	9936	-0.12273313105106354	-0.28956437	No	
row_36	IFNAR1	9943	-0.12347958236932755	-0.2890083	No	
row_37	IL4R	10223	-0.15163332223892212	-0.30346322	No	
row_38	CSF2RB	10278	-0.1578945368528366	-0.30533394	No	
row_39	FAS	10589	-0.188477024435997	-0.32125077	No	
row_40	TYK2	11392	-0.2868703007698059	-0.3638767	No	
row_41	PIK3R5	11804	-0.3351607024669647	-0.38436437	No	
row_42	CBL	12698	-0.46271514892578125	-0.43079355	No	
row_43	TNFRSF1A	12914	-0.4983547627925873	-0.43918154	No	
row_44	IFNGR1	13059	-0.5243158340454102	-0.44342554	No	
row_45	PIM1	14157	-0.7538965940475464	-0.49912366	No	
row_46	IL17RA	14536	-0.8779926300048828	-0.5138578	No	
row_47	JUN	14553	-0.8848848342895508	-0.5083684	No	
row_48	CSF1	14672	-0.9252961874008179	-0.5082719	No	
row_49	IL12RB1	15109	-1.098467230796814	-0.52464837	Yes	
row_50	HMOX1	15148	-1.12150239944458	-0.51867867	Yes	
row_51	IRF9	15164	-1.1307889223098755	-0.5113602	Yes	
row_52	SOCS1	15360	-1.24302339553833	-0.51326364	Yes	
row_53	PDGFC	15440	-1.289070963859558	-0.50837046	Yes	
row_54	IRF1	15548	-1.3464407920837402	-0.504624	Yes	
row_55	TGFB1	15638	-1.4017164707183838	-0.49947578	Yes	
row_56	CD44	16023	-1.7720654010772705	-0.50809693	Yes	
row_57	ITGB3	16273	-2.0999960899353027	-0.50682986	Yes	
row_58	TNFRSF1B	16308	-2.155097723007202	-0.49318376	Yes	
row_59	IL17RB	17166	-4.424839019775391	-0.509035	Yes	
row_60	IL1B	17227	-4.727011680603027	-0.47829115	Yes	
row_61	CXCL3	17339	-5.33682918548584	-0.445992	Yes	
row_62	ITGA4	17380	-5.48160982131958	-0.40869203	Yes	
row_63	IL7	17460	-5.859699726104736	-0.37083903	Yes	
row_64	TNFRSF21	17539	-6.231841564178467	-0.3302467	Yes	
row_65	CXCL1	17566	-6.390665054321289	-0.28561112	Yes	
row_66	CXCL11	17836	-8.697912216186523	-0.2378796	Yes	
row_67	CCL7	17952	-10.571144104003906	-0.16805755	Yes	
row_68	IL1R1	17979	-11.459650993347168	-0.08686838	Yes	
row_69	A2M	17990	-12.301284790039062	0.0012816472	Yes	
