NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCSK9	36	8.414977073669434	0.033335462	No	
row_1	F3	272	4.873311519622803	0.040644873	No	
row_2	OLR1	329	4.437436103820801	0.05615002	No	
row_3	CD36	608	3.089097261428833	0.053555097	No	
row_4	CDA	739	2.693373918533325	0.057588097	No	
row_5	GNGT2	763	2.6136484146118164	0.06727989	No	
row_6	C3	863	2.398097038269043	0.071808904	No	
row_7	MMP15	1000	2.1423439979553223	0.07319088	No	
row_8	PCLO	1077	1.999404788017273	0.07733332	No	
row_9	LYN	1121	1.9227259159088135	0.083002165	No	
row_10	ATOX1	1211	1.7809343338012695	0.085498594	No	
row_11	EHD1	1563	1.377326250076294	0.07162319	No	
row_12	HSPA1A	1639	1.3177540302276611	0.072957985	No	
row_13	SERPINE1	1644	1.3165490627288818	0.078264855	No	
row_14	CDK5R1	1693	1.2859408855438232	0.08097843	No	
row_15	ME1	1863	1.1608487367630005	0.07638852	No	
row_16	DOCK9	1997	1.0787478685379028	0.073470294	No	
row_17	APOC1	2138	1.008243441581726	0.06986375	No	
row_18	CD55	2159	0.9980239272117615	0.072936215	No	
row_19	MSRB1	2179	0.9880029559135437	0.076022595	No	
row_20	CCL5	2201	0.9748731851577759	0.07894178	No	
row_21	CLU	2235	0.958233118057251	0.08111887	No	
row_22	IL6	2333	0.9142619967460632	0.07952619	No	
row_23	PLAT	2441	0.8702588081359863	0.0771885	No	
row_24	RABIF	2596	0.8198531270027161	0.07200629	No	
row_25	PRSS36	2604	0.8159496784210205	0.075042054	No	
row_26	PPP2CB	2668	0.7926012277603149	0.074842826	No	
row_27	LGMN	2794	0.7574014663696289	0.07102271	No	
row_28	CD46	2951	0.7146232724189758	0.06528639	No	
row_29	FDX1	3055	0.6867427229881287	0.062401798	No	
row_30	PRCP	3152	0.6603276133537292	0.05979834	No	
row_31	GPD2	3242	0.6394448280334473	0.057499267	No	
